first,second,third,forth,Class
814,893,952,1017,0
814,894,953,1017,0
814,893,952,1017,0
814,894,953,1018,0
815,894,953,1017,0
814,896,954,1017,0
815,895,953,1018,0
816,897,955,1017,0
816,896,954,1018,0
816,897,953,1017,0
816,897,954,1017,0
815,896,954,1016,0
814,897,954,1018,0
815,897,954,1017,0
814,898,954,1017,0
815,898,954,1017,0
815,899,954,1017,0
816,899,954,1018,0
817,899,955,1017,0
817,898,954,1017,0
818,899,955,1017,0
817,899,955,1018,0
816,900,955,1017,0
815,899,955,1017,0
816,900,955,1016,0
816,900,955,1016,0
815,900,955,1017,0
815,899,955,1017,0
816,900,955,1017,0
815,900,956,1017,0
815,899,956,1017,0
815,900,955,1017,0
815,899,956,1017,0
816,900,956,1017,0
817,899,956,1018,0
817,900,956,1017,0
818,900,956,1018,0
817,901,957,1016,0
817,900,957,1017,0
817,900,956,1018,0
817,901,957,1017,0
817,900,957,1018,0
817,901,956,1018,0
818,901,957,1017,0
817,900,957,1017,0
817,900,957,1017,0
816,901,958,1017,0
816,901,958,1017,0
817,901,957,1017,0
816,901,957,1017,0
817,900,957,1017,0
816,900,957,1016,0
817,901,957,1017,0
816,901,957,1017,0
816,900,957,1017,0
816,900,957,1017,0
817,900,957,1017,0
817,901,957,1017,0
817,901,957,1017,0
817,900,957,1017,0
817,901,957,1017,0
817,902,957,1017,0
818,901,957,1017,0
818,901,957,1017,0
818,901,958,1017,0
818,902,957,1017,0
818,901,957,1017,0
818,901,957,1017,0
819,901,958,1017,0
819,901,957,1017,0
819,901,958,1017,0
819,902,958,1017,0
819,902,958,1017,0
819,902,958,1018,0
820,901,959,1017,0
820,901,959,1017,0
820,902,958,1017,0
820,902,958,1017,0
820,901,959,1018,0
820,902,958,1017,0
820,901,958,1017,0
820,902,959,1017,0
820,901,958,1017,0
821,902,959,1017,0
820,901,960,1017,0
821,902,960,1017,0
820,902,959,1017,0
820,902,959,1018,0
821,901,960,1017,0
821,901,959,1017,0
821,902,960,1017,0
821,901,960,1017,0
821,901,960,1018,0
821,902,959,1018,0
822,901,960,1017,0
821,902,960,1017,0
822,902,960,1017,0
821,902,960,1017,0
822,902,960,1017,0
822,901,959,1016,0
822,901,960,1017,0
822,902,960,1017,0
822,902,961,1017,0
822,901,961,1018,0
822,901,960,1018,0
822,902,960,1017,0
822,901,960,1018,0
823,901,960,1017,0
822,901,961,1018,0
823,901,961,1017,0
824,902,961,1018,0
823,902,961,1017,0
824,902,961,1017,0
824,902,961,1017,0
823,902,962,1017,0
823,902,961,1017,0
823,902,961,1018,0
823,901,961,1017,0
824,901,962,1018,0
823,902,961,1017,0
823,902,962,1018,0
824,901,961,1017,0
823,901,962,1017,0
823,902,962,1017,0
824,902,961,1017,0
824,902,961,1018,0
824,902,962,1018,0
823,902,962,1017,0
824,902,961,1018,0
823,902,962,1017,0
822,902,962,1017,0
823,902,961,1017,0
823,902,961,1017,0
823,902,962,1017,0
822,902,961,1018,0
823,901,961,1018,0
823,901,961,1017,0
822,902,961,1018,0
822,902,961,1018,0
823,902,962,1017,0
823,902,961,1018,0
823,902,962,1017,0
823,902,961,1018,0
823,902,961,1018,0
823,902,961,1017,0
823,902,960,1017,0
823,902,960,1017,0
824,902,961,1017,0
823,902,961,1017,0
823,902,961,1018,0
823,901,961,1017,0
823,902,961,1017,0
824,901,961,1018,0
824,901,961,1018,0
823,902,961,1017,0
824,902,961,1017,0
824,902,961,1018,0
824,902,961,1018,0
824,902,962,1018,0
824,901,961,1017,0
824,902,961,1017,0
824,902,960,1018,0
824,902,962,1018,0
824,902,961,1018,0
825,902,961,1018,0
825,902,961,1018,0
824,901,961,1018,0
824,901,961,1018,0
824,902,961,1018,0
824,902,961,1018,0
824,902,961,1018,0
825,902,962,1017,0
824,901,960,1017,0
824,902,961,1018,0
824,902,961,1017,0
824,902,961,1017,0
824,902,961,1017,0
824,902,961,1018,0
824,902,961,1017,0
825,902,961,1017,0
825,901,960,1017,0
824,902,961,1018,0
824,901,961,1017,0
825,902,961,1018,0
825,902,962,1018,0
824,902,961,1017,0
824,902,961,1018,0
824,902,961,1018,0
824,902,961,1017,0
824,902,960,1018,0
824,902,961,1017,0
824,902,961,1018,0
825,902,960,1018,0
825,902,961,1018,0
825,902,960,1018,0
825,902,960,1017,0
825,902,961,1017,0
824,901,960,1018,0
825,901,960,1018,0
824,902,961,1018,0
826,902,960,1018,0
825,901,961,1018,0
825,902,961,1017,0
825,902,960,1017,0
825,902,961,1018,0
825,903,960,1017,0
825,902,960,1018,0
825,902,961,1017,0
825,902,961,1018,0
826,901,961,1017,0
825,903,961,1017,0
825,902,960,1018,0
826,902,960,1017,0
825,902,960,1018,0
825,902,960,1017,0
825,902,960,1017,0
826,901,961,1017,0
826,902,960,1017,0
825,901,960,1017,0
825,902,960,1017,0
826,902,961,1018,0
825,902,961,1018,0
825,902,960,1018,0
825,901,961,1017,0
826,902,960,1018,0
826,902,961,1018,0
825,902,960,1017,0
826,902,961,1017,0
826,901,961,1018,0
825,902,961,1018,0
826,902,960,1018,0
826,902,961,1018,0
826,902,961,1016,0
826,902,961,1018,0
826,902,961,1018,0
826,901,961,1017,0
826,902,961,1017,0
827,902,960,1018,0
827,902,961,1018,0
826,902,961,1018,0
827,902,961,1018,0
827,902,960,1018,0
826,902,960,1018,0
826,902,961,1018,0
827,902,960,1018,0
827,902,961,1018,0
827,901,960,1018,0
826,902,961,1018,0
826,902,961,1018,0
827,902,961,1018,0
826,902,961,1017,0
827,902,962,1018,0
827,903,961,1018,0
826,901,962,1018,0
826,902,961,1017,0
827,902,961,1018,0
