Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,145,139,439,396,23.19,1022.43,34.17,509.35
1,145,139,439,397,23.20,1022.43,34.17,509.35
2,145,140,439,396,23.20,1022.44,34.17,508.96
3,145,139,439,396,23.20,1022.44,34.17,511.67
4,145,140,439,396,23.20,1022.44,34.17,503.62
5,145,140,440,396,23.20,1022.44,34.17,510.12
6,145,140,440,396,23.20,1022.44,34.18,504.00
7,146,140,440,397,23.20,1022.43,34.17,502.87
8,145,139,440,396,23.20,1022.42,34.19,512.45
9,145,140,440,396,23.20,1022.43,34.19,510.89
10,145,139,439,396,23.20,1022.43,34.21,514.42
11,144,139,439,397,23.20,1022.42,34.20,511.67
12,145,139,439,396,23.20,1022.43,34.21,508.19
13,145,139,439,397,23.20,1022.44,34.21,510.12
14,145,139,438,396,23.20,1022.44,34.22,508.19
15,145,139,439,396,23.20,1022.44,34.22,504.75
16,145,139,439,397,23.20,1022.44,34.22,505.51
17,145,139,439,396,23.20,1022.43,34.23,503.24
18,145,139,439,397,23.20,1022.43,34.23,503.62
19,145,140,439,396,23.20,1022.43,34.24,510.12
20,145,139,439,396,23.20,1022.43,34.24,512.45
21,145,139,438,396,23.20,1022.43,34.24,512.85
22,145,139,438,396,23.20,1022.44,34.24,511.28
23,145,139,438,396,23.20,1022.43,34.24,514.02
24,144,139,439,396,23.20,1022.43,34.24,510.12
25,144,139,438,396,23.20,1022.43,34.25,514.81
26,144,139,438,396,23.20,1022.44,34.24,509.73
27,144,139,437,396,23.20,1022.44,34.24,505.89
28,144,139,438,396,23.20,1022.44,34.23,513.63
29,144,139,438,396,23.20,1022.44,34.23,507.04
30,144,139,438,396,23.20,1022.43,34.22,510.12
31,143,138,437,395,23.20,1022.43,34.23,508.96
32,144,139,437,396,23.20,1022.44,34.21,505.13
33,144,138,437,395,23.20,1022.44,34.21,511.28
34,144,138,438,396,23.20,1022.43,34.21,506.27
35,144,139,437,396,23.20,1022.43,34.19,513.63
36,144,138,437,396,23.20,1022.43,34.21,504.00
37,144,138,437,395,23.20,1022.43,34.21,510.89
38,143,138,437,396,23.20,1022.43,34.19,514.81
39,144,138,436,395,23.20,1022.43,34.18,515.21
40,144,139,437,396,23.20,1022.43,34.17,506.66
41,144,139,436,395,23.20,1022.44,34.17,511.67
42,143,138,436,395,23.20,1022.44,34.16,507.81
43,144,139,436,395,23.20,1022.45,34.15,512.06
44,144,139,436,396,23.20,1022.45,34.15,513.63
45,144,138,436,395,23.20,1022.45,34.15,516.00
46,144,139,436,395,23.20,1022.45,34.14,514.81
47,143,138,436,395,23.20,1022.45,34.13,505.51
48,142,138,436,395,23.20,1022.45,34.13,506.27
49,143,138,436,395,23.20,1022.46,34.12,514.81
50,142,139,436,395,23.20,1022.45,34.10,504.75
51,143,138,436,395,23.20,1022.45,34.11,510.89
52,143,138,435,395,23.20,1022.44,34.10,510.51
53,143,138,435,395,23.20,1022.45,34.10,514.81
54,143,138,435,395,23.20,1022.46,34.09,511.67
55,143,137,435,395,23.20,1022.45,34.10,516.39
56,143,138,435,395,23.20,1022.45,34.08,507.81
57,143,137,436,395,23.20,1022.45,34.08,517.99
58,143,138,435,395,23.20,1022.44,34.07,517.19
59,143,138,436,395,23.20,1022.44,34.07,517.19
60,144,138,435,395,23.20,1022.44,34.07,513.24
61,144,138,436,395,23.20,1022.44,34.07,511.67
62,144,138,436,395,23.20,1022.44,34.05,517.99
63,144,138,436,395,23.20,1022.45,34.06,507.81
64,143,138,436,394,23.20,1022.45,34.06,508.57
65,144,137,436,395,23.20,1022.45,34.06,505.89
66,143,138,435,395,23.20,1022.45,34.06,506.66
67,143,138,436,394,23.20,1022.44,34.07,514.02
68,144,138,435,394,23.20,1022.44,34.07,512.45
69,143,137,435,394,23.20,1022.44,34.07,506.27
70,143,137,435,395,23.20,1022.44,34.06,510.51
71,142,137,435,394,23.20,1022.45,34.08,516.00
72,143,137,434,395,23.20,1022.45,34.07,510.12
73,142,137,435,394,23.20,1022.45,34.07,513.24
74,143,137,435,394,23.20,1022.45,34.06,510.89
75,143,137,434,394,23.20,1022.45,34.07,516.39
76,142,137,435,394,23.20,1022.45,34.07,516.00
77,142,137,434,394,23.20,1022.45,34.07,507.42
78,142,138,435,394,23.20,1022.45,34.07,520.39
79,143,138,434,394,23.20,1022.45,34.07,513.63
80,143,137,435,394,23.20,1022.44,34.07,514.81
81,143,138,434,394,23.20,1022.44,34.08,516.39
82,143,138,434,395,23.20,1022.44,34.08,514.81
83,143,137,434,394,23.20,1022.44,34.07,508.57
84,143,137,435,394,23.20,1022.44,34.09,507.42
85,143,138,434,394,23.20,1022.44,34.09,517.19
86,142,137,435,394,23.20,1022.44,34.09,514.81
87,142,138,434,394,23.20,1022.43,34.09,513.24
88,144,137,435,394,23.20,1022.43,34.09,514.42
89,142,138,434,394,23.20,1022.43,34.08,517.99
90,143,137,434,394,23.20,1022.43,34.09,507.42
91,143,137,434,395,23.20,1022.43,34.09,513.63
92,143,137,434,394,23.20,1022.44,34.09,509.35
93,143,137,434,394,23.20,1022.44,34.10,507.04
94,143,137,434,394,23.20,1022.44,34.10,508.96
95,143,137,434,394,23.20,1022.43,34.11,518.79
96,143,137,434,394,23.20,1022.43,34.10,516.00
97,143,138,436,395,23.20,1022.44,34.11,515.60
98,144,138,436,396,23.20,1022.44,34.11,514.02
99,144,138,437,396,23.20,1022.45,34.12,509.35
100,145,138,437,397,23.20,1022.44,34.14,502.49
101,144,138,437,397,23.20,1022.44,34.16,510.89
102,145,138,435,397,23.20,1022.44,34.18,508.57
103,144,137,435,397,23.20,1022.44,34.21,511.28
104,144,138,435,396,23.20,1022.42,34.23,507.04
105,144,138,435,396,23.20,1022.42,34.25,517.19
106,145,138,436,397,23.20,1022.43,34.26,510.12
107,145,138,436,396,23.20,1022.44,34.29,500.24
108,145,138,435,397,23.20,1022.43,34.32,509.35
109,144,137,435,396,23.20,1022.44,34.33,507.81
110,145,137,435,397,23.20,1022.45,34.36,510.51
111,144,137,435,397,23.20,1022.45,34.37,509.35
112,144,137,434,396,23.20,1022.45,34.40,503.24
113,144,137,435,396,23.20,1022.44,34.42,503.62
114,142,137,433,396,23.20,1022.45,34.43,512.85
115,143,137,435,396,23.20,1022.45,34.44,514.02
116,143,137,435,396,23.20,1022.44,34.43,506.27
117,143,137,434,396,23.20,1022.45,34.44,507.04
118,143,137,434,397,23.20,1022.45,34.44,507.42
119,143,137,434,396,23.20,1022.46,34.45,507.04
120,142,137,433,396,23.20,1022.45,34.44,505.13
121,143,137,433,396,23.20,1022.45,34.44,511.67
122,143,137,435,415,23.20,1022.46,34.44,496.18
123,144,138,437,440,23.20,1022.45,34.43,449.08
124,144,137,438,464,23.20,1022.46,34.43,410.15
