Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,162,158,408,339,18.53,1025.78,49.76,567.42
1,162,158,408,339,18.53,1025.79,49.75,566.94
2,162,158,407,339,18.53,1025.78,49.75,567.90
3,162,158,408,339,18.53,1025.78,49.75,569.35
4,162,158,407,338,18.53,1025.77,49.76,566.94
5,161,157,407,338,18.53,1025.78,49.75,564.56
6,162,157,406,338,18.53,1025.78,49.75,569.83
7,161,157,406,338,18.53,1025.79,49.75,566.94
8,161,157,406,337,18.52,1025.80,49.75,565.51
9,161,156,405,338,18.52,1025.80,49.73,569.35
10,161,156,405,337,18.52,1025.80,49.75,565.51
11,161,156,404,337,18.52,1025.80,49.75,565.99
12,161,156,404,337,18.52,1025.79,49.73,570.80
13,160,156,404,338,18.52,1025.80,49.75,564.09
14,160,155,404,337,18.52,1025.80,49.74,569.35
15,160,156,403,337,18.52,1025.79,49.74,567.90
16,161,155,404,337,18.52,1025.79,49.73,566.47
17,160,155,403,336,18.52,1025.80,49.72,568.38
18,160,154,402,337,18.52,1025.80,49.73,569.83
19,160,154,402,337,18.52,1025.80,49.75,565.51
20,159,154,401,336,18.52,1025.80,49.73,565.51
21,160,154,402,337,18.52,1025.80,49.72,570.80
22,160,153,401,336,18.52,1025.80,49.73,570.80
23,160,154,401,337,18.52,1025.80,49.72,568.86
24,160,153,401,336,18.52,1025.81,49.72,569.35
25,159,153,401,336,18.52,1025.81,49.73,569.35
26,159,153,401,336,18.52,1025.80,49.73,567.42
27,159,152,401,336,18.52,1025.80,49.72,569.35
28,159,152,400,335,18.52,1025.80,49.72,569.35
29,158,152,399,336,18.52,1025.80,49.71,568.38
30,159,152,399,336,18.52,1025.81,49.73,569.35
31,159,152,399,336,18.52,1025.81,49.73,566.94
32,159,152,399,336,18.52,1025.80,49.72,569.83
33,158,151,399,336,18.52,1025.80,49.73,569.35
34,159,151,398,335,18.52,1025.80,49.72,566.94
35,158,151,398,335,18.52,1025.80,49.71,565.51
36,158,150,397,335,18.52,1025.81,49.73,573.23
37,158,151,397,335,18.52,1025.81,49.71,567.42
38,158,151,397,335,18.52,1025.81,49.71,569.83
39,158,150,397,336,18.52,1025.81,49.71,569.83
40,158,150,396,335,18.52,1025.81,49.71,565.51
41,157,150,396,335,18.52,1025.81,49.71,569.35
42,157,149,396,335,18.52,1025.82,49.69,569.83
43,157,149,395,335,18.52,1025.81,49.70,573.23
44,158,149,395,335,18.52,1025.80,49.70,567.42
45,157,150,394,335,18.52,1025.80,49.71,567.90
46,157,148,395,334,18.52,1025.80,49.71,573.23
47,157,149,394,335,18.52,1025.81,49.69,569.83
48,157,149,394,335,18.52,1025.81,49.70,568.86
49,157,148,393,335,18.52,1025.80,49.69,571.77
50,157,148,394,335,18.52,1025.80,49.70,566.94
51,156,148,393,335,18.51,1025.81,49.70,566.94
52,157,148,394,335,18.51,1025.82,49.69,572.74
53,156,147,393,334,18.51,1025.82,49.69,571.77
54,156,147,393,335,18.51,1025.81,49.69,570.31
55,156,148,392,335,18.51,1025.82,49.69,573.23
56,156,147,392,334,18.51,1025.81,49.69,570.80
57,156,147,392,334,18.51,1025.81,49.68,568.38
58,156,147,392,335,18.51,1025.81,49.70,567.90
59,156,147,392,334,18.51,1025.80,49.69,571.77
60,156,147,391,334,18.51,1025.80,49.69,574.70
61,155,146,391,334,18.51,1025.80,49.68,570.80
62,156,146,391,334,18.51,1025.80,49.68,568.38
63,155,146,391,334,18.51,1025.80,49.67,571.28
64,155,146,391,334,18.51,1025.80,49.66,573.23
65,156,146,390,335,18.51,1025.80,49.67,572.74
66,155,146,390,334,18.51,1025.80,49.67,570.31
67,155,145,390,334,18.51,1025.79,49.67,570.31
68,155,145,390,334,18.51,1025.80,49.67,570.80
69,155,145,389,334,18.51,1025.80,49.67,574.70
70,155,145,389,334,18.51,1025.80,49.67,576.18
71,155,145,389,334,18.51,1025.80,49.68,569.83
72,154,145,388,334,18.51,1025.80,49.67,573.72
73,154,144,388,334,18.51,1025.80,49.66,572.25
74,154,144,388,334,18.51,1025.80,49.67,570.80
75,154,144,388,334,18.51,1025.79,49.66,575.69
76,154,144,388,334,18.51,1025.79,49.66,574.70
77,154,144,388,334,18.51,1025.79,49.66,569.83
78,154,144,387,334,18.51,1025.79,49.66,574.21
79,154,144,387,334,18.51,1025.79,49.64,572.74
80,154,143,387,334,18.51,1025.79,49.66,572.25
81,154,142,386,334,18.51,1025.78,49.66,569.83
82,154,143,387,334,18.51,1025.78,49.65,572.74
83,154,143,386,334,18.51,1025.78,49.65,574.21
84,154,143,386,334,18.51,1025.77,49.66,573.72
85,154,143,386,334,18.51,1025.78,49.65,574.70
86,153,143,386,334,18.51,1025.77,49.65,571.28
87,154,142,385,335,18.51,1025.77,49.66,571.77
88,153,142,385,335,18.51,1025.77,49.65,574.70
89,153,142,385,335,18.50,1025.77,49.65,569.83
90,153,142,384,335,18.50,1025.78,49.65,570.80
91,153,142,384,335,18.50,1025.78,49.65,570.80
92,154,142,385,335,18.50,1025.78,49.65,569.83
93,154,141,384,335,18.50,1025.78,49.65,575.20
94,153,141,384,335,18.50,1025.78,49.65,573.72
95,153,141,383,335,18.50,1025.78,49.66,575.20
96,153,141,384,335,18.50,1025.77,49.65,571.77
97,153,141,383,335,18.50,1025.77,49.65,569.83
98,152,141,383,335,18.50,1025.77,49.65,570.80
99,153,140,383,334,18.50,1025.77,49.67,574.21
100,153,140,383,334,18.50,1025.78,49.65,573.72
101,153,140,383,333,18.50,1025.78,49.65,570.80
102,153,140,382,334,18.50,1025.78,49.65,575.20
103,153,140,381,334,18.51,1025.78,49.67,573.23
104,152,140,381,334,18.51,1025.78,49.66,570.80
105,152,139,381,334,18.51,1025.78,49.65,574.70
106,152,140,381,334,18.51,1025.78,49.64,571.77
107,152,139,381,333,18.51,1025.78,49.65,570.80
108,152,139,381,334,18.51,1025.78,49.65,572.74
109,152,139,381,333,18.51,1025.78,49.65,572.74
110,152,139,380,334,18.50,1025.79,49.64,575.20
111,152,138,380,335,18.50,1025.78,49.65,571.28
112,152,139,380,333,18.50,1025.78,49.65,574.21
113,152,139,380,334,18.50,1025.78,49.65,575.20
114,151,139,380,334,18.50,1025.78,49.65,571.28
115,152,139,379,334,18.50,1025.78,49.65,576.18
116,152,138,378,333,18.50,1025.77,49.65,574.70
117,152,138,378,334,18.50,1025.77,49.64,575.20
118,151,138,379,333,18.50,1025.77,49.64,570.31
119,151,138,379,334,18.51,1025.77,49.65,577.67
120,151,138,378,334,18.51,1025.78,49.64,574.70
121,151,138,378,333,18.51,1025.78,49.64,573.23
122,158,138,380,335,18.51,1025.75,49.64,571.28
123,240,146,390,342,18.51,1025.75,49.66,558.00
124,389,160,411,353,18.51,1025.73,49.69,533.20
125,512,180,443,366,18.52,1025.73,49.76,498.76
126,585,199,476,378,18.53,1025.74,49.92,460.16
127,624,219,509,386,18.53,1025.75,50.13,431.49
128,641,236,539,391,18.54,1025.76,50.36,407.42
129,646,250,564,396,18.54,1025.77,50.61,387.22
130,647,263,584,399,18.55,1025.77,50.91,374.14
131,641,273,599,401,18.55,1025.77,51.23,363.85
132,632,281,613,402,18.56,1025.79,51.55,357.55
133,622,287,623,403,18.56,1025.79,51.89,349.24
134,610,292,629,402,18.56,1025.80,52.24,348.87
135,598,295,634,401,18.57,1025.80,52.58,345.23
136,585,298,638,400,18.57,1025.80,52.96,345.59
137,573,299,641,399,18.57,1025.80,53.31,344.15
138,559,300,642,397,18.58,1025.80,53.65,345.95
139,547,300,642,396,18.58,1025.81,54.02,347.40
140,537,301,642,395,18.58,1026.07,54.37,349.61
141,526,302,641,394,18.59,1026.58,54.72,351.47
142,517,302,641,395,18.59,1026.96,55.08,354.10
143,509,302,641,395,18.60,1027.25,55.42,353.72
144,503,303,641,395,18.62,1027.47,55.75,356.78
