Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,134,128,360,323,20.65,1017.26,47.45,546.65
1,134,128,359,323,20.65,1017.26,47.44,544.87
2,134,127,359,323,20.65,1017.26,47.45,543.11
3,134,127,358,323,20.65,1017.25,47.45,543.99
4,134,126,358,323,20.65,1017.25,47.45,543.99
5,133,127,357,323,20.65,1017.25,47.44,543.99
6,134,127,357,323,20.65,1017.25,47.44,543.99
7,134,126,357,322,20.65,1017.25,47.44,543.99
8,133,126,356,323,20.65,1017.26,47.44,544.43
9,133,126,356,324,20.65,1017.25,47.44,543.11
10,134,126,356,323,20.65,1017.25,47.43,546.20
11,134,125,355,323,20.65,1017.25,47.44,542.67
12,133,126,355,323,20.65,1017.26,47.44,544.87
13,132,125,354,323,20.65,1017.25,47.43,543.99
14,133,125,354,323,20.65,1017.25,47.43,543.99
15,133,125,353,323,20.65,1017.25,47.42,543.99
16,133,124,354,323,20.65,1017.26,47.42,547.98
17,132,124,354,324,20.65,1017.26,47.43,549.33
18,132,124,353,323,20.65,1017.26,47.42,547.98
19,133,124,353,323,20.65,1017.27,47.42,546.65
20,132,124,353,323,20.64,1017.27,47.40,543.55
21,132,124,352,323,20.64,1017.27,47.41,543.99
22,132,124,352,323,20.64,1017.27,47.40,544.87
23,132,123,351,324,20.64,1017.27,47.40,545.76
24,133,123,352,323,20.64,1017.28,47.42,545.32
25,132,123,350,323,20.64,1017.27,47.42,543.99
26,132,123,351,323,20.64,1017.27,47.42,548.88
27,132,123,350,323,20.64,1017.26,47.42,545.32
28,132,123,350,324,20.64,1017.26,47.42,545.76
29,132,122,349,323,20.64,1017.26,47.42,544.87
30,132,122,350,323,20.64,1017.27,47.43,544.87
31,131,122,349,323,20.64,1017.27,47.41,545.76
32,131,122,349,323,20.64,1017.27,47.42,541.80
33,132,122,348,323,20.64,1017.26,47.41,547.54
34,131,121,348,323,20.64,1017.26,47.43,545.32
35,132,122,348,323,20.64,1017.26,47.41,546.65
36,132,121,347,322,20.64,1017.25,47.43,546.20
37,131,121,347,324,20.64,1017.25,47.41,546.20
38,131,121,347,323,20.64,1017.24,47.43,545.32
39,131,121,346,323,20.64,1017.25,47.42,545.32
40,131,120,347,323,20.64,1017.26,47.42,544.43
41,131,121,346,323,20.63,1017.26,47.43,543.99
42,131,120,345,323,20.63,1017.26,47.43,546.65
43,131,120,345,323,20.63,1017.26,47.44,548.43
44,131,120,345,323,20.63,1017.27,47.43,545.76
45,131,120,345,323,20.63,1017.26,47.44,548.88
46,131,119,345,323,20.63,1017.26,47.43,544.87
47,131,120,344,323,20.63,1017.26,47.43,545.76
48,130,119,344,323,20.63,1017.26,47.44,546.65
49,130,119,344,323,20.63,1017.27,47.43,546.20
50,130,119,344,323,20.63,1017.26,47.42,547.09
51,130,119,344,324,20.63,1017.26,47.45,545.76
52,130,119,343,323,20.63,1017.26,47.43,543.99
53,130,118,343,323,20.63,1017.25,47.43,546.65
54,130,119,342,323,20.63,1017.26,47.43,547.54
55,129,119,342,323,20.63,1017.26,47.43,546.65
56,130,118,343,323,20.63,1017.26,47.43,547.54
57,130,118,341,324,20.63,1017.26,47.43,543.99
58,130,117,342,323,20.63,1017.25,47.42,549.33
59,129,118,341,323,20.63,1017.24,47.43,547.09
60,129,118,340,324,20.63,1017.25,47.43,549.33
61,129,117,341,323,20.63,1017.25,47.41,547.54
62,129,117,340,323,20.63,1017.25,47.43,551.58
63,129,117,340,324,20.63,1017.25,47.41,552.49
64,129,117,340,323,20.63,1017.25,47.41,548.88
65,129,117,340,323,20.63,1017.24,47.42,546.65
66,129,117,339,324,20.63,1017.24,47.41,546.65
67,129,116,340,323,20.63,1017.25,47.41,546.65
68,129,117,338,324,20.63,1017.24,47.41,548.88
69,129,116,339,323,20.63,1017.25,47.40,543.99
70,129,116,339,323,20.62,1017.24,47.39,550.23
71,128,116,339,324,20.62,1017.24,47.40,547.09
72,129,116,338,324,20.62,1017.24,47.39,547.09
73,129,116,337,324,20.62,1017.24,47.41,542.23
74,129,116,338,324,20.62,1017.24,47.39,538.75
75,129,116,338,326,20.62,1017.24,47.39,540.49
76,129,115,338,327,20.62,1017.24,47.42,540.49
77,130,115,338,328,20.62,1017.25,47.44,539.62
78,129,115,338,327,20.62,1017.25,47.44,537.03
79,129,115,337,328,20.62,1017.25,47.47,537.89
80,129,115,337,327,20.62,1017.24,47.51,537.46
81,129,115,336,328,20.62,1017.25,47.54,539.19
82,129,114,336,328,20.62,1017.26,47.56,537.89
83,129,115,336,328,20.62,1017.24,47.58,539.62
84,129,114,336,328,20.62,1017.25,47.59,541.36
85,128,115,335,329,20.62,1017.24,47.61,534.47
86,129,114,335,328,20.62,1017.25,47.64,540.49
87,128,114,335,328,20.62,1017.25,47.66,543.55
88,128,114,335,327,20.62,1017.26,47.66,543.55
89,128,114,335,327,20.62,1017.27,47.66,544.87
90,128,113,334,327,20.62,1017.27,47.68,546.20
91,128,113,334,327,20.62,1017.27,47.68,545.32
92,127,114,333,327,20.62,1017.27,47.67,545.76
93,128,113,333,327,20.62,1017.26,47.68,547.54
94,127,113,333,327,20.62,1017.25,47.69,547.98
95,127,113,333,326,20.62,1017.25,47.69,544.87
96,127,113,333,326,20.62,1017.25,47.69,544.43
97,127,112,332,326,20.62,1017.25,47.67,545.76
98,127,112,332,326,20.62,1017.25,47.66,545.76
99,127,113,332,326,20.62,1017.25,47.66,548.88
100,127,113,331,326,20.62,1017.24,47.65,549.78
101,127,112,331,325,20.62,1017.25,47.66,544.43
102,128,112,331,325,20.62,1017.26,47.65,544.43
103,127,112,332,327,20.62,1017.25,47.64,540.92
104,127,112,332,327,20.62,1017.25,47.64,542.23
105,126,111,331,327,20.62,1017.25,47.64,540.05
106,128,112,332,329,20.62,1017.24,47.66,535.32
107,128,112,332,329,20.62,1017.25,47.66,536.60
108,128,112,332,330,20.62,1017.25,47.69,533.62
109,128,112,332,330,20.62,1017.25,47.71,536.60
110,127,112,331,330,20.62,1017.25,47.76,536.60
111,128,112,330,330,20.62,1017.26,47.78,540.05
112,128,112,330,330,20.62,1017.25,47.82,541.36
113,127,111,330,329,20.62,1017.26,47.82,538.75
114,127,111,330,329,20.62,1017.25,47.86,543.99
115,126,111,330,329,20.62,1017.25,47.88,543.55
116,127,111,329,329,20.62,1017.26,47.88,541.36
117,126,110,329,328,20.63,1017.26,47.88,547.98
118,126,110,328,328,20.62,1017.25,47.89,543.99
119,127,110,328,328,20.63,1017.26,47.89,546.20
120,126,110,328,328,20.63,1017.26,47.88,545.32
121,126,110,328,327,20.63,1017.25,47.88,544.87
122,126,110,327,328,20.63,1017.26,47.87,546.20
123,127,109,327,328,20.63,1017.27,47.86,548.88
124,149,112,332,336,20.63,1017.26,47.86,517.59
125,264,120,351,369,20.63,1017.26,47.86,457.96
126,392,131,375,397,20.63,1017.25,47.92,403.50
127,480,140,399,421,20.64,1017.26,48.02,354.86
128,543,154,429,449,20.64,1017.26,48.21,315.57
129,593,169,462,476,20.65,1017.27,48.45,283.13
130,624,183,492,497,20.66,1017.28,48.73,258.55
131,640,196,519,511,20.66,1017.28,49.08,238.07
132,644,206,541,522,20.67,1017.28,49.48,225.25
133,642,213,557,530,20.68,1017.28,49.90,216.27
134,632,219,566,535,20.69,1017.28,50.36,211.56
135,620,224,573,538,20.70,1017.28,50.82,210.35
136,604,226,577,540,20.70,1017.28,51.32,207.97
137,588,227,579,543,20.71,1017.28,51.82,206.02
138,573,229,579,544,20.72,1017.28,52.32,207.84
139,557,229,581,546,20.73,1017.29,52.83,209.02
140,542,229,580,547,20.73,1017.56,53.35,209.28
141,529,230,580,551,20.74,1018.05,53.86,209.81
142,518,231,580,556,20.75,1018.42,54.37,213.34
143,510,230,580,561,20.76,1018.68,54.85,212.65
144,502,231,581,566,20.77,1018.89,55.34,215.14
145,496,232,582,569,20.79,1019.05,55.80,216.83
146,490,233,582,572,20.80,1019.17,56.26,218.41
147,486,233,584,575,20.81,1019.26,56.71,218.12
148,483,234,585,577,20.82,1019.33,57.10,220.15
149,481,235,586,579,20.84,1019.38,57.49,221.48
150,479,235,587,581,20.85,1019.41,57.86,221.93
151,477,236,588,583,20.86,1019.44,58.22,222.83
152,476,237,589,584,20.87,1019.46,58.55,223.73
153,475,238,591,586,20.88,1019.48,58.85,225.56
154,475,239,592,587,20.89,1019.49,59.15,226.96
155,474,240,593,587,20.90,1019.50,59.42,228.21
156,474,241,594,589,20.91,1019.51,59.67,228.68
157,474,241,595,589,20.92,1019.52,59.93,228.68
158,474,242,596,590,20.93,1019.52,60.13,230.28
159,473,243,598,590,20.94,1019.53,60.34,231.57
160,474,244,599,591,20.95,1019.54,60.53,230.60
161,473,245,601,591,20.96,1019.53,60.69,231.24
162,473,246,601,592,20.97,1019.54,60.84,233.86
163,474,247,603,592,20.98,1019.54,60.99,234.03
164,474,247,604,592,20.98,1019.54,61.12,233.69
165,474,249,605,593,20.99,1019.54,61.25,233.86
166,474,250,606,592,21.00,1019.55,61.35,235.19
167,474,250,607,593,21.01,1019.55,61.46,235.53
168,475,251,610,593,21.01,1019.55,61.54,236.03
169,474,252,610,593,21.02,1019.55,61.63,235.36
170,475,252,611,592,21.03,1019.54,61.69,236.54
171,475,254,612,594,21.03,1019.55,61.76,236.88
172,475,254,613,593,21.04,1019.55,61.82,238.93
173,475,255,615,593,21.05,1019.55,61.87,238.76
174,475,256,616,593,21.05,1019.56,61.91,237.56
175,476,257,617,593,21.06,1019.56,61.94,238.24
176,476,258,618,593,21.06,1019.55,61.97,240.67
177,476,259,619,593,21.07,1019.55,62.00,239.80
178,476,259,621,592,21.08,1019.56,62.01,240.67
179,476,260,621,593,21.08,1019.56,62.03,241.02
180,476,261,622,592,21.09,1019.56,62.03,241.37
181,477,261,624,593,21.09,1019.55,62.06,241.02
182,477,263,624,593,21.10,1019.55,62.04,241.90
183,477,263,625,592,21.10,1019.55,62.05,241.73
184,477,264,627,591,21.11,1019.55,62.03,242.26
185,477,265,628,592,21.11,1019.55,62.02,242.08
186,477,265,629,592,21.12,1019.55,62.02,242.43
187,477,266,629,592,21.12,1019.55,62.00,243.51
188,477,266,631,591,21.13,1019.54,61.99,244.05
189,477,268,631,592,21.13,1019.55,61.96,243.15
190,477,269,632,591,21.14,1019.55,61.94,244.23
191,477,269,633,591,21.14,1019.55,61.91,244.41
192,477,269,633,592,21.15,1019.56,61.89,246.04
193,477,270,634,591,21.15,1019.57,61.87,244.95
194,477,271,636,590,21.16,1019.57,61.83,245.68
195,477,272,636,591,21.16,1019.58,61.80,246.04
196,477,272,637,591,21.17,1019.58,61.78,246.04
197,477,272,638,590,21.17,1019.58,61.74,246.78
198,478,273,638,590,21.17,1019.58,61.71,246.78
199,477,275,639,590,21.18,1019.58,61.66,246.59
200,478,275,640,590,21.18,1019.58,61.64,245.31
201,477,275,641,590,21.18,1019.58,61.60,246.23
202,477,276,642,590,21.19,1019.58,61.56,247.15
203,477,277,642,589,21.19,1019.58,61.51,246.78
204,477,278,643,589,21.19,1019.57,61.47,247.89
205,478,278,644,589,21.20,1019.57,61.44,248.63
