Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,145,132,368,336,20.35,1013.72,56.00,521.61
1,145,131,368,335,20.35,1013.73,55.99,515.60
2,145,131,368,336,20.35,1013.73,55.99,517.99
3,145,131,367,336,20.35,1013.72,55.99,515.21
4,146,131,366,335,20.35,1013.71,55.99,517.99
5,145,131,366,336,20.34,1013.71,55.99,514.02
6,145,130,365,336,20.34,1013.72,56.00,514.42
7,145,130,366,335,20.35,1013.72,56.01,517.19
8,145,131,366,336,20.35,1013.71,55.98,514.02
9,145,129,366,335,20.35,1013.72,55.98,520.80
10,144,130,365,335,20.35,1013.72,55.99,517.99
11,145,129,365,335,20.35,1013.72,55.98,521.20
12,145,130,364,335,20.35,1013.72,55.97,518.38
13,144,129,364,335,20.35,1013.72,55.99,517.19
14,145,129,363,335,20.35,1013.72,55.99,516.39
15,144,129,364,335,20.35,1013.73,55.98,514.81
16,144,129,362,335,20.35,1013.73,55.97,519.59
17,144,129,363,335,20.35,1013.72,55.97,516.39
18,144,129,363,335,20.35,1013.72,55.97,518.79
19,145,129,362,335,20.35,1013.73,55.97,518.38
20,144,128,362,335,20.35,1013.73,55.98,516.39
21,144,128,362,335,20.35,1013.72,55.97,518.79
22,144,128,361,335,20.35,1013.72,55.97,516.39
23,144,128,361,334,20.35,1013.73,55.97,518.38
24,144,128,361,335,20.35,1013.73,55.97,519.99
25,143,127,361,335,20.35,1013.73,55.96,518.79
26,143,127,360,335,20.35,1013.72,55.96,517.19
27,143,127,360,335,20.35,1013.72,55.95,517.59
28,143,126,360,335,20.35,1013.72,55.95,517.59
29,144,126,360,335,20.35,1013.72,55.95,518.79
30,143,126,359,335,20.35,1013.72,55.96,518.79
31,143,126,359,335,20.35,1013.72,55.95,517.99
32,143,126,359,335,20.35,1013.72,55.93,516.00
33,143,126,359,335,20.35,1013.72,55.95,517.19
34,143,125,358,336,20.35,1013.72,55.95,516.39
35,142,126,358,335,20.35,1013.72,55.95,519.59
36,143,125,358,335,20.35,1013.73,55.94,518.79
37,143,125,358,335,20.35,1013.72,55.94,518.38
38,143,125,358,335,20.35,1013.72,55.95,518.79
39,143,125,357,336,20.35,1013.72,55.94,519.59
40,143,124,357,335,20.35,1013.71,55.93,516.00
41,143,125,357,335,20.35,1013.71,55.94,518.79
42,143,124,357,335,20.35,1013.71,55.94,516.39
43,142,124,356,335,20.35,1013.72,55.93,519.19
44,143,124,356,334,20.35,1013.71,55.94,519.19
45,142,124,356,335,20.35,1013.72,55.95,516.00
46,142,124,356,335,20.35,1013.72,55.93,517.19
47,142,124,354,335,20.35,1013.72,55.93,519.59
48,142,124,355,335,20.35,1013.72,55.95,517.99
49,141,124,354,336,20.35,1013.73,55.94,517.99
50,141,123,354,335,20.35,1013.73,55.93,518.38
51,142,123,354,335,20.35,1013.72,55.93,519.59
52,142,123,354,335,20.35,1013.73,55.94,520.39
53,142,123,354,335,20.35,1013.74,55.94,519.99
54,142,123,354,336,20.35,1013.74,55.94,520.80
55,142,122,353,335,20.35,1013.73,55.92,519.99
56,142,123,353,335,20.35,1013.72,55.93,519.19
57,141,123,353,335,20.35,1013.73,55.93,519.19
58,141,122,352,335,20.35,1013.73,55.92,516.39
59,141,122,353,334,20.35,1013.73,55.91,518.79
60,141,122,353,335,20.35,1013.73,55.91,517.19
61,141,122,352,334,20.35,1013.74,55.90,519.99
62,141,122,352,335,20.35,1013.74,55.91,519.19
63,141,121,351,335,20.35,1013.73,55.89,516.39
64,141,122,351,335,20.35,1013.73,55.90,517.19
65,141,122,351,335,20.35,1013.74,55.91,521.20
66,141,121,351,335,20.35,1013.74,55.89,517.59
67,141,121,351,335,20.35,1013.73,55.90,518.79
68,140,121,350,336,20.35,1013.74,55.90,518.38
69,140,121,350,335,20.35,1013.73,55.89,518.79
70,140,121,350,335,20.35,1013.74,55.90,522.82
71,140,121,350,335,20.35,1013.74,55.88,519.19
72,141,121,349,335,20.35,1013.74,55.90,520.80
73,141,120,350,336,20.35,1013.75,55.90,517.19
74,140,120,348,336,20.35,1013.74,55.89,517.59
75,141,120,349,335,20.35,1013.74,55.90,519.19
76,140,120,348,336,20.35,1013.75,55.88,517.99
77,140,120,348,335,20.35,1013.74,55.90,520.39
78,140,120,348,334,20.35,1013.74,55.88,522.01
79,140,120,348,336,20.35,1013.75,55.88,521.61
80,140,119,348,335,20.35,1013.75,55.88,516.79
81,140,119,348,336,20.35,1013.74,55.88,523.64
82,140,119,347,335,20.35,1013.74,55.88,518.79
83,139,119,347,335,20.35,1013.75,55.88,516.39
84,140,119,347,336,20.35,1013.74,55.88,520.39
85,140,119,347,335,20.35,1013.75,55.86,521.20
86,140,119,347,337,20.35,1013.75,55.88,520.39
87,140,119,347,337,20.35,1013.74,55.86,520.39
88,139,118,346,338,20.35,1013.73,55.88,517.99
89,140,119,346,337,20.35,1013.73,55.87,520.39
90,140,119,346,338,20.35,1013.73,55.87,524.46
91,140,119,346,338,20.35,1013.73,55.88,519.19
92,140,118,346,338,20.35,1013.73,55.86,520.39
93,139,118,346,337,20.35,1013.72,55.86,519.99
94,139,118,345,338,20.35,1013.72,55.86,521.20
95,140,118,346,339,20.35,1013.72,55.86,524.05
96,140,118,345,338,20.35,1013.73,55.87,517.19
97,139,118,345,339,20.35,1013.73,55.87,517.99
98,140,117,345,339,20.35,1013.72,55.86,517.59
99,139,118,345,339,20.35,1013.74,55.86,516.39
100,139,118,344,339,20.35,1013.73,55.86,519.19
101,139,117,345,339,20.35,1013.74,55.86,521.20
102,139,117,344,338,20.35,1013.74,55.88,519.99
103,139,117,344,339,20.35,1013.74,55.86,519.59
104,140,117,344,339,20.35,1013.74,55.88,520.80
105,139,117,343,338,20.35,1013.74,55.88,519.59
106,140,117,343,339,20.35,1013.73,55.88,520.39
107,140,117,344,340,20.35,1013.74,55.88,519.59
108,139,116,343,339,20.35,1013.74,55.90,519.59
109,139,116,343,339,20.36,1013.74,55.90,516.79
110,139,117,342,339,20.36,1013.74,55.89,521.20
111,139,116,342,339,20.36,1013.74,55.89,517.19
112,139,117,343,339,20.36,1013.74,55.90,516.79
113,139,116,342,339,20.36,1013.74,55.90,517.19
114,139,116,342,339,20.36,1013.74,55.90,519.59
115,139,116,342,339,20.36,1013.74,55.90,519.19
116,139,116,342,339,20.36,1013.73,55.92,520.80
117,139,116,341,339,20.36,1013.74,55.91,522.42
118,139,116,341,339,20.36,1013.74,55.92,516.39
119,139,116,342,339,20.36,1013.74,55.91,519.59
120,138,116,342,340,20.36,1013.75,55.92,523.64
121,138,116,341,340,20.36,1013.75,55.94,517.99
122,148,116,342,343,20.36,1013.74,55.93,514.02
123,316,129,361,380,20.37,1013.74,55.94,454.86
124,523,159,410,435,20.37,1013.74,55.98,382.81
