Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,130,121,352,324,20.60,1017.40,47.37,553.40
1,130,121,352,324,20.60,1017.39,47.38,553.40
2,130,121,351,324,20.60,1017.38,47.38,552.04
3,130,120,352,325,20.60,1017.38,47.38,556.15
4,130,120,351,324,20.60,1017.38,47.37,552.49
5,130,120,351,324,20.60,1017.38,47.37,552.49
6,130,120,350,324,20.60,1017.38,47.37,552.49
7,129,120,350,324,20.60,1017.37,47.37,552.49
8,129,120,350,324,20.60,1017.38,47.37,554.77
9,130,119,349,324,20.60,1017.37,47.37,552.94
10,129,119,349,325,20.60,1017.36,47.37,552.94
11,129,119,349,324,20.60,1017.36,47.37,553.86
12,129,119,349,324,20.60,1017.37,47.38,550.68
13,130,119,348,324,20.60,1017.37,47.35,552.94
14,130,118,348,324,20.60,1017.36,47.36,552.94
15,129,118,348,324,20.59,1017.36,47.35,552.04
16,129,119,347,324,20.59,1017.36,47.37,552.94
17,129,118,348,324,20.59,1017.36,47.35,549.78
18,129,118,347,324,20.59,1017.36,47.36,552.04
19,129,118,347,323,20.59,1017.37,47.34,555.69
20,128,118,347,324,20.59,1017.36,47.35,555.69
21,128,118,346,324,20.59,1017.36,47.34,557.53
22,128,117,347,324,20.59,1017.36,47.34,552.94
23,129,118,347,324,20.59,1017.36,47.34,552.49
24,129,117,346,323,20.59,1017.36,47.34,554.77
25,128,118,345,324,20.59,1017.37,47.34,552.04
26,128,117,345,324,20.59,1017.37,47.33,555.23
27,128,117,345,324,20.59,1017.37,47.33,551.58
28,128,117,345,324,20.59,1017.37,47.33,552.04
29,127,117,344,324,20.59,1017.36,47.33,550.68
30,128,117,344,324,20.59,1017.37,47.34,552.49
31,128,116,344,324,20.59,1017.36,47.33,554.77
32,128,116,344,324,20.59,1017.37,47.34,551.58
33,128,116,343,324,20.59,1017.37,47.34,554.31
34,128,116,343,324,20.59,1017.37,47.34,555.69
35,127,116,342,324,20.59,1017.37,47.36,555.69
36,127,116,343,324,20.59,1017.38,47.35,552.04
37,127,116,343,324,20.58,1017.37,47.34,553.86
38,128,115,343,324,20.58,1017.37,47.35,552.94
39,128,115,343,324,20.58,1017.36,47.36,555.69
40,127,115,342,324,20.58,1017.36,47.33,553.86
41,127,115,341,324,20.58,1017.36,47.35,552.49
42,127,114,342,324,20.58,1017.36,47.35,555.69
43,128,115,342,323,20.58,1017.36,47.33,554.77
44,127,115,340,324,20.58,1017.36,47.37,553.40
45,127,115,341,324,20.58,1017.37,47.35,553.86
46,127,114,341,324,20.58,1017.38,47.35,555.69
47,126,114,340,324,20.58,1017.37,47.35,557.07
48,127,114,340,324,20.58,1017.36,47.34,555.23
49,126,114,340,324,20.58,1017.35,47.35,555.69
50,126,114,340,324,20.58,1017.36,47.36,553.40
51,126,114,340,324,20.58,1017.35,47.36,556.61
52,126,113,339,324,20.58,1017.36,47.35,554.77
53,126,114,339,324,20.58,1017.36,47.34,553.86
54,126,114,339,324,20.58,1017.36,47.34,555.69
55,126,113,339,323,20.58,1017.35,47.34,555.23
56,125,113,339,324,20.58,1017.35,47.34,559.39
57,126,113,338,324,20.58,1017.35,47.34,554.77
58,126,113,338,323,20.58,1017.36,47.33,554.77
59,126,113,338,324,20.57,1017.35,47.34,554.77
60,126,113,337,324,20.57,1017.34,47.33,558.00
61,126,113,338,324,20.57,1017.35,47.33,553.40
62,126,113,337,324,20.57,1017.36,47.32,556.61
63,126,112,337,324,20.57,1017.36,47.33,555.69
64,126,112,337,324,20.57,1017.36,47.31,555.23
65,126,112,337,323,20.57,1017.36,47.31,556.61
66,126,112,336,324,20.57,1017.36,47.31,556.61
67,126,112,335,324,20.57,1017.36,47.32,560.79
68,126,112,336,323,20.57,1017.36,47.32,556.61
69,126,111,336,324,20.57,1017.36,47.31,554.77
70,125,112,335,324,20.57,1017.36,47.31,554.77
71,126,112,335,324,20.57,1017.36,47.32,555.69
72,125,111,335,324,20.57,1017.36,47.31,553.86
73,126,112,335,324,20.57,1017.36,47.31,556.15
74,125,111,335,324,20.57,1017.35,47.30,557.53
75,125,111,334,324,20.57,1017.35,47.31,554.77
76,125,111,334,324,20.57,1017.34,47.31,555.69
77,125,111,334,324,20.57,1017.35,47.32,554.77
78,125,111,333,324,20.57,1017.36,47.29,555.69
79,125,110,334,323,20.57,1017.35,47.31,555.23
80,125,110,334,324,20.57,1017.34,47.31,554.77
81,125,110,333,324,20.57,1017.35,47.31,552.94
82,125,110,333,324,20.57,1017.33,47.29,555.23
83,124,110,332,324,20.57,1017.34,47.31,555.23
84,124,110,332,324,20.57,1017.34,47.31,555.69
85,124,110,333,324,20.57,1017.35,47.31,558.00
86,124,110,332,323,20.57,1017.35,47.31,555.23
87,124,109,332,324,20.57,1017.36,47.31,558.46
88,124,110,332,323,20.57,1017.36,47.30,556.61
89,124,109,332,324,20.57,1017.36,47.31,556.15
90,123,110,331,324,20.57,1017.36,47.31,556.15
91,123,110,331,324,20.57,1017.36,47.30,557.07
92,123,109,332,324,20.57,1017.37,47.30,555.23
93,123,109,331,323,20.57,1017.36,47.30,557.53
94,123,109,331,324,20.57,1017.36,47.29,552.04
95,123,108,331,324,20.57,1017.37,47.30,554.77
96,123,109,331,324,20.57,1017.36,47.31,556.15
97,119,108,330,321,20.57,1017.36,47.31,559.39
98,123,109,330,323,20.56,1017.36,47.33,557.07
99,123,109,330,324,20.56,1017.35,47.31,556.61
100,123,108,329,323,20.56,1017.35,47.31,552.94
101,122,108,330,323,20.56,1017.36,47.31,557.53
102,122,108,329,323,20.56,1017.37,47.31,552.04
103,121,108,329,323,20.56,1017.37,47.32,556.15
104,121,108,329,323,20.56,1017.35,47.31,557.53
105,119,108,329,321,20.56,1017.35,47.32,560.32
106,119,107,329,322,20.56,1017.36,47.32,556.61
107,119,107,328,321,20.56,1017.36,47.32,556.61
108,120,107,328,323,20.56,1017.36,47.33,554.77
109,119,107,328,323,20.56,1017.36,47.31,553.86
110,122,108,329,324,20.56,1017.35,47.31,556.61
111,123,107,328,325,20.56,1017.36,47.32,556.61
112,123,108,328,325,20.56,1017.35,47.31,557.07
113,123,107,328,324,20.56,1017.35,47.31,556.61
114,124,107,328,325,20.56,1017.35,47.31,558.46
115,123,107,328,325,20.56,1017.34,47.28,560.79
116,124,106,327,325,20.56,1017.35,47.30,555.69
117,124,107,327,325,20.56,1017.34,47.30,558.92
118,123,107,327,325,20.56,1017.34,47.29,555.69
119,123,107,327,325,20.56,1017.34,47.28,557.53
120,123,107,326,325,20.56,1017.34,47.27,558.92
121,124,106,327,325,20.56,1017.34,47.27,555.23
122,217,112,340,349,20.56,1017.33,47.29,491.82
123,390,125,372,398,20.57,1017.33,47.32,408.90
124,517,142,411,436,20.57,1017.35,47.43,339.21
125,583,157,448,465,20.58,1017.34,47.61,294.22
126,612,169,476,484,20.59,1017.36,47.85,262.45
127,621,178,500,496,20.60,1017.36,48.19,244.77
128,622,186,517,507,20.60,1017.36,48.55,229.32
129,615,192,530,515,20.61,1017.37,48.98,220.30
130,606,196,539,522,20.62,1017.36,49.44,214.16
131,594,199,546,528,20.63,1017.36,49.91,209.81
132,579,201,549,532,20.64,1017.35,50.41,207.97
133,563,204,550,535,20.64,1017.36,50.94,208.23
134,546,204,550,539,20.65,1017.36,51.49,207.71
135,531,205,551,541,20.66,1017.36,52.02,207.71
136,515,206,550,544,20.66,1017.37,52.56,208.23
137,500,205,550,546,20.67,1017.37,53.09,209.15
138,485,204,549,548,20.68,1017.37,53.62,211.15
139,472,203,547,550,20.68,1017.37,54.13,212.51
140,460,203,546,552,20.69,1017.63,54.66,214.58
141,447,203,545,554,20.69,1018.12,55.18,215.84
142,438,203,545,559,20.70,1018.48,55.67,217.55
143,430,203,543,563,20.71,1018.75,56.16,219.28
144,424,203,543,567,20.72,1018.95,56.63,219.57
145,418,203,543,571,20.73,1019.11,57.08,220.59
146,413,203,542,574,20.74,1019.22,57.53,222.83
147,410,203,542,577,20.75,1019.31,57.93,224.03
148,407,203,542,579,20.76,1019.37,58.33,226.49
149,404,203,542,581,20.77,1019.42,58.70,227.42
150,402,204,542,583,20.78,1019.46,59.08,227.74
151,400,204,543,585,20.79,1019.50,59.39,229.32
152,398,203,542,586,20.80,1019.52,59.72,228.68
153,397,204,543,587,20.81,1019.54,60.02,232.38
154,397,204,543,588,20.82,1019.55,60.29,232.87
155,396,204,543,589,20.83,1019.55,60.54,234.03
156,395,204,544,589,20.84,1019.56,60.79,233.37
157,396,204,544,590,20.85,1019.58,61.02,234.36
158,395,206,545,591,20.86,1019.57,61.22,235.69
159,396,206,545,592,20.87,1019.57,61.42,237.22
160,396,206,546,593,20.88,1019.58,61.61,236.88
161,395,206,547,593,20.89,1019.58,61.76,236.88
162,396,206,546,593,20.90,1019.58,61.93,238.76
163,396,207,547,594,20.91,1019.59,62.06,237.39
164,396,207,548,594,20.92,1019.59,62.18,239.80
165,396,207,548,594,20.92,1019.59,62.28,239.45
166,397,208,550,594,20.93,1019.59,62.40,241.55
167,397,208,550,594,20.94,1019.59,62.49,241.55
168,397,209,550,595,20.95,1019.60,62.57,241.90
169,398,209,552,595,20.95,1019.60,62.64,242.79
170,398,210,552,594,20.96,1019.60,62.73,242.08
171,398,210,553,595,20.97,1019.60,62.78,242.43
172,398,210,553,595,20.98,1019.59,62.83,242.97
173,399,211,554,594,20.98,1019.60,62.87,244.05
174,400,211,555,595,20.99,1019.60,62.91,244.77
175,400,211,556,595,21.00,1019.60,62.94,244.59
176,401,212,556,595,21.00,1019.60,62.96,245.68
177,400,212,556,595,21.01,1019.60,62.98,244.59
178,401,213,558,595,21.01,1019.60,63.01,246.23
179,401,214,558,594,21.02,1019.60,63.01,246.78
180,402,214,559,594,21.02,1019.59,63.02,246.04
181,402,214,560,594,21.03,1019.60,63.00,245.68
182,403,215,560,594,21.03,1019.60,63.00,246.04
183,402,215,561,594,21.04,1019.60,63.01,246.04
184,403,215,562,594,21.04,1019.60,63.01,247.52
185,403,215,562,594,21.05,1019.60,62.99,247.15
186,403,216,564,594,21.06,1019.60,62.97,247.89
187,403,217,564,593,21.06,1019.60,62.94,248.45
188,403,217,564,593,21.07,1019.61,62.92,249.20
189,404,218,566,594,21.07,1019.62,62.91,248.82
190,404,218,566,593,21.08,1019.62,62.88,250.52
191,404,218,567,593,21.08,1019.61,62.85,249.57
192,405,218,568,592,21.09,1019.62,62.83,250.33
193,404,219,568,593,21.09,1019.62,62.79,250.52
194,405,220,569,593,21.09,1019.63,62.76,252.24
195,404,219,569,592,21.10,1019.63,62.75,250.14
196,405,220,570,592,21.10,1019.63,62.69,251.85
197,405,220,570,592,21.11,1019.62,62.65,251.28
198,405,221,572,592,21.11,1019.62,62.59,250.90
199,406,221,571,592,21.12,1019.62,62.58,250.90
200,406,221,573,592,21.12,1019.62,62.55,252.05
201,406,222,573,592,21.12,1019.62,62.51,252.82
202,406,223,574,591,21.13,1019.62,62.45,252.43
203,407,223,575,590,21.13,1019.62,62.41,253.21
204,407,223,575,590,21.13,1019.62,62.37,253.98
205,406,224,576,591,21.14,1019.63,62.33,253.01
206,407,225,576,590,21.14,1019.64,62.30,253.21
207,407,224,576,591,21.15,1019.63,62.24,253.21
208,407,225,578,590,21.15,1019.63,62.22,254.37
209,407,225,578,590,21.15,1019.62,62.17,253.79
210,407,226,579,590,21.15,1019.63,62.12,253.98
211,407,227,579,590,21.16,1019.64,62.09,254.57
212,406,227,579,589,21.16,1019.64,62.04,254.77
213,407,227,580,590,21.16,1019.64,61.99,253.79
214,407,227,581,590,21.17,1019.64,61.94,255.75
215,408,227,581,589,21.17,1019.63,61.90,255.95
216,407,228,581,589,21.17,1019.63,61.86,255.56
217,408,229,582,589,21.18,1019.63,61.82,255.75
218,408,228,582,589,21.18,1019.63,61.77,255.95
219,407,229,583,588,21.18,1019.64,61.73,256.94
220,408,230,583,588,21.19,1019.64,61.68,257.14
221,408,230,584,588,21.19,1019.64,61.64,257.14
222,408,231,584,588,21.19,1019.63,61.60,256.94
223,408,230,585,587,21.19,1019.63,61.56,257.55
224,408,231,585,588,21.20,1019.63,61.52,258.96
225,408,231,586,588,21.20,1019.64,61.48,257.14
226,408,232,586,587,21.20,1019.63,61.44,256.94
227,408,232,586,588,21.20,1019.63,61.38,257.55
228,409,233,587,587,21.21,1019.63,61.35,257.55
229,408,233,587,587,21.21,1019.63,61.32,257.14
230,408,233,588,587,21.21,1019.63,61.26,259.98
231,408,233,588,586,21.21,1019.63,61.23,258.75
232,409,233,589,587,21.22,1019.63,61.19,258.35
233,408,234,589,586,21.22,1019.63,61.15,258.15
234,408,234,590,587,21.22,1019.62,61.12,258.35
235,408,235,589,586,21.22,1019.63,61.07,259.16
236,409,235,590,586,21.23,1019.63,61.04,258.96
237,408,236,590,586,21.23,1019.64,61.00,259.98
238,408,235,590,585,21.23,1019.64,60.95,260.80
239,408,236,591,585,21.23,1019.64,60.91,260.80
240,409,237,591,585,21.24,1019.64,60.88,259.16
241,408,236,592,585,21.24,1019.64,60.83,260.18
242,408,237,593,585,21.24,1019.65,60.80,259.98
243,408,237,592,586,21.24,1019.64,60.76,259.98
244,408,237,593,585,21.24,1019.64,60.73,260.80
245,408,238,593,585,21.25,1019.64,60.68,260.59
246,408,238,593,585,21.25,1019.64,60.65,260.18
247,408,239,594,585,21.25,1019.64,60.62,260.80
248,409,238,594,585,21.25,1019.64,60.58,262.45
249,408,239,594,585,21.26,1019.64,60.56,261.21
250,408,240,595,585,21.26,1019.63,60.51,260.80
251,408,240,595,584,21.26,1019.63,60.48,262.25
252,408,240,595,584,21.26,1019.62,60.43,261.62
253,408,241,596,584,21.26,1019.63,60.41,262.25
254,408,240,596,584,21.27,1019.64,60.37,262.04
255,408,241,596,584,21.27,1019.64,60.35,262.45
256,408,241,597,584,21.27,1019.64,60.30,261.21
257,408,241,597,583,21.27,1019.64,60.27,262.45
258,408,241,596,584,21.28,1019.64,60.24,262.04
259,408,242,597,583,21.28,1019.64,60.21,262.04
260,408,242,597,582,21.28,1019.64,60.18,262.25
261,408,243,598,583,21.28,1019.64,60.14,262.25
262,408,243,598,583,21.28,1019.64,60.10,263.71
263,408,243,598,583,21.29,1019.64,60.08,263.29
264,408,243,599,582,21.29,1019.65,60.05,263.08
265,408,243,599,583,21.29,1019.65,60.02,264.76
266,408,244,599,583,21.29,1019.65,59.99,263.08
267,408,244,599,582,21.29,1019.64,59.96,264.13
268,407,244,600,582,21.29,1019.65,59.93,264.98
269,408,244,600,582,21.29,1019.64,59.91,263.29
270,408,244,600,582,21.30,1019.64,59.89,263.92
271,407,245,600,582,21.30,1019.64,59.85,264.76
272,407,245,601,582,21.30,1019.64,59.79,264.34
273,407,245,601,582,21.30,1019.64,59.77,263.29
274,408,245,601,582,21.30,1019.64,59.74,264.34
275,407,246,601,582,21.30,1019.64,59.73,264.98
276,407,246,601,582,21.31,1019.64,59.69,264.13
277,407,246,601,581,21.31,1019.64,59.65,266.26
278,407,247,601,581,21.31,1019.65,59.65,264.98
279,407,246,602,581,21.31,1019.64,59.61,265.83
280,406,247,602,581,21.31,1019.64,59.58,265.83
281,407,247,603,581,21.31,1019.65,59.56,265.40
282,407,248,602,581,21.32,1019.65,59.53,266.69
283,407,248,603,581,21.32,1019.64,59.51,267.33
284,407,248,603,581,21.32,1019.63,59.48,265.40
285,407,249,603,581,21.32,1019.63,59.45,265.40
286,407,249,603,580,21.32,1019.64,59.42,266.04
287,407,249,603,580,21.32,1019.64,59.39,266.04
288,407,249,604,581,21.33,1019.64,59.38,267.12
289,407,250,604,581,21.33,1019.64,59.35,266.26
290,407,250,604,581,21.33,1019.63,59.34,265.40
291,406,249,604,579,21.33,1019.64,59.30,265.62
292,407,250,604,580,21.33,1019.64,59.28,265.40
293,406,250,605,580,21.33,1019.64,59.25,266.69
294,407,250,605,580,21.33,1019.65,59.22,266.69
295,406,250,605,580,21.33,1019.65,59.20,267.77
296,407,251,605,580,21.34,1019.64,59.18,266.90
297,406,251,604,579,21.34,1019.64,59.15,266.90
298,407,251,606,579,21.34,1019.64,59.13,266.47
299,406,251,605,579,21.34,1019.64,59.11,267.12
300,406,252,605,579,21.34,1019.64,59.08,267.12
301,406,251,605,579,21.34,1019.64,59.05,266.69
302,406,251,605,579,21.34,1019.64,59.04,268.64
303,406,252,606,579,21.35,1019.64,59.01,267.55
304,406,252,606,579,21.35,1019.64,58.98,266.90
305,406,252,606,579,21.35,1019.64,58.95,269.30
306,406,253,606,579,21.35,1019.64,58.95,268.86
307,405,253,607,579,21.35,1019.64,58.92,269.73
308,406,253,607,579,21.35,1019.64,58.89,267.12
309,406,253,607,578,21.35,1019.64,58.87,267.12
310,405,253,607,579,21.35,1019.64,58.85,267.99
311,406,254,608,578,21.36,1019.64,58.82,269.30
312,406,253,607,578,21.36,1019.64,58.81,268.42
313,406,254,607,578,21.36,1019.64,58.79,268.64
314,406,254,608,579,21.36,1019.64,58.77,269.73
315,406,254,607,578,21.36,1019.63,58.74,269.08
316,405,255,608,577,21.36,1019.63,58.72,268.86
317,405,254,608,578,21.36,1019.64,58.71,268.64
318,405,255,608,578,21.36,1019.64,58.68,269.08
319,406,254,608,578,21.37,1019.64,58.67,268.86
320,405,255,608,578,21.37,1019.65,58.63,270.18
321,405,255,608,578,21.37,1019.65,58.63,269.30
322,406,256,609,578,21.37,1019.64,58.60,269.73
323,405,256,609,577,21.37,1019.64,58.58,270.18
324,405,256,609,578,21.37,1019.63,58.56,269.95
325,405,255,609,578,21.37,1019.63,58.54,268.86
326,405,257,609,577,21.37,1019.63,58.52,269.95
327,405,256,609,578,21.37,1019.64,58.51,268.42
328,405,256,609,578,21.38,1019.64,58.48,269.51
329,405,257,609,577,21.38,1019.63,58.46,270.18
330,405,257,609,577,21.38,1019.63,58.43,270.62
331,404,257,610,577,21.38,1019.64,58.42,270.18
332,404,258,609,577,21.38,1019.65,58.41,270.40
333,405,257,610,576,21.38,1019.64,58.38,269.95
334,403,257,610,575,21.38,1019.64,58.36,271.06
335,402,258,610,575,21.38,1019.64,58.34,271.51
336,402,258,610,575,21.39,1019.64,58.33,270.40
337,400,257,610,574,21.39,1019.64,58.30,271.95
338,402,258,610,575,21.39,1019.64,58.28,271.95
339,402,257,611,574,21.39,1019.64,58.27,270.84
340,402,258,611,574,21.39,1019.64,58.26,270.18
341,403,259,611,576,21.39,1019.64,58.25,270.84
342,404,259,611,576,21.39,1019.64,58.22,271.28
343,405,259,611,577,21.39,1019.64,58.21,270.84
344,404,259,611,576,21.39,1019.64,58.19,270.84
345,405,259,611,576,21.40,1019.64,58.16,270.18
346,405,259,611,576,21.40,1019.65,58.13,271.51
347,404,260,611,576,21.40,1019.64,58.12,271.51
348,405,260,612,575,21.40,1019.63,58.11,272.63
349,404,259,612,576,21.40,1019.64,58.10,271.73
350,404,259,611,576,21.40,1019.63,58.07,272.18
