Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,177,142,384,330,24.51,1020.56,27.51,419.89
1,177,142,384,330,24.51,1020.58,27.51,422.27
2,176,142,383,329,24.51,1020.59,27.50,420.15
3,176,141,384,330,24.51,1020.60,27.50,422.27
4,175,142,384,329,24.51,1020.62,27.50,420.42
5,176,141,383,329,24.51,1020.62,27.49,419.63
6,176,141,382,330,24.51,1020.60,27.49,418.85
7,176,141,382,331,24.51,1020.60,27.48,422.27
8,176,141,382,331,24.51,1020.60,27.47,417.80
9,175,140,382,330,24.51,1020.58,27.48,421.74
10,175,141,382,331,24.51,1020.57,27.48,419.89
11,175,140,381,331,24.51,1020.56,27.48,416.51
12,176,140,381,330,24.51,1020.55,27.48,420.42
13,176,140,381,331,24.51,1020.54,27.47,423.33
14,176,140,381,330,24.51,1020.57,27.48,419.63
15,175,140,380,331,24.51,1020.58,27.48,422.80
16,175,139,380,331,24.51,1020.59,27.47,422.53
17,174,139,380,330,24.51,1020.59,27.48,423.87
18,174,139,380,330,24.51,1020.58,27.47,421.47
19,174,139,379,330,24.51,1020.58,27.48,421.74
20,174,139,379,329,24.51,1020.61,27.47,420.94
21,174,138,379,330,24.51,1020.60,27.47,422.53
22,174,138,379,329,24.51,1020.66,27.46,420.15
23,174,139,378,329,24.51,1020.71,27.46,424.67
24,174,138,378,330,24.51,1020.72,27.46,423.60
25,173,138,377,329,24.51,1020.74,27.44,424.40
26,174,138,377,329,24.51,1020.78,27.44,424.94
27,173,137,377,329,24.51,1020.75,27.44,421.74
28,173,137,377,330,24.51,1020.75,27.44,421.21
29,173,137,376,329,24.51,1020.80,27.44,421.74
30,173,137,376,329,24.51,1020.78,27.42,422.00
31,173,137,376,329,24.51,1020.76,27.43,422.80
32,173,137,375,329,24.51,1020.75,27.42,422.80
33,173,137,375,329,24.51,1020.75,27.41,426.56
34,172,137,375,328,24.51,1020.74,27.40,425.48
35,173,137,375,329,24.51,1020.70,27.39,421.21
36,173,136,375,329,24.51,1020.67,27.39,424.94
37,172,136,375,329,24.51,1020.67,27.39,421.74
38,173,136,375,329,24.51,1020.67,27.37,423.33
39,172,136,375,329,24.51,1020.65,27.36,426.02
40,172,136,373,329,24.51,1020.64,27.36,423.87
41,172,135,374,328,24.51,1020.72,27.35,426.02
42,173,136,374,328,24.51,1020.76,27.35,426.02
43,172,135,373,329,24.51,1020.74,27.35,423.33
44,172,135,373,328,24.51,1020.72,27.34,423.87
