Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,109,80,258,345,20.59,1013.81,55.71,560.32
1,109,80,259,344,20.59,1013.81,55.71,558.92
2,109,80,259,345,20.59,1013.82,55.71,559.39
3,109,80,258,344,20.59,1013.81,55.72,556.61
4,109,80,259,345,20.59,1013.80,55.71,557.53
5,109,80,258,344,20.59,1013.80,55.72,557.53
6,109,80,259,344,20.59,1013.81,55.73,560.79
7,109,80,259,344,20.59,1013.81,55.71,557.53
8,108,80,258,344,20.59,1013.81,55.72,561.26
9,108,80,259,344,20.59,1013.81,55.71,557.53
10,108,80,258,344,20.58,1013.81,55.71,557.07
11,109,79,258,345,20.58,1013.81,55.72,558.46
12,109,80,259,344,20.58,1013.81,55.74,558.46
13,109,79,259,344,20.58,1013.80,55.72,559.86
14,108,79,258,344,20.58,1013.80,55.72,562.67
15,108,79,258,345,20.58,1013.80,55.72,556.61
16,109,79,258,345,20.58,1013.81,55.72,556.15
17,108,79,258,344,20.58,1013.81,55.72,555.69
18,108,80,258,345,20.58,1013.80,55.72,560.32
19,109,79,258,345,20.58,1013.80,55.72,558.92
20,109,79,258,344,20.58,1013.80,55.71,557.53
21,108,80,258,345,20.58,1013.80,55.70,557.53
22,109,79,258,345,20.58,1013.80,55.72,558.46
23,109,79,257,345,20.58,1013.80,55.71,558.46
24,109,79,257,344,20.58,1013.81,55.71,560.79
25,109,78,257,344,20.58,1013.81,55.70,558.00
26,109,79,257,345,20.57,1013.81,55.72,561.26
27,108,79,257,344,20.57,1013.81,55.72,558.46
28,109,80,257,345,20.57,1013.81,55.71,558.46
29,108,78,257,345,20.57,1013.80,55.70,555.23
30,109,79,257,344,20.57,1013.80,55.72,560.32
31,109,79,257,344,20.57,1013.81,55.71,560.32
32,108,79,258,344,20.57,1013.80,55.72,559.86
33,108,79,257,345,20.57,1013.80,55.71,556.61
34,108,79,257,344,20.57,1013.79,55.72,559.39
35,109,78,257,344,20.57,1013.80,55.70,558.46
36,109,79,257,344,20.57,1013.80,55.72,560.79
37,108,78,257,344,20.57,1013.81,55.72,560.32
38,109,79,257,345,20.57,1013.81,55.71,560.32
39,108,79,256,344,20.57,1013.80,55.72,558.92
40,108,78,256,344,20.57,1013.79,55.72,558.46
41,109,79,257,344,20.57,1013.79,55.72,563.14
42,108,79,256,344,20.57,1013.79,55.72,561.26
43,109,78,256,344,20.57,1013.80,55.71,558.46
44,108,78,256,344,20.57,1013.80,55.72,558.92
45,109,79,256,344,20.56,1013.79,55.72,563.14
46,109,79,256,344,20.56,1013.79,55.72,558.46
47,108,79,256,344,20.56,1013.79,55.71,558.46
48,108,79,256,345,20.56,1013.77,55.72,561.26
49,108,79,256,344,20.56,1013.78,55.71,559.86
50,109,79,256,344,20.56,1013.78,55.72,558.46
51,109,78,256,344,20.56,1013.79,55.70,558.92
52,109,79,256,344,20.56,1013.79,55.71,562.20
53,108,78,256,345,20.56,1013.79,55.70,561.73
54,108,79,256,345,20.56,1013.79,55.70,557.07
55,109,78,255,344,20.56,1013.79,55.70,558.92
56,108,78,256,344,20.56,1013.79,55.71,562.20
57,109,78,255,344,20.56,1013.79,55.71,559.39
58,108,78,255,344,20.56,1013.79,55.70,565.04
59,108,78,255,345,20.56,1013.79,55.71,560.32
60,108,79,255,345,20.56,1013.80,55.71,559.39
61,108,78,255,345,20.56,1013.79,55.71,558.46
62,108,78,255,345,20.56,1013.79,55.70,562.67
63,108,78,255,345,20.56,1013.79,55.71,558.46
64,107,79,255,345,20.56,1013.80,55.71,558.92
65,108,78,256,344,20.56,1013.80,55.71,558.46
66,108,78,256,345,20.56,1013.80,55.71,560.32
67,108,78,255,344,20.56,1013.79,55.71,559.86
68,108,78,255,344,20.56,1013.79,55.71,560.79
69,107,78,255,344,20.56,1013.80,55.71,562.20
70,109,78,255,345,20.56,1013.79,55.71,559.39
71,108,78,255,344,20.56,1013.79,55.73,561.73
72,108,78,254,345,20.56,1013.79,55.73,558.46
73,107,77,254,345,20.55,1013.78,55.73,558.46
74,108,78,255,345,20.55,1013.79,55.73,559.39
75,108,78,255,345,20.55,1013.79,55.74,560.32
76,108,78,255,345,20.55,1013.79,55.75,560.32
77,108,78,255,345,20.55,1013.78,55.73,559.86
78,108,78,255,344,20.55,1013.79,55.75,559.86
79,108,78,254,345,20.55,1013.80,55.74,560.79
80,108,78,254,345,20.55,1013.80,55.76,558.46
81,108,78,254,344,20.55,1013.79,55.75,558.46
82,108,78,254,344,20.55,1013.79,55.76,559.86
83,108,77,254,345,20.55,1013.80,55.76,561.26
84,107,78,254,344,20.55,1013.80,55.75,558.00
85,108,77,254,345,20.55,1013.79,55.78,558.46
86,108,77,254,345,20.55,1013.80,55.75,556.15
87,108,77,254,345,20.55,1013.80,55.77,558.46
88,108,78,254,345,20.55,1013.79,55.78,557.53
89,108,78,254,345,20.55,1013.79,55.77,559.39
90,108,78,255,346,20.55,1013.80,55.77,557.53
91,108,77,255,346,20.55,1013.80,55.77,557.53
92,108,78,255,346,20.55,1013.80,55.78,561.26
93,108,77,255,347,20.55,1013.80,55.78,560.32
94,108,78,254,346,20.55,1013.80,55.79,561.26
95,108,78,254,347,20.55,1013.80,55.80,561.73
96,109,77,254,346,20.55,1013.80,55.81,559.86
97,108,78,255,347,20.55,1013.79,55.80,557.53
98,108,78,254,347,20.55,1013.78,55.81,557.53
99,108,78,254,347,20.55,1013.78,55.80,558.46
100,108,77,254,346,20.55,1013.78,55.84,557.07
101,108,77,254,346,20.55,1013.79,55.83,561.73
102,107,77,254,346,20.55,1013.79,55.84,557.53
103,108,77,253,346,20.55,1013.79,55.85,559.39
104,108,77,254,346,20.55,1013.79,55.86,560.32
105,108,77,254,346,20.55,1013.79,55.86,558.00
106,108,78,254,346,20.55,1013.79,55.86,558.46
107,108,77,254,346,20.55,1013.79,55.88,558.46
108,108,78,254,346,20.55,1013.78,55.88,560.32
109,108,78,254,347,20.55,1013.78,55.89,556.61
110,108,78,254,347,20.55,1013.78,55.88,557.07
