Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,176,141,416,379,23.97,1022.01,47.46,424.13
1,175,141,416,379,23.97,1022.01,47.46,426.29
2,176,141,416,379,23.97,1022.02,47.47,431.77
3,175,140,415,378,23.97,1022.02,47.47,427.37
4,176,140,415,378,23.97,1022.01,47.46,427.64
5,175,140,415,379,23.97,1022.01,47.46,425.21
6,174,140,414,379,23.97,1022.01,47.46,426.83
7,175,139,415,378,23.97,1022.00,47.48,428.19
8,174,139,414,379,23.97,1022.00,47.48,426.56
9,175,139,414,379,23.97,1022.02,47.48,427.10
10,174,139,414,379,23.97,1022.00,47.47,427.37
11,175,139,413,379,23.97,1021.99,47.47,431.49
12,174,139,413,379,23.97,1021.99,47.49,428.46
13,174,139,412,378,23.97,1021.99,47.49,432.32
14,174,139,412,378,23.97,1022.00,47.47,427.92
15,174,139,413,378,23.97,1022.00,47.47,427.10
16,175,139,414,379,23.97,1022.01,47.47,428.19
17,176,140,414,379,23.97,1022.01,47.47,426.02
18,176,139,414,380,23.97,1022.01,47.48,427.10
19,176,139,413,379,23.97,1022.01,47.50,424.40
20,176,139,413,380,23.97,1022.01,47.55,424.94
21,176,139,412,380,23.97,1022.01,47.58,426.02
22,176,138,413,380,23.97,1022.02,47.60,423.87
23,176,138,412,380,23.97,1022.02,47.63,423.60
24,176,138,412,380,23.97,1022.02,47.65,423.06
25,175,138,412,380,23.97,1022.02,47.69,424.94
26,174,138,411,379,23.97,1022.02,47.72,424.94
27,175,138,411,381,23.97,1022.02,47.74,425.21
28,174,137,410,381,23.97,1022.01,47.75,425.48
29,174,138,410,379,23.97,1022.01,47.78,427.64
30,173,137,410,379,23.97,1022.01,47.78,425.75
31,174,137,410,379,23.97,1022.02,47.78,425.48
32,174,136,409,380,23.97,1022.01,47.79,426.02
33,173,137,410,380,23.97,1022.00,47.80,424.94
34,174,137,409,379,23.97,1022.00,47.79,425.48
35,173,137,409,379,23.97,1021.99,47.79,425.48
36,173,136,409,379,23.97,1021.99,47.80,425.48
37,172,137,409,378,23.97,1021.99,47.79,429.83
38,173,136,408,379,23.97,1021.99,47.79,426.02
39,172,136,408,379,23.97,1021.99,47.79,429.83
40,173,136,407,379,23.97,1021.98,47.78,425.75
41,173,136,408,379,23.97,1021.98,47.77,427.37
42,173,136,408,379,23.97,1021.98,47.78,426.83
43,173,136,407,379,23.97,1021.97,47.76,427.64
44,172,135,407,379,23.97,1021.96,47.77,425.48
45,172,136,407,379,23.97,1021.96,47.77,427.37
46,172,135,407,379,23.97,1021.96,47.74,427.10
47,172,135,406,379,23.97,1021.96,47.74,426.56
48,172,135,406,379,23.97,1021.97,47.74,426.83
49,172,135,405,379,23.97,1021.97,47.73,426.56
50,172,135,406,378,23.97,1021.98,47.73,430.38
51,172,135,406,379,23.97,1021.98,47.73,427.92
52,172,135,407,379,23.97,1021.96,47.72,430.93
53,171,134,407,379,23.97,1021.96,47.72,427.64
54,171,135,406,379,23.97,1021.96,47.72,430.66
55,172,135,405,379,23.97,1021.96,47.72,425.48
56,172,134,405,379,23.97,1021.96,47.74,426.29
57,172,135,405,379,23.97,1021.95,47.74,425.48
58,171,134,405,379,23.97,1021.93,47.77,427.64
59,171,134,404,379,23.97,1021.94,47.76,426.29
60,171,134,404,378,23.97,1021.94,47.79,426.29
61,171,134,404,379,23.97,1021.95,47.79,426.29
62,171,134,404,378,23.97,1021.95,47.79,425.48
63,171,133,404,379,23.97,1021.96,47.77,427.10
64,170,134,403,379,23.97,1021.97,47.78,426.83
65,170,134,403,378,23.97,1021.97,47.76,429.28
66,171,133,403,378,23.97,1021.97,47.76,427.92
67,171,133,402,378,23.97,1021.97,47.75,428.19
68,170,133,402,378,23.97,1021.97,47.74,427.64
69,170,133,402,378,23.97,1021.98,47.74,428.19
70,170,133,402,378,23.97,1021.98,47.71,429.28
71,169,133,402,378,23.97,1021.98,47.71,428.19
72,169,133,401,378,23.97,1021.98,47.70,429.01
73,170,133,402,377,23.97,1021.99,47.69,431.21
74,169,132,402,378,23.97,1021.99,47.68,429.01
75,169,133,401,378,23.97,1022.00,47.66,427.37
76,170,133,400,378,23.97,1022.00,47.66,429.83
77,169,133,401,377,23.97,1022.01,47.63,429.28
78,169,132,401,378,23.97,1022.00,47.63,427.64
79,169,132,400,378,23.97,1022.00,47.62,429.01
80,169,132,400,378,23.97,1021.99,47.62,429.83
81,169,132,400,378,23.97,1021.98,47.60,428.19
82,169,132,400,377,23.96,1021.99,47.59,431.21
83,169,132,400,377,23.97,1021.98,47.60,427.92
84,168,131,400,377,23.97,1021.98,47.58,430.11
