Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,82,69,222,328,20.62,1017.26,45.56,704.96
1,83,69,222,329,20.62,1017.27,45.54,704.22
2,82,69,222,329,20.62,1017.26,45.55,708.68
3,82,69,222,329,20.62,1017.26,45.55,707.93
4,82,68,222,328,20.61,1017.25,45.55,704.96
5,83,69,222,328,20.61,1017.26,45.55,707.19
6,82,69,221,329,20.61,1017.26,45.54,709.43
7,82,68,222,329,20.61,1017.27,45.55,707.93
8,82,69,222,330,20.61,1017.27,45.55,706.44
9,82,69,221,329,20.61,1017.28,45.55,712.44
10,82,69,222,329,20.61,1017.28,45.53,707.93
11,82,69,222,329,20.61,1017.28,45.54,707.93
12,82,69,221,329,20.61,1017.28,45.54,707.19
13,82,69,222,329,20.61,1017.28,45.52,710.18
14,82,68,221,329,20.61,1017.28,45.53,704.96
15,82,69,221,329,20.61,1017.28,45.54,707.93
16,82,69,221,329,20.61,1017.27,45.52,704.96
17,82,69,221,329,20.61,1017.27,45.52,709.43
18,82,69,221,329,20.61,1017.27,45.52,707.19
19,82,69,221,329,20.61,1017.28,45.52,709.43
20,82,69,221,329,20.61,1017.27,45.52,706.44
21,82,69,220,329,20.60,1017.26,45.53,710.93
22,82,69,220,329,20.60,1017.25,45.52,710.18
23,82,69,220,329,20.60,1017.25,45.50,710.93
24,81,68,221,328,20.60,1017.24,45.50,709.43
25,81,69,221,329,20.60,1017.24,45.50,706.44
26,82,69,221,328,20.60,1017.23,45.52,710.93
27,82,69,221,329,20.60,1017.23,45.51,710.93
28,82,69,221,330,20.60,1017.22,45.50,706.44
29,81,69,220,329,20.60,1017.23,45.50,707.93
30,82,68,220,329,20.60,1017.23,45.50,706.44
31,82,69,220,329,20.60,1017.23,45.50,707.93
32,82,68,220,329,20.60,1017.23,45.50,709.43
33,82,69,220,329,20.60,1017.24,45.49,707.93
34,81,69,220,329,20.60,1017.24,45.50,710.18
35,82,69,220,329,20.60,1017.24,45.49,712.44
36,82,69,220,328,20.60,1017.24,45.48,710.93
37,82,68,220,329,20.59,1017.24,45.50,715.47
38,82,68,220,328,20.59,1017.24,45.48,707.93
39,82,68,220,329,20.59,1017.23,45.48,714.71
40,81,68,220,328,20.59,1017.23,45.48,713.95
41,81,68,220,328,20.59,1017.23,45.47,711.68
42,81,68,220,328,20.59,1017.23,45.48,713.95
43,82,68,220,329,20.59,1017.24,45.47,710.93
44,81,68,220,329,20.59,1017.25,45.47,713.19
45,82,68,220,329,20.59,1017.25,45.46,715.47
46,81,68,220,328,20.59,1017.25,45.46,710.18
47,82,69,220,329,20.59,1017.25,45.47,711.68
48,81,68,219,329,20.59,1017.25,45.46,707.19
49,81,68,219,329,20.59,1017.25,45.47,714.71
50,81,68,220,329,20.59,1017.25,45.45,708.68
51,82,68,219,328,20.59,1017.25,45.46,711.68
52,82,68,219,328,20.59,1017.25,45.46,712.44
53,81,68,220,329,20.59,1017.26,45.46,713.19
54,81,68,219,328,20.59,1017.26,45.46,713.19
55,82,68,219,329,20.59,1017.26,45.46,713.95
56,81,68,219,329,20.59,1017.26,45.45,713.95
57,81,68,219,328,20.59,1017.26,45.46,710.18
58,81,68,219,328,20.59,1017.26,45.45,714.71
59,82,68,219,328,20.59,1017.25,45.46,712.44
60,81,68,219,329,20.59,1017.26,45.45,710.93
61,82,68,219,328,20.58,1017.25,45.46,710.93
62,81,68,219,329,20.58,1017.24,45.46,710.18
63,81,68,219,328,20.58,1017.24,45.45,715.47
64,80,68,219,328,20.58,1017.24,45.46,710.18
65,80,68,219,328,20.58,1017.25,45.45,712.44
66,81,68,219,329,20.58,1017.24,45.44,712.44
67,81,68,219,329,20.58,1017.25,45.45,713.95
68,81,67,219,329,20.58,1017.26,45.44,711.68
69,81,68,219,329,20.58,1017.25,45.45,717.76
70,81,68,218,329,20.58,1017.25,45.44,717.00
71,82,68,218,329,20.58,1017.25,45.45,709.43
72,81,67,218,328,20.58,1017.25,45.44,714.71
73,81,68,219,329,20.58,1017.25,45.45,710.18
74,80,68,219,328,20.58,1017.25,45.44,712.44
75,81,68,219,329,20.58,1017.24,45.44,713.95
76,81,68,218,328,20.58,1017.24,45.44,712.44
77,81,68,219,329,20.58,1017.24,45.44,714.71
78,81,68,219,329,20.58,1017.24,45.45,710.93
79,81,68,218,329,20.57,1017.24,45.44,714.71
80,80,67,218,328,20.57,1017.23,45.44,710.93
81,82,67,218,328,20.57,1017.23,45.44,718.53
82,81,68,218,329,20.57,1017.23,45.44,712.44
83,81,68,219,328,20.57,1017.23,45.44,716.23
84,81,68,217,329,20.57,1017.23,45.44,714.71
85,81,67,218,328,20.57,1017.23,45.43,717.00
86,81,68,218,329,20.57,1017.24,45.44,716.23
87,81,67,217,328,20.57,1017.25,45.44,713.95
88,81,67,218,329,20.57,1017.25,45.45,714.71
89,81,68,218,329,20.57,1017.25,45.45,713.95
90,81,68,218,329,20.57,1017.25,45.44,717.00
91,81,68,218,329,20.57,1017.24,45.44,713.95
92,81,68,217,329,20.57,1017.24,45.44,713.95
93,81,68,217,329,20.57,1017.24,45.44,713.95
94,81,68,217,328,20.57,1017.25,45.43,717.76
95,81,67,218,328,20.57,1017.26,45.44,717.00
96,81,67,217,328,20.57,1017.26,45.44,711.68
97,81,68,218,328,20.57,1017.26,45.44,717.00
98,81,67,217,328,20.57,1017.26,45.44,710.93
