Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,114,78,278,333,26.21,1003.73,42.95,720.07
1,115,78,277,334,26.21,1003.74,42.95,718.53
2,114,78,278,333,26.21,1003.75,42.95,723.17
3,115,77,278,332,26.21,1003.75,42.94,722.39
4,114,78,278,332,26.21,1003.75,42.94,727.87
5,115,78,278,333,26.22,1003.74,42.94,721.62
6,114,78,278,333,26.22,1003.75,42.94,720.07
7,114,78,278,333,26.22,1003.75,42.93,722.39
8,115,78,278,333,26.22,1003.75,42.94,723.95
9,115,78,278,334,26.22,1003.75,42.94,720.85
10,114,77,278,333,26.22,1003.75,42.93,727.87
11,114,77,278,333,26.22,1003.75,42.94,721.62
12,114,78,278,333,26.22,1003.74,42.93,727.09
13,114,78,277,333,26.22,1003.73,42.93,720.07
14,114,78,277,333,26.22,1003.74,42.92,722.39
15,114,77,277,333,26.22,1003.74,42.92,726.30
16,114,78,277,333,26.22,1003.74,42.93,723.17
17,114,78,278,333,26.22,1003.74,42.92,723.17
18,114,78,277,333,26.23,1003.74,42.92,723.95
19,114,77,278,333,26.23,1003.74,42.92,729.46
20,114,78,277,333,26.23,1003.74,42.92,721.62
21,114,77,277,333,26.23,1003.74,42.92,727.87
22,114,77,277,333,26.23,1003.73,42.92,723.95
23,114,78,277,332,26.23,1003.74,42.92,723.17
24,114,78,278,333,26.23,1003.74,42.92,728.66
25,114,77,277,333,26.23,1003.74,42.92,721.62
26,114,78,277,333,26.24,1003.74,42.91,717.76
27,114,78,277,333,26.24,1003.74,42.91,724.73
28,114,77,277,333,26.24,1003.74,42.90,723.17
29,114,77,278,333,26.24,1003.74,42.89,721.62
30,113,77,278,333,26.24,1003.73,42.89,722.39
31,114,77,277,333,26.24,1003.72,42.89,722.39
32,114,78,277,333,26.24,1003.73,42.90,723.95
33,114,77,277,333,26.24,1003.72,42.90,721.62
34,114,78,277,333,26.24,1003.72,42.89,723.17
35,114,78,277,334,26.24,1003.73,42.89,727.87
36,114,77,276,333,26.24,1003.74,42.89,723.17
37,113,77,277,333,26.24,1003.75,42.88,725.52
38,113,77,277,334,26.25,1003.75,42.88,717.76
39,114,78,277,332,26.25,1003.75,42.88,723.95
40,113,77,276,332,26.25,1003.76,42.88,721.62
41,113,77,276,333,26.25,1003.76,42.89,722.39
42,113,77,276,332,26.25,1003.76,42.89,726.30
43,114,77,276,333,26.25,1003.74,42.88,723.95
44,114,77,276,333,26.25,1003.74,42.88,723.17
45,113,77,276,333,26.25,1003.73,42.86,715.47
46,113,78,277,332,26.25,1003.72,42.87,725.52
47,114,77,276,332,26.25,1003.73,42.87,723.95
48,114,77,276,333,26.25,1003.74,42.86,723.95
49,113,77,276,332,26.25,1003.73,42.85,729.46
50,114,77,276,333,26.25,1003.72,42.85,724.73
51,113,77,276,332,26.25,1003.71,42.85,723.17
52,113,77,276,333,26.26,1003.72,42.86,727.09
53,113,77,276,333,26.26,1003.73,42.85,722.39
54,113,77,276,333,26.26,1003.74,42.85,729.46
55,113,77,276,333,26.26,1003.73,42.84,723.17
56,113,77,276,333,26.26,1003.72,42.83,729.46
57,114,77,276,333,26.26,1003.73,42.84,729.46
58,113,78,276,333,26.26,1003.72,42.83,723.95
59,113,77,276,332,26.26,1003.73,42.82,723.95
60,113,77,276,333,26.26,1003.73,42.82,722.39
61,113,77,275,332,26.26,1003.73,42.82,724.73
62,114,77,275,332,26.27,1003.73,42.81,727.87
63,113,77,276,332,26.27,1003.73,42.82,729.46
64,113,77,276,332,26.27,1003.72,42.82,721.62
65,113,77,275,332,26.27,1003.72,42.81,726.30
66,113,76,276,332,26.27,1003.72,42.79,730.25
67,114,77,275,332,26.27,1003.72,42.79,731.84
68,113,76,276,332,26.27,1003.72,42.80,724.73
69,113,77,276,333,26.27,1003.71,42.79,723.17
70,113,77,276,332,26.27,1003.72,42.80,723.95
71,113,77,275,332,26.27,1003.73,42.80,731.84
72,113,77,275,333,26.27,1003.73,42.79,723.17
73,113,77,276,332,26.27,1003.73,42.79,721.62
74,113,77,275,332,26.27,1003.73,42.78,726.30
75,113,77,275,332,26.28,1003.73,42.79,723.17
76,113,77,275,333,26.28,1003.72,42.77,723.17
77,113,77,275,332,26.28,1003.72,42.78,729.46
78,112,77,275,332,26.28,1003.73,42.77,724.73
79,113,77,275,332,26.28,1003.72,42.77,732.64
80,113,77,275,332,26.28,1003.72,42.77,729.46
81,113,76,274,332,26.28,1003.72,42.77,723.17
82,113,76,275,332,26.28,1003.72,42.77,721.62
83,113,77,275,332,26.28,1003.72,42.77,724.73
84,113,77,275,332,26.28,1003.72,42.76,727.09
85,113,77,274,332,26.28,1003.72,42.77,729.46
86,113,77,275,332,26.28,1003.72,42.78,723.95
87,113,77,275,332,26.28,1003.74,42.76,724.73
88,113,76,275,332,26.29,1003.74,42.76,727.87
89,113,76,275,332,26.29,1003.74,42.76,723.17
90,113,76,275,332,26.29,1003.73,42.76,724.73
91,112,77,275,332,26.29,1003.73,42.76,723.17
92,113,76,274,332,26.29,1003.73,42.76,724.73
93,113,77,275,332,26.29,1003.72,42.76,723.95
94,113,77,275,332,26.29,1003.73,42.74,732.64
95,113,76,275,333,26.29,1003.73,42.75,723.17
96,113,76,274,333,26.29,1003.73,42.76,722.39
97,113,76,274,332,26.29,1003.73,42.76,727.87
98,113,77,275,333,26.30,1003.73,42.76,727.87
99,113,76,274,332,26.30,1003.73,42.75,731.84
100,112,76,274,332,26.30,1003.73,42.74,724.73
101,113,77,275,332,26.30,1003.73,42.75,726.30
102,113,76,274,332,26.30,1003.73,42.75,724.73
103,113,76,274,333,26.30,1003.73,42.75,731.84
104,113,76,275,333,26.30,1003.73,42.75,727.09
105,113,76,274,332,26.30,1003.73,42.76,724.73
106,113,76,275,333,26.30,1003.73,42.74,723.95
107,113,76,274,332,26.30,1003.73,42.75,724.73
108,113,76,274,332,26.30,1003.74,42.74,723.95
109,113,76,274,332,26.30,1003.74,42.75,723.17
110,112,76,274,332,26.30,1003.74,42.75,727.09
111,112,76,274,332,26.31,1003.73,42.75,727.87
112,112,76,274,332,26.31,1003.73,42.75,724.73
113,112,76,274,332,26.31,1003.73,42.75,725.52
114,113,76,274,333,26.31,1003.74,42.74,725.52
115,113,76,274,332,26.31,1003.72,42.74,724.73
116,113,76,274,332,26.31,1003.73,42.74,723.95
117,113,76,274,333,26.31,1003.73,42.73,729.46
118,113,76,274,332,26.31,1003.73,42.74,729.46
119,113,76,274,333,26.31,1003.74,42.74,729.46
120,113,76,274,333,26.31,1003.74,42.72,731.84
121,112,76,274,332,26.32,1003.74,42.73,726.30
122,113,76,274,332,26.32,1003.74,42.72,731.04
123,113,76,273,333,26.32,1003.74,42.73,725.52
124,113,76,273,332,26.32,1003.74,42.72,724.73
125,113,76,274,332,26.32,1003.75,42.74,723.17
126,112,76,273,333,26.32,1003.74,42.72,729.46
127,112,76,274,332,26.32,1003.74,42.74,723.17
128,113,76,273,333,26.32,1003.74,42.72,718.53
129,112,77,274,333,26.32,1003.75,42.72,724.73
130,113,76,274,333,26.32,1003.75,42.74,723.95
131,112,76,274,333,26.33,1003.75,42.72,729.46
132,112,77,274,332,26.33,1003.76,42.74,726.30
133,112,76,273,333,26.33,1003.75,42.70,723.17
134,113,76,273,332,26.33,1003.75,42.71,723.17
135,113,76,273,333,26.33,1003.75,42.71,723.17
136,112,76,274,332,26.33,1003.75,42.70,727.09
137,113,76,273,333,26.33,1003.75,42.73,727.87
138,112,76,273,333,26.33,1003.74,42.71,727.87
139,112,76,273,332,26.33,1003.74,42.70,723.17
140,112,76,273,333,26.33,1003.68,42.71,723.95
141,113,76,274,333,26.33,1003.63,42.70,724.73
142,112,76,273,332,26.34,1003.59,42.71,723.95
143,113,76,272,333,26.34,1003.58,42.70,728.66
144,113,76,273,333,26.35,1003.55,42.70,725.52
145,112,76,274,333,26.36,1003.53,42.70,727.87
146,113,76,273,333,26.36,1003.51,42.70,729.46
147,112,76,274,333,26.37,1003.51,42.69,726.30
148,112,76,273,333,26.38,1003.51,42.69,727.87
149,113,76,272,334,26.38,1003.50,42.69,727.87
150,113,76,273,334,26.39,1003.50,42.69,723.95
151,113,76,273,333,26.40,1003.51,42.69,723.95
152,113,76,274,334,26.40,1003.51,42.69,719.30
153,113,76,272,335,26.41,1003.50,42.68,717.76
154,113,76,273,335,26.42,1003.49,42.70,724.73
155,113,77,273,335,26.43,1003.49,42.69,717.76
156,113,77,274,336,26.43,1003.49,42.68,718.53
157,113,76,274,336,26.44,1003.49,42.69,723.95
158,113,76,273,337,26.44,1003.50,42.68,722.39
159,113,76,273,337,26.45,1003.49,42.67,721.62
160,113,76,273,338,26.46,1003.49,42.67,718.53
161,113,76,273,338,26.46,1003.49,42.66,716.23
162,113,76,274,339,26.47,1003.49,42.67,710.93
163,113,77,273,339,26.47,1003.48,42.67,715.47
164,112,76,273,340,26.48,1003.49,42.66,717.00
165,113,76,273,340,26.48,1003.50,42.66,716.23
166,113,76,273,341,26.49,1003.49,42.66,713.19
167,114,77,273,341,26.50,1003.49,42.66,708.68
168,113,76,273,341,26.50,1003.48,42.65,713.95
169,113,76,273,342,26.50,1003.49,42.64,711.68
170,113,76,274,343,26.51,1003.49,42.65,713.95
171,113,76,273,344,26.51,1003.49,42.64,707.93
172,113,76,274,344,26.52,1003.50,42.64,711.68
173,114,76,273,345,26.52,1003.49,42.64,706.44
174,114,76,274,345,26.52,1003.49,42.64,708.68
175,114,76,273,346,26.53,1003.49,42.63,710.18
176,114,76,273,347,26.53,1003.49,42.63,707.93
177,114,76,274,348,26.54,1003.50,42.61,702.01
178,114,76,273,348,26.54,1003.49,42.61,704.96
179,114,76,274,349,26.54,1003.49,42.62,701.28
180,114,76,274,349,26.55,1003.49,42.62,702.01
181,114,76,273,350,26.55,1003.50,42.62,704.22
182,114,76,274,351,26.55,1003.50,42.61,703.48
183,114,76,273,352,26.56,1003.51,42.60,702.75
184,114,76,273,353,26.56,1003.51,42.60,702.01
185,114,76,273,353,26.56,1003.50,42.60,701.28
186,114,76,273,354,26.56,1003.50,42.60,703.48
187,114,77,274,355,26.57,1003.50,42.59,698.37
188,114,77,274,355,26.57,1003.50,42.60,699.09
189,115,77,273,356,26.57,1003.50,42.59,696.92
190,114,77,274,357,26.57,1003.50,42.59,699.09
191,115,76,274,358,26.58,1003.50,42.58,693.32
192,115,77,274,358,26.58,1003.49,42.59,696.20
193,114,76,274,359,26.58,1003.49,42.58,694.75
194,114,77,274,360,26.58,1003.49,42.58,690.47
195,115,77,274,361,26.59,1003.49,42.56,693.32
196,115,77,274,361,26.59,1003.50,42.58,694.75
197,115,77,274,362,26.59,1003.50,42.58,692.61
198,115,77,274,363,26.59,1003.49,42.58,691.89
199,115,76,274,365,26.59,1003.49,42.57,684.84
200,115,77,274,364,26.59,1003.49,42.58,684.84
201,114,76,274,365,26.60,1003.49,42.58,690.47
202,115,77,274,366,26.60,1003.48,42.57,684.14
203,115,76,274,367,26.60,1003.48,42.56,688.35
204,115,77,273,368,26.60,1003.49,42.57,684.84
205,115,77,274,369,26.60,1003.49,42.55,684.84
206,115,77,274,370,26.60,1003.49,42.57,681.37
207,116,77,275,370,26.60,1003.49,42.55,682.75
208,116,77,274,372,26.61,1003.48,42.56,676.56
209,115,77,274,372,26.61,1003.48,42.55,682.75
210,115,77,274,373,26.61,1003.48,42.54,681.37
211,115,77,275,373,26.61,1003.48,42.55,680.68
212,116,77,274,374,26.62,1003.48,42.56,682.06
