Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,114,99,309,444,16.79,1019.34,51.08,510.51
1,114,98,309,444,16.79,1019.35,51.06,507.81
2,114,98,309,444,16.79,1019.34,51.08,508.57
3,113,99,309,444,16.79,1019.33,51.07,508.96
4,114,98,309,444,16.79,1019.34,51.08,506.66
5,115,98,309,445,16.79,1019.34,51.07,508.57
6,114,98,308,445,16.80,1019.34,51.06,507.42
7,114,98,309,445,16.80,1019.34,51.07,508.19
8,114,98,308,444,16.80,1019.34,51.06,506.27
9,114,98,308,444,16.80,1019.34,51.07,507.04
10,114,99,308,444,16.80,1019.34,51.07,510.51
11,114,98,308,444,16.80,1019.33,51.06,505.89
12,114,97,308,444,16.79,1019.33,51.08,509.73
13,114,98,308,444,16.80,1019.33,51.07,507.04
14,114,98,308,444,16.80,1019.33,51.07,506.66
15,113,98,307,444,16.80,1019.33,51.06,508.19
16,114,98,307,445,16.80,1019.33,51.05,508.96
17,113,98,308,444,16.80,1019.33,51.06,508.19
18,113,98,307,445,16.80,1019.33,51.06,507.42
19,114,97,308,444,16.80,1019.33,51.05,508.57
20,113,97,307,444,16.80,1019.33,51.07,507.81
21,114,97,307,444,16.80,1019.33,51.05,508.57
22,114,98,307,444,16.80,1019.33,51.04,508.19
23,113,98,307,444,16.80,1019.33,51.04,509.35
24,113,97,307,445,16.80,1019.33,51.04,507.04
25,113,97,307,444,16.80,1019.33,51.03,509.35
26,113,97,307,445,16.80,1019.33,51.04,510.89
27,114,97,307,446,16.80,1019.33,51.04,508.96
28,114,98,307,445,16.80,1019.33,51.03,510.51
29,113,97,306,446,16.80,1019.32,51.02,508.96
30,113,97,307,445,16.80,1019.32,51.02,507.81
31,113,97,306,445,16.80,1019.33,51.01,510.89
32,113,97,306,445,16.80,1019.33,51.01,508.96
33,113,97,306,445,16.80,1019.33,51.01,508.57
34,113,97,306,445,16.80,1019.33,50.99,509.35
35,113,97,306,444,16.80,1019.33,50.99,510.89
36,113,97,305,445,16.80,1019.33,50.99,509.35
37,113,97,306,444,16.80,1019.31,50.98,510.89
38,112,97,305,445,16.80,1019.31,50.96,511.67
39,113,97,305,444,16.80,1019.32,50.98,509.73
40,113,97,306,445,16.80,1019.31,50.96,511.28
41,112,97,306,444,16.80,1019.32,50.96,511.28
42,113,97,306,445,16.80,1019.32,50.96,509.35
43,113,97,305,444,16.80,1019.32,50.93,511.67
44,113,97,306,444,16.80,1019.32,50.94,511.28
45,113,97,305,445,16.80,1019.32,50.95,512.06
46,112,96,304,445,16.80,1019.32,50.94,511.67
47,113,97,305,444,16.80,1019.32,50.95,510.51
48,113,97,305,444,16.80,1019.32,50.94,511.67
49,113,97,305,444,16.80,1019.32,50.91,512.45
50,113,97,305,444,16.80,1019.33,50.94,512.06
51,113,97,304,444,16.80,1019.32,50.93,511.67
52,112,97,305,444,16.80,1019.32,50.93,510.89
53,113,97,304,444,16.80,1019.32,50.90,513.24
54,113,97,305,443,16.80,1019.31,50.90,514.42
55,112,97,304,444,16.80,1019.32,50.91,511.67
56,112,96,304,444,16.80,1019.32,50.89,513.63
57,113,96,304,443,16.80,1019.32,50.89,513.24
58,113,96,304,444,16.80,1019.32,50.87,512.45
59,112,96,304,444,16.80,1019.32,50.87,511.67
60,112,96,304,444,16.80,1019.32,50.86,516.00
61,112,96,304,444,16.80,1019.32,50.85,512.45
62,113,96,304,443,16.80,1019.32,50.85,513.24
63,112,97,304,444,16.80,1019.31,50.85,513.24
64,112,97,304,444,16.80,1019.31,50.84,514.81
65,112,96,303,443,16.80,1019.30,50.84,516.00
66,112,96,303,444,16.80,1019.30,50.82,514.02
67,112,96,303,444,16.80,1019.30,50.83,512.85
68,112,96,303,444,16.80,1019.30,50.79,514.81
69,112,96,302,444,16.80,1019.30,50.80,512.85
70,112,96,302,444,16.80,1019.29,50.78,514.02
71,112,96,302,443,16.80,1019.30,50.77,514.42
72,112,96,303,444,16.80,1019.31,50.76,514.02
73,112,95,302,444,16.80,1019.30,50.75,517.19
74,112,96,303,443,16.80,1019.30,50.73,514.81
75,112,96,303,444,16.80,1019.29,50.72,515.60
76,113,96,303,444,16.80,1019.30,50.71,514.42
77,113,95,302,443,16.80,1019.30,50.71,514.81
78,113,95,303,443,16.80,1019.30,50.70,515.60
79,113,96,302,443,16.80,1019.31,50.70,515.60
80,113,96,302,444,16.80,1019.30,50.68,516.39
81,113,95,302,444,16.80,1019.30,50.68,514.81
82,113,95,301,444,16.80,1019.30,50.68,515.60
83,112,96,301,444,16.80,1019.30,50.66,516.00
84,113,95,302,445,16.80,1019.30,50.66,514.02
85,113,95,301,444,16.80,1019.30,50.65,515.21
86,113,96,302,444,16.80,1019.30,50.64,514.02
87,112,95,302,443,16.80,1019.29,50.64,516.79
88,112,95,302,443,16.80,1019.29,50.63,516.39
89,112,95,301,443,16.80,1019.30,50.61,516.79
90,113,96,301,443,16.80,1019.30,50.63,516.79
91,113,95,301,443,16.80,1019.30,50.61,517.19
92,112,95,301,444,16.80,1019.30,50.61,516.00
93,112,94,302,443,16.80,1019.30,50.60,517.19
94,112,96,302,442,16.80,1019.31,50.59,516.39
95,112,95,302,443,16.80,1019.31,50.59,518.79
96,112,95,301,443,16.80,1019.30,50.59,517.19
97,111,95,302,442,16.80,1019.30,50.60,516.00
98,112,95,302,443,16.80,1019.30,50.59,516.39
99,111,96,302,443,16.80,1019.30,50.59,514.81
100,112,95,301,443,16.80,1019.30,50.61,516.39
101,112,96,302,442,16.80,1019.29,50.61,514.02
102,112,94,301,444,16.80,1019.29,50.61,514.02
103,112,95,301,443,16.80,1019.29,50.61,514.42
104,112,95,301,443,16.80,1019.29,50.63,514.02
105,112,95,301,443,16.80,1019.30,50.63,514.42
106,112,95,300,444,16.80,1019.30,50.64,514.81
107,112,95,301,444,16.80,1019.30,50.64,514.42
108,112,94,300,444,16.80,1019.30,50.65,514.02
109,112,95,300,444,16.80,1019.30,50.65,514.02
110,112,95,300,444,16.80,1019.29,50.63,515.21
111,112,95,300,443,16.80,1019.30,50.65,515.60
112,111,95,300,443,16.80,1019.29,50.65,515.21
113,111,94,300,443,16.80,1019.29,50.64,514.81
114,111,95,301,442,16.80,1019.28,50.65,516.00
115,112,95,300,444,16.80,1019.29,50.65,516.39
116,112,95,300,443,16.80,1019.29,50.64,517.19
117,112,95,300,442,16.80,1019.28,50.64,517.59
118,112,95,300,442,16.80,1019.28,50.64,518.79
119,111,94,299,442,16.80,1019.28,50.63,521.20
120,112,95,299,442,16.80,1019.28,50.62,518.79
121,112,95,299,442,16.80,1019.27,50.61,518.79
122,111,95,300,442,16.80,1019.28,50.61,517.59
123,111,95,300,442,16.80,1019.28,50.60,519.59
124,114,96,303,444,16.80,1019.28,50.60,514.81
125,118,98,306,447,16.80,1019.28,50.61,508.19
126,121,97,307,448,16.80,1019.27,50.63,498.39
127,122,99,308,450,16.80,1019.29,50.66,493.99
128,125,99,309,452,16.80,1019.29,50.72,488.25
129,127,99,308,453,16.80,1019.29,50.81,484.37
130,128,99,309,454,16.80,1019.28,50.93,479.88
131,129,99,310,455,16.80,1019.29,51.03,475.80
132,130,99,311,455,16.80,1019.28,51.15,472.12
133,130,99,310,456,16.80,1019.29,51.30,470.80
134,131,99,311,457,16.81,1019.29,51.45,470.14
135,131,100,311,457,16.81,1019.29,51.59,466.55
136,132,100,312,458,16.81,1019.29,51.73,464.93
137,132,100,312,458,16.81,1019.29,51.90,464.29
138,132,100,312,458,16.81,1019.29,52.07,464.93
