Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,113,75,256,384,18.04,1015.69,50.40,546.20
1,112,75,256,385,18.04,1015.69,50.39,546.20
2,113,75,257,385,18.04,1015.68,50.40,548.43
3,113,75,256,384,18.04,1015.69,50.37,546.65
4,113,75,256,384,18.04,1015.69,50.38,549.33
5,113,75,256,385,18.04,1015.69,50.37,548.43
6,113,75,255,385,18.04,1015.69,50.37,546.65
7,113,75,255,385,18.04,1015.68,50.38,545.76
8,112,75,256,384,18.04,1015.70,50.37,548.43
9,113,75,256,384,18.04,1015.70,50.36,545.76
10,112,74,255,385,18.04,1015.70,50.38,546.65
11,113,75,255,384,18.04,1015.70,50.37,547.54
12,113,75,255,385,18.04,1015.70,50.36,546.20
13,113,75,256,385,18.04,1015.70,50.36,546.65
14,112,75,256,384,18.05,1015.70,50.35,547.54
15,112,75,256,385,18.05,1015.70,50.34,546.65
16,112,75,255,384,18.05,1015.71,50.34,546.65
17,113,75,255,385,18.05,1015.70,50.34,547.54
18,113,75,255,385,18.05,1015.71,50.33,545.76
19,112,75,254,384,18.05,1015.69,50.33,547.54
20,113,75,254,384,18.05,1015.69,50.33,546.65
21,112,75,255,385,18.05,1015.69,50.31,548.43
22,113,75,255,384,18.05,1015.70,50.32,547.09
23,112,75,255,384,18.05,1015.70,50.33,547.98
24,112,75,255,384,18.05,1015.69,50.31,545.76
25,112,75,255,385,18.05,1015.69,50.31,549.33
26,113,75,255,384,18.05,1015.68,50.30,552.04
27,112,75,255,385,18.05,1015.69,50.30,547.54
28,112,75,255,385,18.05,1015.69,50.31,544.87
29,113,75,255,384,18.05,1015.69,50.30,547.54
30,112,74,255,385,18.05,1015.70,50.30,546.65
31,112,75,254,385,18.05,1015.69,50.29,547.54
32,112,75,255,384,18.05,1015.68,50.30,548.88
33,112,75,254,384,18.05,1015.68,50.28,547.09
34,112,74,255,385,18.05,1015.69,50.28,549.33
35,112,74,254,385,18.05,1015.69,50.26,548.43
36,112,74,254,384,18.06,1015.70,50.26,549.78
37,112,75,254,385,18.06,1015.69,50.27,546.65
38,113,75,254,384,18.06,1015.70,50.26,546.65
39,112,75,254,385,18.06,1015.69,50.25,546.65
40,112,75,254,384,18.06,1015.68,50.26,552.04
41,112,74,254,384,18.06,1015.69,50.24,549.33
42,112,74,254,384,18.06,1015.69,50.25,549.33
43,112,74,254,385,18.06,1015.68,50.24,546.65
44,112,74,254,384,18.06,1015.69,50.23,545.32
45,112,75,254,384,18.06,1015.68,50.24,548.43
46,112,74,254,385,18.06,1015.68,50.25,544.43
47,112,75,254,385,18.06,1015.67,50.24,543.11
48,112,75,254,385,18.06,1015.67,50.24,548.43
49,112,75,254,384,18.06,1015.68,50.24,549.33
50,111,74,254,385,18.06,1015.67,50.22,547.54
51,112,74,254,385,18.06,1015.69,50.22,547.09
52,112,75,254,385,18.06,1015.68,50.23,544.43
53,112,74,253,384,18.06,1015.68,50.22,545.76
54,112,74,253,385,18.06,1015.68,50.23,545.32
55,112,74,254,384,18.06,1015.68,50.23,548.88
56,112,74,254,385,18.06,1015.68,50.21,546.20
57,112,74,253,385,18.06,1015.68,50.22,549.78
58,111,74,254,384,18.06,1015.68,50.21,546.65
59,112,74,253,384,18.06,1015.67,50.21,547.54
60,112,74,253,385,18.06,1015.67,50.21,547.09
61,112,74,253,384,18.06,1015.67,50.20,548.88
62,112,74,253,385,18.06,1015.67,50.22,547.09
63,112,74,252,384,18.06,1015.68,50.20,547.98
64,112,74,253,385,18.06,1015.68,50.20,545.76
65,112,74,253,385,18.06,1015.68,50.20,546.20
66,112,74,253,385,18.06,1015.69,50.20,547.09
67,112,74,253,385,18.06,1015.69,50.20,546.65
68,112,74,253,385,18.06,1015.69,50.21,547.54
69,112,74,253,385,18.06,1015.68,50.18,547.09
70,112,74,253,385,18.06,1015.68,50.20,546.20
71,112,74,253,386,18.06,1015.69,50.20,546.65
72,112,74,253,385,18.06,1015.69,50.20,546.20
73,112,74,253,384,18.06,1015.69,50.19,549.33
74,112,73,253,385,18.06,1015.70,50.20,546.65
75,112,73,252,385,18.06,1015.68,50.20,544.87
76,112,74,253,385,18.06,1015.69,50.19,546.20
77,112,75,253,385,18.06,1015.69,50.19,543.55
78,112,74,253,385,18.06,1015.68,50.19,544.87
79,112,74,252,384,18.06,1015.69,50.18,543.99
80,111,74,252,384,18.06,1015.68,50.19,547.54
81,112,74,253,385,18.06,1015.68,50.18,547.98
