Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,86,67,215,398,16.35,1022.14,40.51,577.17
1,87,67,215,398,16.34,1022.13,40.51,576.18
2,86,66,215,397,16.34,1022.13,40.51,578.66
3,86,67,215,398,16.34,1022.12,40.50,579.16
4,86,66,215,397,16.34,1022.11,40.48,579.66
5,86,66,214,397,16.35,1022.11,40.49,579.16
6,86,66,215,397,16.35,1022.11,40.48,578.66
7,86,66,215,396,16.35,1022.12,40.47,578.16
8,86,66,215,397,16.35,1022.12,40.47,581.17
9,85,67,214,396,16.35,1022.13,40.47,579.16
10,85,66,215,397,16.35,1022.14,40.46,580.66
11,86,66,215,397,16.35,1022.13,40.46,580.16
12,85,66,214,397,16.35,1022.12,40.47,582.17
13,85,66,214,397,16.35,1022.12,40.45,579.16
14,86,66,214,397,16.35,1022.12,40.43,577.67
15,85,66,214,397,16.35,1022.13,40.44,576.68
16,85,66,214,397,16.35,1022.13,40.44,578.16
17,85,66,214,397,16.35,1022.13,40.43,576.68
18,86,66,214,397,16.35,1022.13,40.41,578.66
19,86,66,214,397,16.35,1022.13,40.41,577.17
20,86,66,214,396,16.35,1022.14,40.41,577.67
21,85,66,214,397,16.35,1022.14,40.42,577.67
22,85,66,213,397,16.35,1022.15,40.40,574.70
23,85,65,213,397,16.34,1022.16,40.41,577.17
24,86,66,213,396,16.34,1022.16,40.39,573.72
25,85,66,214,397,16.34,1022.16,40.39,574.21
26,85,65,214,396,16.35,1022.17,40.39,571.77
27,85,66,213,397,16.34,1022.17,40.38,576.18
28,85,66,214,397,16.34,1022.17,40.38,574.21
29,85,66,213,397,16.34,1022.18,40.38,576.18
30,86,65,214,397,16.34,1022.18,40.37,574.21
31,85,65,214,397,16.34,1022.17,40.37,572.74
32,85,66,213,397,16.34,1022.16,40.37,571.77
33,85,66,213,398,16.34,1022.17,40.36,573.72
34,85,66,213,398,16.34,1022.17,40.34,572.74
35,85,66,214,398,16.34,1022.17,40.36,570.31
36,85,65,213,398,16.34,1022.16,40.36,571.28
37,85,66,214,398,16.34,1022.17,40.35,572.74
