Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,80,59,192,354,14.33,1026.46,32.46,891.91
1,80,59,192,355,14.32,1026.44,32.48,887.79
2,80,58,192,355,14.33,1026.46,32.46,894.88
3,80,58,192,354,14.33,1026.44,32.47,888.96
4,80,59,192,354,14.33,1026.45,32.45,886.03
5,80,59,192,355,14.33,1026.45,32.45,891.91
6,80,59,192,355,14.32,1026.45,32.45,891.32
7,80,58,192,355,14.32,1026.46,32.43,899.06
8,80,59,192,355,14.32,1026.45,32.43,890.73
9,80,59,192,355,14.32,1026.46,32.43,894.88
10,80,58,191,354,14.32,1026.43,32.43,896.07
11,80,59,192,355,14.32,1026.46,32.42,894.88
12,80,59,191,355,14.32,1026.44,32.43,891.32
13,80,59,191,355,14.32,1026.46,32.42,896.67
14,80,58,191,354,14.32,1026.44,32.42,890.14
15,80,59,191,354,14.32,1026.46,32.41,890.14
16,80,59,192,355,14.32,1026.44,32.40,893.69
17,79,59,191,354,14.32,1026.45,32.40,894.88
18,80,59,192,355,14.32,1026.45,32.41,896.07
19,80,58,192,355,14.32,1026.45,32.40,897.26
20,80,58,192,355,14.32,1026.45,32.39,894.28
21,80,58,192,355,14.32,1026.45,32.39,886.62
22,80,59,192,354,14.32,1026.45,32.39,894.28
23,80,58,191,354,14.32,1026.44,32.38,894.88
24,79,59,192,355,14.32,1026.46,32.39,890.14
25,80,58,191,354,14.32,1026.45,32.37,894.88
26,79,58,191,355,14.32,1026.46,32.37,896.07
27,80,59,190,355,14.32,1026.43,32.37,893.09
28,80,59,191,354,14.32,1026.44,32.37,888.37
29,80,58,191,354,14.32,1026.43,32.36,894.88
30,79,58,191,355,14.32,1026.44,32.36,897.26
31,80,59,192,355,14.32,1026.45,32.36,895.47
32,79,59,191,355,14.32,1026.44,32.36,894.88
33,80,59,191,354,14.32,1026.45,32.36,890.73
34,79,58,191,354,14.32,1026.43,32.36,890.14
35,79,58,191,354,14.32,1026.45,32.34,896.07
36,80,58,191,355,14.32,1026.44,32.34,888.37
37,80,58,191,355,14.32,1026.45,32.33,895.47
38,79,58,191,355,14.32,1026.42,32.33,896.67
39,80,58,191,355,14.32,1026.44,32.34,897.26
40,79,58,191,355,14.32,1026.44,32.33,896.67
41,79,59,191,354,14.32,1026.44,32.32,896.07
42,80,58,191,355,14.32,1026.44,32.33,893.09
43,79,58,190,354,14.32,1026.44,32.32,894.28
44,79,58,191,355,14.32,1026.45,32.32,896.07
45,79,58,191,355,14.32,1026.43,32.31,895.47
46,79,58,191,355,14.32,1026.45,32.32,897.26
47,79,59,190,355,14.32,1026.43,32.32,896.67
48,80,58,190,355,14.32,1026.44,32.31,899.06
49,79,58,191,355,14.32,1026.43,32.30,894.88
50,79,58,190,355,14.32,1026.44,32.30,895.47
51,79,59,190,355,14.32,1026.43,32.29,895.47
52,79,59,190,355,14.32,1026.43,32.29,890.14
53,79,58,190,354,14.32,1026.44,32.29,891.32
54,79,58,191,354,14.32,1026.44,32.28,894.88
55,80,58,190,354,14.32,1026.45,32.27,895.47
56,79,58,191,354,14.32,1026.45,32.28,899.66
57,79,58,190,355,14.32,1026.45,32.26,895.47
58,79,58,190,355,14.32,1026.44,32.27,893.69
59,80,58,190,355,14.32,1026.46,32.27,899.66
60,79,58,190,355,14.32,1026.43,32.27,896.67
61,79,58,190,355,14.32,1026.44,32.27,896.67
62,80,58,190,355,14.32,1026.44,32.25,896.67
63,79,58,190,354,14.32,1026.45,32.26,894.88
64,79,58,190,355,14.32,1026.45,32.26,894.88
65,79,58,190,355,14.32,1026.45,32.25,895.47
66,79,58,190,355,14.32,1026.45,32.24,894.88
67,79,58,190,355,14.32,1026.44,32.24,896.07
68,79,58,189,354,14.32,1026.45,32.24,889.55
69,79,58,190,355,14.31,1026.44,32.24,892.50
70,79,58,189,354,14.32,1026.46,32.25,896.07
71,79,58,190,354,14.32,1026.45,32.23,896.67
72,79,58,190,354,14.31,1026.46,32.24,897.26
73,80,58,190,354,14.31,1026.44,32.24,899.06
74,79,58,190,355,14.31,1026.45,32.23,894.28
75,79,58,190,355,14.31,1026.46,32.23,897.26
76,79,58,190,355,14.32,1026.45,32.23,893.09
77,79,58,190,355,14.32,1026.46,32.21,893.69
78,78,58,190,355,14.31,1026.44,32.21,894.88
79,78,58,190,354,14.31,1026.46,32.20,897.26
80,79,58,190,355,14.31,1026.44,32.21,895.47
81,79,58,189,355,14.31,1026.46,32.20,897.26
82,79,58,189,355,14.31,1026.45,32.20,892.50
83,79,58,190,355,14.31,1026.46,32.20,896.07
84,79,58,189,355,14.31,1026.45,32.21,898.46
85,79,58,190,355,14.31,1026.45,32.20,896.07
86,79,58,189,355,14.31,1026.44,32.21,893.69
87,79,58,190,355,14.31,1026.44,32.19,894.28
88,79,58,189,355,14.31,1026.45,32.20,899.66
89,79,58,189,356,14.31,1026.43,32.19,887.79
90,79,58,189,356,14.31,1026.44,32.19,897.86
91,78,58,189,355,14.31,1026.42,32.18,890.14
92,79,58,189,355,14.31,1026.43,32.19,896.67
93,79,58,189,355,14.31,1026.43,32.18,891.91
94,79,58,189,356,14.31,1026.44,32.19,890.14
95,79,58,189,355,14.31,1026.43,32.18,898.46
96,78,58,189,356,14.31,1026.44,32.19,899.66
97,79,58,189,355,14.31,1026.45,32.18,896.07
98,79,58,189,356,14.31,1026.44,32.16,891.91
99,79,58,189,355,14.31,1026.46,32.18,905.11
100,79,57,189,355,14.31,1026.44,32.19,903.90
101,79,58,189,356,14.31,1026.45,32.18,896.07
102,79,58,189,355,14.31,1026.44,32.17,894.28
103,79,58,189,356,14.31,1026.45,32.17,897.26
104,79,58,189,355,14.31,1026.43,32.18,896.07
105,79,57,189,356,14.31,1026.44,32.17,900.87
106,79,58,189,356,14.31,1026.45,32.17,890.73
107,78,58,189,356,14.31,1026.43,32.16,890.14
108,78,58,189,356,14.31,1026.45,32.16,893.09
109,79,57,189,356,14.31,1026.44,32.16,891.91
110,79,58,189,356,14.31,1026.45,32.16,889.55
111,79,58,189,356,14.31,1026.44,32.15,887.79
112,79,58,188,356,14.31,1026.43,32.16,890.14
113,79,58,188,356,14.31,1026.46,32.16,893.09
114,79,58,189,356,14.31,1026.44,32.16,891.91
115,79,58,188,357,14.31,1026.45,32.16,890.73
116,78,58,188,356,14.31,1026.43,32.15,896.07
117,79,57,189,356,14.31,1026.45,32.15,892.50
118,79,58,189,356,14.31,1026.45,32.15,894.88
119,79,58,189,356,14.31,1026.45,32.15,892.50
120,79,58,189,356,14.31,1026.45,32.15,892.50
121,79,57,189,356,14.31,1026.43,32.15,902.68
122,79,57,189,356,14.31,1026.46,32.15,896.07
123,79,57,189,356,14.31,1026.43,32.15,897.26
