Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,97,70,221,401,16.34,1022.39,41.27,595.59
1,98,70,221,401,16.34,1022.40,41.27,595.59
2,97,70,220,401,16.33,1022.39,41.28,595.59
3,97,69,221,401,16.33,1022.39,41.27,597.18
4,97,70,221,400,16.33,1022.40,41.27,599.31
5,97,70,220,400,16.33,1022.40,41.27,598.24
6,97,70,220,399,16.33,1022.39,41.25,599.31
7,97,69,220,400,16.34,1022.40,41.25,601.46
8,97,70,220,399,16.34,1022.40,41.24,601.46
9,97,69,220,399,16.34,1022.40,41.24,596.12
10,97,69,220,399,16.34,1022.40,41.24,599.85
11,97,69,219,399,16.34,1022.40,41.23,600.38
12,97,70,220,398,16.33,1022.41,41.22,603.62
13,97,70,220,399,16.33,1022.40,41.22,603.62
14,97,69,220,398,16.33,1022.41,41.22,598.24
15,97,69,219,399,16.33,1022.40,41.22,602.54
16,97,69,219,398,16.34,1022.40,41.20,602.54
17,98,69,220,399,16.33,1022.40,41.21,601.46
18,97,70,219,398,16.34,1022.40,41.20,603.62
19,97,70,219,398,16.33,1022.40,41.20,601.46
20,97,70,220,398,16.33,1022.40,41.19,602.54
21,98,69,219,398,16.33,1022.41,41.18,599.31
22,97,70,219,397,16.33,1022.41,41.18,607.44
23,97,69,220,397,16.33,1022.40,41.18,605.25
24,97,70,219,397,16.33,1022.40,41.18,604.16
25,97,70,218,397,16.33,1022.40,41.16,605.80
26,97,70,220,397,16.33,1022.40,41.15,605.25
27,97,70,219,397,16.33,1022.40,41.15,605.25
28,97,69,219,398,16.33,1022.40,41.16,604.16
29,98,70,219,397,16.33,1022.41,41.15,603.62
30,97,69,219,396,16.33,1022.41,41.15,605.80
31,96,69,219,397,16.33,1022.42,41.13,604.71
32,97,69,218,397,16.33,1022.42,41.13,603.08
33,97,70,218,397,16.33,1022.43,41.13,603.62
34,97,69,218,397,16.33,1022.43,41.12,605.80
35,98,69,218,397,16.33,1022.44,41.13,603.08
36,98,69,218,397,16.33,1022.44,41.12,600.38
37,97,69,219,397,16.33,1022.44,41.13,604.16
38,97,69,218,397,16.33,1022.44,41.12,602.54
39,97,69,219,397,16.33,1022.45,41.12,598.24
40,97,69,218,397,16.33,1022.45,41.11,603.08
41,97,69,219,397,16.33,1022.45,41.11,599.31
42,97,70,218,398,16.33,1022.45,41.11,600.38
