Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,84,69,221,287,15.79,1019.19,27.42,935.98
1,85,69,221,286,15.79,1019.18,27.42,927.59
2,85,68,221,287,15.79,1019.20,27.42,930.79
3,85,68,221,287,15.79,1019.20,27.42,931.44
4,85,69,221,286,15.79,1019.20,27.43,927.59
5,85,69,220,287,15.79,1019.19,27.42,930.79
6,85,69,221,286,15.80,1019.20,27.43,929.51
7,85,68,221,286,15.79,1019.19,27.43,926.31
8,85,69,221,286,15.80,1019.19,27.43,930.15
9,85,68,220,287,15.80,1019.19,27.44,925.67
10,85,69,221,287,15.80,1019.19,27.43,934.03
11,84,68,221,288,15.79,1019.18,27.44,929.51
12,84,69,221,287,15.79,1019.19,27.45,935.98
13,85,68,220,288,15.79,1019.19,27.45,929.51
14,85,69,221,288,15.79,1019.19,27.45,929.51
15,85,69,221,288,15.79,1019.19,27.45,934.03
16,84,68,220,288,15.79,1019.20,27.46,928.23
17,85,69,220,287,15.79,1019.20,27.46,929.51
18,84,68,220,287,15.80,1019.20,27.47,927.59
19,84,68,220,288,15.79,1019.20,27.47,924.40
20,84,68,220,287,15.79,1019.20,27.47,929.51
21,84,68,220,287,15.79,1019.20,27.47,928.87
22,84,68,220,288,15.80,1019.20,27.48,929.51
23,84,68,220,287,15.80,1019.20,27.47,932.09
24,85,68,219,288,15.80,1019.21,27.48,937.93
25,85,68,220,288,15.80,1019.21,27.49,928.23
26,84,67,220,288,15.80,1019.21,27.48,926.31
27,85,68,219,287,15.79,1019.21,27.48,926.95
28,85,68,220,287,15.80,1019.21,27.49,932.09
29,84,68,220,287,15.80,1019.21,27.49,926.31
30,84,67,219,287,15.80,1019.22,27.50,927.59
31,84,68,219,288,15.80,1019.21,27.50,929.51
32,84,68,219,287,15.79,1019.21,27.51,928.87
33,84,67,219,287,15.80,1019.21,27.51,925.03
34,84,68,218,288,15.80,1019.21,27.51,932.09
35,85,68,219,287,15.80,1019.21,27.51,935.33
36,85,68,219,288,15.79,1019.20,27.51,925.03
37,85,67,219,288,15.79,1019.20,27.51,926.31
38,85,67,219,288,15.79,1019.19,27.52,926.95
39,84,67,218,288,15.79,1019.19,27.51,925.03
40,85,67,218,288,15.79,1019.19,27.53,926.95
41,84,67,218,288,15.79,1019.19,27.52,929.51
42,84,67,218,287,15.79,1019.20,27.54,925.67
43,84,67,218,288,15.79,1019.20,27.54,929.51
44,84,67,217,288,15.79,1019.21,27.54,932.09
45,84,67,218,287,15.79,1019.21,27.54,930.15
46,84,67,218,287,15.79,1019.21,27.54,930.79
47,84,67,218,288,15.79,1019.21,27.55,923.76
48,84,67,217,288,15.79,1019.20,27.55,928.23
49,83,66,218,288,15.79,1019.20,27.55,931.44
50,84,67,218,288,15.79,1019.20,27.55,930.79
51,84,67,218,287,15.79,1019.19,27.54,927.59
52,84,67,217,288,15.79,1019.19,27.55,932.09
53,84,67,218,288,15.79,1019.20,27.55,936.63
54,83,66,218,288,15.79,1019.20,27.55,930.79
55,83,66,218,288,15.79,1019.21,27.55,936.63
56,83,66,218,288,15.79,1019.21,27.55,928.23
57,83,66,217,288,15.79,1019.21,27.55,933.38
58,84,66,217,288,15.79,1019.21,27.55,934.03
59,84,67,217,288,15.79,1019.21,27.55,925.67
60,83,66,217,288,15.79,1019.21,27.55,929.51
61,84,67,218,288,15.79,1019.20,27.55,923.13
62,84,66,217,288,15.79,1019.21,27.56,925.67
63,84,67,217,289,15.79,1019.20,27.55,927.59
64,83,66,217,288,15.79,1019.20,27.55,930.79
65,84,67,217,288,15.79,1019.20,27.55,925.67
66,84,67,217,288,15.79,1019.20,27.55,928.23
67,84,66,218,289,15.79,1019.20,27.55,932.73
68,84,66,217,289,15.79,1019.20,27.55,925.03
69,83,67,217,288,15.79,1019.20,27.55,927.59
70,84,66,216,288,15.79,1019.21,27.55,926.95
71,83,66,216,288,15.79,1019.21,27.54,930.79
72,83,66,217,288,15.79,1019.21,27.55,931.44
73,84,66,217,288,15.79,1019.21,27.56,929.51
74,83,66,216,289,15.79,1019.21,27.55,927.59
