Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,92,69,221,358,15.06,1019.81,30.05,735.85
1,92,69,221,357,15.06,1019.80,30.04,743.17
2,92,69,221,357,15.06,1019.80,30.03,732.64
3,92,69,221,357,15.06,1019.79,30.04,735.85
4,92,69,222,358,15.06,1019.79,30.03,729.46
5,92,69,221,357,15.06,1019.80,30.04,736.65
6,92,68,222,358,15.06,1019.80,30.03,734.24
7,92,69,221,358,15.06,1019.81,30.01,735.85
8,92,69,221,358,15.06,1019.80,30.00,731.84
9,92,69,221,358,15.06,1019.80,30.01,735.04
10,92,68,221,358,15.07,1019.80,30.01,737.46
11,92,69,222,357,15.06,1019.81,30.00,735.04
12,92,69,221,357,15.06,1019.80,30.00,735.85
13,92,69,220,358,15.06,1019.80,29.99,738.27
14,92,69,221,357,15.06,1019.80,30.00,731.04
15,92,69,221,358,15.06,1019.81,29.99,735.85
16,92,69,221,357,15.06,1019.81,29.98,735.85
17,92,68,220,357,15.06,1019.80,29.99,735.04
18,92,68,221,357,15.06,1019.81,29.98,736.65
19,92,68,221,358,15.06,1019.81,29.98,737.46
20,92,68,221,357,15.06,1019.80,29.96,731.04
21,92,69,220,357,15.06,1019.80,29.96,735.04
22,92,69,221,357,15.06,1019.80,29.96,740.71
23,92,69,221,357,15.06,1019.80,29.95,738.27
24,91,69,221,357,15.06,1019.80,29.95,737.46
25,92,68,221,357,15.06,1019.80,29.95,738.27
26,92,68,220,357,15.06,1019.80,29.95,735.85
27,92,69,221,357,15.06,1019.80,29.94,737.46
28,92,68,220,357,15.06,1019.80,29.94,734.24
29,92,68,221,357,15.06,1019.80,29.94,735.85
30,92,68,220,357,15.06,1019.78,29.94,736.65
31,92,68,220,357,15.07,1019.79,29.93,739.08
32,92,69,220,357,15.07,1019.79,29.93,737.46
33,92,68,220,357,15.06,1019.78,29.93,735.85
34,92,69,220,357,15.06,1019.79,29.93,737.46
35,92,68,221,358,15.06,1019.79,29.91,740.71
36,92,68,220,357,15.06,1019.79,29.91,737.46
37,91,68,219,357,15.06,1019.78,29.92,736.65
