Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,69,62,196,300,11.73,1036.68,31.22,299.01
1,68,62,195,300,11.73,1036.68,31.20,299.01
2,69,62,196,300,11.73,1036.67,31.20,299.55
3,68,62,195,300,11.73,1036.67,31.20,300.64
4,69,62,196,300,11.73,1036.65,31.19,300.37
5,69,62,195,300,11.73,1036.64,31.18,302.02
6,68,62,195,299,11.73,1036.64,31.18,302.29
7,68,61,195,300,11.73,1036.63,31.18,302.29
8,69,62,195,300,11.73,1036.65,31.18,302.85
9,68,62,194,299,11.73,1036.64,31.18,303.96
10,69,62,195,300,11.73,1036.63,31.19,304.52
11,69,62,194,299,11.73,1036.63,31.18,304.80
12,68,61,194,300,11.73,1036.64,31.17,305.93
13,69,61,195,300,11.73,1036.67,31.16,306.21
14,69,61,194,300,11.73,1036.68,31.16,306.21
15,68,61,193,299,11.73,1036.68,31.15,306.21
16,68,61,194,299,11.73,1036.69,31.15,305.93
17,68,62,194,299,11.73,1036.69,31.17,307.93
18,68,62,194,301,11.73,1036.69,31.15,309.08
19,69,61,194,301,11.73,1036.69,31.16,308.21
20,69,61,195,301,11.73,1036.68,31.15,308.50
21,68,61,194,301,11.73,1036.67,31.15,309.66
22,68,61,195,301,11.73,1036.67,31.14,309.08
23,68,62,194,301,11.73,1036.65,31.15,311.41
24,68,61,193,301,11.73,1036.64,31.15,309.95
25,68,61,194,301,11.73,1036.64,31.15,311.99
26,68,61,194,300,11.73,1036.64,31.15,312.58
27,68,61,194,300,11.73,1036.64,31.16,312.58
28,68,61,194,301,11.73,1036.65,31.16,313.18
29,68,61,193,300,11.73,1036.65,31.16,312.88
30,68,61,193,301,11.73,1036.67,31.15,314.07
31,69,60,192,301,11.73,1036.70,31.16,314.37
32,68,61,193,301,11.73,1036.72,31.16,314.97
33,68,61,193,300,11.73,1036.73,31.16,316.17
34,68,61,193,300,11.73,1036.70,31.16,316.17
35,68,61,192,300,11.73,1036.69,31.16,318.61
36,68,61,192,300,11.73,1036.68,31.16,317.08
37,68,61,193,301,11.73,1036.68,31.15,319.84
38,68,61,193,300,11.73,1036.69,31.16,318.92
39,68,61,192,300,11.73,1036.68,31.16,319.53
40,68,61,191,300,11.73,1036.68,31.15,319.53
41,68,61,191,300,11.73,1036.67,31.15,319.53
42,68,60,191,300,11.73,1036.67,31.15,321.71
43,68,61,192,300,11.73,1036.67,31.15,321.71
44,68,61,191,300,11.73,1036.66,31.14,322.02
45,68,61,192,300,11.73,1036.66,31.15,322.65
46,68,60,192,300,11.73,1036.67,31.15,322.97
47,67,60,191,300,11.73,1036.68,31.14,323.60
48,67,60,192,301,11.73,1036.67,31.14,323.60
49,68,60,192,301,11.73,1036.66,31.15,324.23
50,68,61,192,301,11.73,1036.66,31.15,324.55
51,68,60,191,301,11.73,1036.65,31.14,325.51
52,68,60,191,301,11.73,1036.65,31.14,325.19
53,68,60,191,300,11.73,1036.64,31.13,325.51
54,68,60,193,303,11.72,1036.65,31.14,326.15
55,69,60,194,306,11.73,1036.65,31.14,324.55
56,69,60,195,308,11.73,1036.66,31.15,325.83
57,69,61,195,310,11.73,1036.66,31.15,324.87
58,69,61,195,311,11.73,1036.65,31.15,325.19
59,69,61,194,311,11.73,1036.64,31.16,325.19
60,69,60,193,310,11.73,1036.64,31.19,326.15
61,69,60,194,311,11.72,1036.65,31.20,326.15
62,69,61,195,314,11.73,1036.66,31.22,325.83
63,69,60,196,315,11.73,1036.67,31.23,325.83
64,70,60,195,316,11.73,1036.66,31.26,325.19
