Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,68,61,192,300,11.83,1036.65,31.36,288.82
1,68,61,191,300,11.83,1036.64,31.35,288.57
2,68,61,192,300,11.83,1036.65,31.35,288.57
3,68,61,191,300,11.83,1036.64,31.33,289.08
4,67,61,191,300,11.83,1036.64,31.34,289.84
5,67,61,191,301,11.83,1036.63,31.34,290.60
6,68,61,192,301,11.83,1036.62,31.33,292.14
7,67,61,191,300,11.83,1036.63,31.32,292.40
8,67,61,191,300,11.83,1036.63,31.32,291.63
9,67,61,190,300,11.83,1036.63,31.31,293.18
10,68,61,190,300,11.83,1036.64,31.31,293.96
11,67,60,190,300,11.83,1036.63,31.31,293.70
12,67,61,190,300,11.83,1036.63,31.31,294.48
13,68,61,191,300,11.83,1036.63,31.29,295.01
14,67,61,191,299,11.83,1036.64,31.29,294.75
15,67,61,190,300,11.83,1036.64,31.28,295.54
16,67,61,191,300,11.83,1036.65,31.28,297.13
17,68,61,190,299,11.83,1036.66,31.28,296.60
18,67,60,189,299,11.83,1036.64,31.27,297.93
19,67,60,190,299,11.83,1036.65,31.27,297.93
20,67,60,190,300,11.83,1036.66,31.27,299.28
21,67,60,189,300,11.83,1036.66,31.27,299.28
22,67,60,189,299,11.83,1036.66,31.25,299.01
23,68,60,190,300,11.83,1036.66,31.27,300.10
24,67,60,190,299,11.83,1036.66,31.26,300.64
25,67,60,189,299,11.83,1036.66,31.26,302.29
26,67,60,190,299,11.83,1036.66,31.26,302.57
27,67,60,189,299,11.83,1036.67,31.25,303.40
28,67,60,189,300,11.83,1036.67,31.24,304.52
29,67,60,189,299,11.83,1036.68,31.24,303.68
30,67,60,189,299,11.83,1036.67,31.23,303.96
31,66,60,189,299,11.83,1036.68,31.22,304.24
32,67,60,189,299,11.83,1036.66,31.23,304.52
33,66,59,188,299,11.83,1036.65,31.22,306.21
34,67,60,188,299,11.83,1036.65,31.22,307.07
35,67,60,189,298,11.83,1036.65,31.22,306.50
36,67,60,188,299,11.83,1036.65,31.20,306.50
37,67,60,188,299,11.83,1036.64,31.19,307.93
38,67,60,188,299,11.83,1036.64,31.20,310.24
39,67,60,188,299,11.83,1036.64,31.19,309.08
40,67,60,188,298,11.83,1036.65,31.20,309.66
41,67,59,188,299,11.83,1036.66,31.17,309.66
42,67,60,188,299,11.83,1036.65,31.17,310.24
43,67,59,188,298,11.83,1036.67,31.17,311.70
44,67,59,187,299,11.83,1036.66,31.17,310.82
45,66,59,187,299,11.83,1036.65,31.17,311.41
46,67,60,187,299,11.83,1036.65,31.16,311.99
47,67,59,188,299,11.83,1036.65,31.16,313.18
48,66,59,188,299,11.83,1036.64,31.16,312.88
49,67,59,187,299,11.83,1036.64,31.17,314.37
50,67,59,187,299,11.83,1036.63,31.15,314.97
51,67,59,187,298,11.83,1036.64,31.16,315.27
52,67,59,186,299,11.83,1036.63,31.16,314.97
53,67,59,186,299,11.83,1036.63,31.15,314.97
54,67,59,187,299,11.83,1036.64,31.15,315.87
55,66,59,187,299,11.83,1036.64,31.14,317.39
56,67,59,186,299,11.83,1036.64,31.15,317.69
57,67,59,186,299,11.83,1036.64,31.14,317.39
58,66,59,186,299,11.83,1036.65,31.14,318.61
59,67,59,187,299,11.83,1036.64,31.13,319.53
60,67,59,185,299,11.83,1036.64,31.13,319.53
61,67,59,186,299,11.83,1036.64,31.13,319.84
62,67,59,186,299,11.83,1036.64,31.12,319.53
63,66,59,186,299,11.83,1036.64,31.13,321.08
64,67,58,185,298,11.83,1036.64,31.13,322.02
65,67,59,186,298,11.83,1036.65,31.12,321.08
66,67,58,186,299,11.83,1036.65,31.12,322.97
67,66,59,185,299,11.83,1036.64,31.11,322.34
68,67,58,186,298,11.83,1036.65,31.11,322.97
69,67,59,186,299,11.83,1036.65,31.11,323.60
70,67,59,185,298,11.83,1036.65,31.12,323.60
71,66,58,185,299,11.83,1036.65,31.11,324.87
72,66,58,185,299,11.83,1036.64,31.10,324.87
73,67,59,186,299,11.83,1036.64,31.11,325.83
74,67,59,186,299,11.83,1036.65,31.10,325.19
75,67,59,186,300,11.83,1036.65,31.09,324.87
76,67,59,185,298,11.83,1036.64,31.10,327.45
77,67,58,185,299,11.83,1036.65,31.11,327.77
78,67,58,184,299,11.83,1036.65,31.09,328.10
79,66,58,185,299,11.82,1036.64,31.10,328.10
80,67,59,184,299,11.82,1036.64,31.10,328.10
81,67,58,185,299,11.82,1036.64,31.10,328.10
82,66,58,185,299,11.82,1036.65,31.09,329.08
83,66,59,184,299,11.82,1036.65,31.09,330.06
84,67,59,185,299,11.82,1036.65,31.09,330.72
85,67,57,184,298,11.82,1036.64,31.09,331.05
86,67,58,184,299,11.82,1036.65,31.10,332.38
87,67,59,184,299,11.82,1036.65,31.09,332.05
88,66,58,184,299,11.82,1036.65,31.09,332.38
89,66,57,184,299,11.82,1036.65,31.08,335.76
90,66,58,184,299,11.82,1036.65,31.09,334.06
