Time,NO2,C2H5CH,VOC,CO,Temperature,Pressure,Humidity,Gas Resistance
0,97,73,240,347,23.79,993.89,51.63,618.63
1,97,73,240,347,23.79,993.89,51.63,618.06
2,97,73,239,346,23.79,993.89,51.62,620.91
3,97,73,240,347,23.79,993.89,51.62,620.34
4,97,73,240,346,23.79,993.90,51.62,620.91
5,97,73,240,347,23.79,993.89,51.63,620.91
6,97,72,240,346,23.79,993.90,51.62,618.06
7,97,72,240,347,23.79,993.90,51.62,619.20
8,97,73,240,347,23.79,993.90,51.64,617.49
9,97,73,240,347,23.79,993.91,51.64,618.06
10,97,73,240,347,23.79,993.91,51.64,621.49
11,96,73,240,346,23.79,993.90,51.63,620.91
12,97,73,240,346,23.79,993.90,51.64,621.49
13,97,73,239,346,23.79,993.91,51.64,619.77
14,97,72,240,346,23.79,993.90,51.63,620.91
15,97,72,240,347,23.79,993.90,51.65,618.63
16,97,72,239,347,23.79,993.89,51.64,622.06
17,97,72,239,347,23.79,993.90,51.65,622.06
18,97,73,239,346,23.79,993.91,51.64,619.77
19,96,72,239,346,23.79,993.91,51.65,615.79
20,96,73,240,347,23.79,993.90,51.63,619.77
21,97,72,239,346,23.79,993.89,51.65,619.20
22,96,73,239,346,23.79,993.88,51.65,618.63
23,96,73,239,347,23.79,993.89,51.67,620.34
24,96,72,239,346,23.79,993.89,51.64,620.91
25,96,73,239,346,23.79,993.89,51.66,623.22
26,97,72,238,347,23.79,993.89,51.66,616.36
27,97,72,239,347,23.79,993.89,51.67,617.49
28,97,72,239,346,23.79,993.90,51.66,622.64
29,96,72,239,345,23.79,993.91,51.67,618.06
30,97,72,239,347,23.79,993.90,51.67,621.49
31,97,73,238,347,23.79,993.90,51.67,622.64
32,96,72,239,347,23.79,993.90,51.67,620.91
33,96,72,238,346,23.79,993.90,51.67,621.49
34,96,72,239,346,23.79,993.90,51.67,616.92
35,96,73,238,347,23.79,993.91,51.68,619.77
36,96,72,239,346,23.79,993.91,51.67,618.63
37,97,72,238,346,23.79,993.91,51.67,619.20
38,96,72,239,346,23.79,993.91,51.67,618.06
39,96,73,238,346,23.79,993.91,51.66,618.06
40,97,72,239,346,23.79,993.91,51.67,615.79
41,96,72,238,346,23.79,993.91,51.68,623.79
42,96,72,239,347,23.79,993.91,51.69,622.64
43,96,72,238,347,23.79,993.92,51.69,620.34
44,96,72,237,347,23.79,993.91,51.68,621.49
45,96,72,239,347,23.79,993.91,51.69,620.91
46,97,72,238,347,23.79,993.90,51.67,615.79
47,96,72,238,346,23.79,993.91,51.69,619.20
48,96,72,238,347,23.79,993.91,51.68,619.77
49,96,72,238,346,23.79,993.92,51.68,619.20
50,96,72,238,347,23.79,993.92,51.69,618.63
51,96,72,237,346,23.79,993.92,51.68,615.79
52,96,72,238,347,23.79,993.92,51.67,620.34
53,96,72,238,347,23.79,993.92,51.69,616.36
54,96,72,237,347,23.79,993.92,51.68,617.49
55,95,72,238,346,23.79,993.92,51.69,619.20
56,96,72,238,346,23.79,993.93,51.69,621.49
57,96,72,238,347,23.79,993.93,51.69,620.34
58,97,72,237,347,23.79,993.92,51.69,620.91
59,96,72,237,346,23.79,993.91,51.68,615.79
60,96,72,237,346,23.79,993.92,51.68,618.63
61,96,72,238,346,23.79,993.92,51.69,617.49
62,95,72,237,347,23.79,993.93,51.69,619.20
63,96,72,237,346,23.79,993.92,51.69,620.91
64,96,72,237,346,23.79,993.92,51.69,621.49
65,96,72,237,346,23.79,993.92,51.68,619.20
66,96,72,237,347,23.79,993.92,51.67,616.92
67,96,72,237,347,23.78,993.93,51.69,618.06
68,96,72,237,347,23.78,993.93,51.68,616.36
69,96,72,237,346,23.79,993.93,51.69,622.06
70,96,72,237,347,23.78,993.92,51.69,620.34
71,96,72,237,347,23.78,993.93,51.69,619.20
72,95,72,237,347,23.78,993.92,51.69,620.34
73,95,72,237,347,23.78,993.92,51.68,620.91
74,96,72,237,346,23.78,993.92,51.69,623.79
75,95,71,237,347,23.78,993.93,51.70,621.49
76,96,72,236,347,23.78,993.93,51.69,620.34
77,96,72,237,346,23.78,993.92,51.69,619.20
78,96,71,237,346,23.78,993.92,51.70,620.91
79,95,72,237,347,23.78,993.93,51.70,619.20
80,96,71,237,346,23.78,993.93,51.70,616.92
81,96,71,237,347,23.78,993.93,51.69,616.36
82,96,71,236,346,23.78,993.92,51.70,621.49
83,95,71,237,346,23.78,993.93,51.69,616.36
84,96,72,237,347,23.78,993.93,51.70,623.22
85,96,71,236,347,23.78,993.93,51.71,622.06
86,96,72,236,346,23.78,993.92,51.70,619.20
87,96,72,236,347,23.78,993.94,51.69,622.06
88,96,71,236,346,23.78,993.94,51.70,619.77
89,95,71,236,347,23.78,993.93,51.70,620.91
90,95,71,236,346,23.78,993.93,51.70,620.91
91,96,72,236,347,23.78,993.92,51.69,621.49
92,95,71,236,347,23.78,993.92,51.69,615.79
93,96,72,236,347,23.78,993.93,51.70,619.20
94,96,72,236,346,23.78,993.93,51.70,620.34
95,95,71,236,347,23.78,993.93,51.69,618.63
96,96,71,236,347,23.78,993.93,51.69,622.06
97,95,71,236,346,23.78,993.93,51.70,621.49
98,95,71,235,346,23.78,993.93,51.69,619.20
99,95,71,236,347,23.78,993.93,51.67,620.34
100,96,71,235,347,23.78,993.94,51.69,619.20
101,95,71,236,346,23.78,993.94,51.69,623.79
102,96,71,235,346,23.78,993.95,51.69,621.49
103,95,71,236,347,23.78,993.95,51.69,614.66
104,95,71,236,347,23.78,993.94,51.69,619.20
105,95,71,236,347,23.78,993.93,51.69,622.64
106,95,71,235,347,23.78,993.94,51.69,623.79
107,95,71,236,347,23.78,993.94,51.69,619.20
108,95,71,235,346,23.78,993.94,51.67,619.77
109,95,71,235,346,23.78,993.93,51.67,623.79
110,95,71,236,346,23.78,993.93,51.67,621.49
111,96,71,235,346,23.78,993.93,51.67,621.49
112,95,71,236,347,23.78,993.94,51.68,616.36
113,95,71,235,347,23.78,993.95,51.68,620.91
114,95,71,235,346,23.78,993.95,51.67,623.79
115,96,71,235,347,23.78,993.94,51.68,620.34
116,95,71,235,346,23.78,993.94,51.67,619.20
117,95,71,235,347,23.78,993.93,51.67,619.20
118,95,71,235,346,23.78,993.94,51.67,618.06
119,95,71,235,346,23.78,993.93,51.68,619.77
120,95,70,235,347,23.78,993.93,51.68,619.20
121,95,71,235,347,23.78,993.93,51.68,618.63
122,94,71,235,347,23.78,993.93,51.67,623.22
123,95,71,235,346,23.78,993.93,51.67,616.92
124,95,71,235,346,23.78,993.93,51.68,621.49
125,94,71,235,346,23.78,993.93,51.69,621.49
126,95,71,235,347,23.78,993.93,51.68,618.06
127,95,71,235,346,23.78,993.93,51.69,616.36
128,94,71,234,347,23.78,993.93,51.68,620.34
129,95,71,234,347,23.78,993.93,51.67,615.79
130,95,71,235,347,23.78,993.94,51.69,620.91
131,95,71,234,347,23.78,993.94,51.69,622.64
132,95,71,234,347,23.78,993.94,51.69,617.49
133,95,71,235,347,23.78,993.93,51.70,619.20
134,95,71,235,347,23.78,993.93,51.70,620.34
135,95,71,234,346,23.78,993.93,51.68,620.91
136,95,71,235,347,23.78,993.93,51.69,619.77
137,95,71,235,347,23.78,993.93,51.69,621.49
138,95,71,234,347,23.78,993.93,51.69,623.22
139,95,71,234,347,23.78,993.93,51.69,622.64
140,95,71,234,346,23.78,994.17,51.69,617.49
141,94,71,234,347,23.78,994.62,51.69,621.49
142,94,71,234,347,23.78,994.97,51.69,622.64
143,95,71,235,348,23.79,995.22,51.71,621.49
144,94,71,234,347,23.79,995.41,51.71,618.06
145,95,71,234,348,23.80,995.55,51.70,621.49
146,94,71,235,347,23.81,995.66,51.70,618.06
147,95,71,234,348,23.81,995.74,51.70,619.20
148,95,70,234,348,23.82,995.80,51.72,619.77
149,95,70,234,348,23.83,995.85,51.73,616.36
150,95,70,234,348,23.85,995.89,51.71,618.06
151,96,70,235,349,23.86,995.92,51.71,618.63
152,95,71,235,349,23.87,995.94,51.71,615.79
153,96,71,234,349,23.88,995.96,51.70,619.20
154,95,71,234,350,23.89,995.97,51.69,620.91
155,95,70,234,349,23.90,995.98,51.71,615.79
156,95,71,234,350,23.91,995.98,51.69,615.79
157,95,70,234,350,23.92,995.99,51.68,616.36
158,96,71,234,351,23.93,996.00,51.67,613.54
159,96,71,234,351,23.94,996.00,51.68,614.66
160,96,71,235,351,23.95,996.00,51.67,613.54
161,96,71,234,352,23.96,996.00,51.66,612.42
162,96,71,234,352,23.97,996.01,51.64,611.31
163,96,71,234,353,23.98,996.00,51.65,611.31
164,96,71,235,352,23.99,996.00,51.64,609.64
165,96,71,234,353,23.99,996.00,51.61,608.54
166,96,71,234,354,24.00,996.00,51.62,608.54
167,97,71,234,355,24.01,996.01,51.61,608.54
168,96,71,234,355,24.02,996.00,51.60,611.87
169,97,71,235,355,24.03,996.01,51.60,607.99
170,97,71,234,356,24.03,996.01,51.58,604.71
171,97,71,235,356,24.04,996.01,51.56,604.71
172,96,71,234,357,24.05,996.01,51.56,604.16
173,97,70,234,357,24.06,996.01,51.55,605.80
174,96,71,235,358,24.07,996.01,51.54,603.62
175,97,71,234,359,24.07,996.01,51.52,606.89
176,97,71,235,359,24.08,996.01,51.51,605.80
177,97,70,234,359,24.09,996.01,51.49,600.38
178,97,71,234,360,24.10,996.01,51.49,604.16
179,97,71,235,360,24.10,996.00,51.47,597.18
180,97,71,235,361,24.11,996.01,51.46,599.31
181,97,70,235,362,24.12,996.01,51.44,599.85
182,97,71,234,362,24.12,996.01,51.44,592.96
183,97,71,235,363,24.13,996.01,51.41,599.85
184,97,71,234,363,24.13,996.02,51.41,597.71
185,97,70,235,364,24.14,996.02,51.40,596.12
186,97,71,235,364,24.14,996.01,51.39,595.06
187,97,71,236,366,24.15,996.01,51.38,595.06
188,97,71,235,365,24.15,996.01,51.36,599.85
189,98,71,235,366,24.16,996.01,51.37,593.49
190,97,70,236,367,24.16,996.01,51.35,591.40
191,97,71,235,368,24.17,996.01,51.33,590.36
192,98,71,235,368,24.17,996.01,51.33,589.84
193,98,71,235,369,24.18,996.01,51.31,594.01
194,98,71,235,369,24.18,996.02,51.30,591.40
195,98,71,235,370,24.19,996.01,51.28,593.49
196,98,71,235,371,24.19,996.01,51.26,592.96
197,97,71,235,371,24.20,996.01,51.25,586.24
198,98,71,235,372,24.20,996.00,51.25,587.26
199,98,71,235,373,24.20,996.01,51.24,585.22
200,98,71,235,374,24.21,996.01,51.22,584.20
201,98,71,236,374,24.21,996.02,51.21,586.75
202,98,71,236,375,24.22,996.03,51.20,585.73
203,98,71,236,375,24.22,996.02,51.20,585.73
204,98,71,236,375,24.22,996.02,51.18,586.24
205,98,71,236,376,24.23,996.01,51.17,585.22
206,98,71,236,378,24.23,996.02,51.17,581.67
207,99,71,236,378,24.23,996.02,51.15,583.69
208,99,71,236,379,24.24,996.02,51.13,583.18
209,99,72,236,379,24.24,996.03,51.14,579.16
210,99,71,236,380,24.24,996.02,51.12,582.68
211,99,71,237,380,24.25,996.03,51.12,578.66
212,99,71,237,381,24.25,996.02,51.10,577.17
213,100,71,236,382,24.25,996.02,51.10,576.18
214,99,71,236,383,24.26,996.03,51.09,576.68
215,99,71,237,383,24.26,996.02,51.08,580.16
216,100,71,237,383,24.26,996.03,51.07,576.18
217,99,71,237,385,24.27,996.03,51.06,574.70
218,99,71,237,385,24.27,996.03,51.07,573.72
219,99,71,237,386,24.27,996.02,51.05,577.17
220,100,71,237,386,24.28,996.03,51.05,574.70
221,100,71,237,387,24.28,996.02,51.03,573.23
222,100,72,236,387,24.28,996.02,51.01,577.67
