Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1851,1582,1385,2958,2325,967,1944,3176,2554,1656,0
2,1856,1595,1385,2957,2326,966,1941,3186,2556,1658,0
3,1860,1579,1387,2958,2326,966,1947,3194,2555,1658,0
4,1856,1583,1384,2958,2324,962,1947,3194,2552,1657,0
5,1827,1576,1386,2956,2324,967,1947,3174,2553,1658,0
6,1870,1576,1384,2958,2323,952,1947,3160,2563,1656,0
7,1852,1583,1387,2959,2324,968,1952,3170,2555,1656,0
8,1842,1582,1382,2957,2323,966,1945,3176,2555,1657,0
9,1867,1580,1379,2959,2325,966,1950,3202,2555,1657,0
10,1857,1574,1385,2958,2327,964,1947,3193,2555,1655,0
11,1865,1579,1387,2958,2326,964,1947,3190,2554,1658,0
12,1850,1568,1386,2958,2326,963,1942,3179,2554,1656,0
13,1847,1579,1371,2957,2326,967,1950,3170,2552,1654,0
14,1857,1587,1385,2957,2321,966,1944,3161,2551,1654,0
15,1851,1575,1386,2958,2326,965,1947,3172,2554,1657,0
16,1849,1578,1383,2959,2326,965,1947,3185,2555,1657,0
17,1851,1581,1384,2958,2328,967,1949,3201,2554,1655,0
18,1826,1576,1384,2957,2326,964,1947,3192,2554,1656,0
19,1851,1574,1386,2958,2326,968,1944,3186,2555,1655,0
20,1870,1578,1387,2958,2326,965,1950,3182,2552,1658,0
21,1852,1568,1384,2960,2323,968,1947,3165,2555,1658,1
22,1839,1576,1393,2959,2325,968,1949,3159,2554,1658,1
23,1853,1584,1386,2958,2325,966,1947,3170,2548,1655,1
24,1840,1560,1386,2962,2334,968,1957,3182,2567,1666,1
25,1864,1577,1373,2959,2324,964,1948,3201,2554,1658,1
26,1848,1579,1386,2958,2324,966,1950,3203,2556,1656,1
27,1848,1566,1384,2958,2325,963,1949,3190,2555,1655,1
28,1851,1584,1385,2955,2326,966,1947,3182,2555,1658,1
29,1849,1583,1387,2957,2326,966,1949,3168,2552,1658,1
30,1845,1581,1383,2958,2326,967,1949,3167,2556,1658,1
31,1845,1579,1386,2956,2324,967,1946,3163,2555,1659,1
32,1832,1573,1384,2957,2324,966,1946,3176,2556,1659,1
33,1832,1579,1387,2958,2327,965,1950,3191,2554,1658,1
34,1824,1578,1387,2957,2326,968,1949,3194,2555,1658,1
35,1816,1576,1387,2959,2324,968,1949,3186,2555,1656,1
36,1850,1578,1387,2959,2326,965,1950,3177,2555,1659,1
37,1819,1576,1386,2959,2326,969,1954,3164,2541,1638,1
38,1812,1574,1387,2958,2324,970,1950,3165,2555,1661,1
39,1830,1577,1385,2962,2324,968,1955,3166,2553,1659,1
40,1832,1577,1385,2962,2326,966,1952,3177,2553,1659,1
41,1837,1578,1385,2962,2323,966,1952,3190,2555,1662,1
42,1841,1580,1385,2961,2326,970,1950,3202,2552,1666,1
43,1858,1583,1386,2966,2329,973,1963,3196,2563,1666,1
44,1851,1586,1384,2961,2326,970,1959,3187,2560,1670,1
45,1850,1581,1384,2964,2326,968,1958,3170,2556,1670,1
46,1851,1590,1387,2966,2326,970,1960,3169,2554,1670,1
47,1848,1572,1386,2965,2323,966,1955,3174,2555,1672,1
48,1848,1578,1387,2969,2325,968,1959,3186,2555,1673,1
49,1874,1580,1384,2970,2325,963,1961,3201,2555,1674,1
50,1865,1578,1375,2969,2324,968,1961,3208,2557,1676,1
51,1852,1578,1384,2971,2325,965,1959,3192,2556,1676,1
52,1852,1574,1388,2971,2325,966,1962,3182,2560,1682,1
53,1859,1592,1388,2974,2323,964,1968,3171,2560,1682,1
54,1854,1584,1382,2974,2325,968,1965,3163,2558,1681,1
55,1831,1577,1387,2974,2325,967,1966,3168,2560,1683,1
56,1844,1579,1384,2978,2326,965,1970,3187,2557,1682,1
57,1858,1585,1385,2978,2326,968,1969,3203,2562,1687,1
58,1852,1561,1382,2979,2323,967,1972,3206,2562,1684,1
59,1851,1577,1387,2981,2324,969,1973,3202,2560,1687,1
60,1877,1579,1385,2982,2323,968,1971,3192,2562,1688,1
61,1860,1579,1384,2982,2328,966,1974,3172,2562,1688,1
62,1852,1574,1386,2984,2324,966,1974,3170,2562,1690,1
63,1858,1587,1382,2986,2326,964,1976,3174,2557,1690,1
64,1820,1578,1386,2987,2328,968,1981,3183,2563,1686,1
65,1850,1582,1387,2987,2326,970,1978,3202,2562,1690,1
66,1853,1582,1389,2987,2324,968,1979,3208,2562,1694,1
67,1851,1578,1386,2990,2326,968,1980,3206,2564,1694,1
68,1883,1580,1389,2990,2326,970,1985,3200,2563,1697,1
69,1860,1582,1384,2993,2326,964,1984,3178,2565,1704,1
70,1851,1576,1384,2992,2326,967,1986,3178,2565,1695,1
71,1861,1584,1386,2994,2326,971,1984,3174,2565,1699,1
72,1854,1583,1387,2995,2327,966,1989,3190,2566,1698,1
73,1857,1584,1384,2996,2325,967,1990,3203,2566,1701,1
74,1853,1565,1389,3001,2327,970,1991,3210,2567,1700,1
75,1890,1583,1386,3000,2322,967,1992,3208,2566,1700,1
76,1854,1589,1387,2997,2326,970,1994,3196,2566,1701,1
77,1850,1574,1382,3002,2330,970,1998,3181,2570,1698,1
78,1846,1582,1381,3002,2327,973,1996,3182,2566,1701,1
79,1846,1578,1386,3002,2328,968,1998,3183,2566,1703,1
80,1858,1584,1386,3003,2325,965,1996,3189,2567,1706,1
81,1851,1572,1388,3003,2328,972,1999,3204,2566,1705,1
82,1874,1578,1348,2990,2305,917,1971,3209,2554,1675,1
83,1857,1579,1387,3006,2328,972,2004,3203,2572,1694,1
