timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2526,1804,1621,1325,2583,668,634,2803,2538,867,0
2,2526,1800,1622,1326,2586,668,634,2842,2538,861,0
3,2526,1800,1622,1327,2584,669,634,2780,2540,867,0
4,2505,1802,1622,1326,2585,669,634,2679,2538,866,0
5,2524,1800,1622,1324,2584,668,635,2636,2539,866,0
6,2521,1780,1622,1326,2583,668,631,2686,2540,867,0
7,2520,1802,1622,1325,2585,668,634,2801,2538,866,0
8,2531,1804,1622,1326,2585,668,634,2835,2539,866,0
9,2550,1806,1622,1328,2585,669,634,2793,2539,866,0
10,2526,1804,1622,1325,2584,669,635,2683,2540,870,0
11,2525,1802,1623,1326,2583,669,634,2628,2540,866,0
12,2530,1806,1620,1326,2584,668,636,2682,2539,868,0
13,2515,1802,1622,1326,2584,667,636,2775,2540,869,0
14,2524,1805,1621,1325,2586,667,635,2838,2539,867,0
15,2522,1781,1623,1325,2585,668,633,2838,2539,867,0
16,2524,1806,1622,1325,2586,669,634,2765,2539,867,0
17,2525,1800,1621,1326,2585,668,636,2667,2540,868,0
18,2520,1800,1622,1327,2578,668,634,2639,2540,868,0
19,2523,1810,1623,1325,2586,669,635,2700,2539,866,0
20,2522,1794,1622,1330,2586,668,634,2790,2539,868,0
21,2523,1801,1624,1326,2585,667,635,2834,2541,867,1
22,2523,1802,1622,1324,2585,667,634,2842,2539,868,1
23,2522,1803,1620,1326,2584,667,635,2744,2542,868,1
24,2524,1810,1623,1326,2586,668,636,2644,2540,866,1
25,2522,1800,1623,1326,2584,668,634,2643,2536,866,1
26,2525,1808,1624,1325,2587,667,634,2728,2539,868,1
27,2521,1804,1624,1325,2579,668,635,2809,2542,867,1
28,2532,1803,1612,1324,2587,669,636,2839,2540,868,1
29,2524,1822,1623,1326,2586,667,641,2826,2540,867,1
30,2515,1802,1633,1324,2587,667,633,2720,2541,866,1
31,2538,1804,1623,1326,2585,668,634,2634,2542,868,1
32,2524,1818,1623,1327,2586,669,637,2662,2542,869,1
33,2524,1788,1622,1327,2587,669,634,2752,2540,867,1
34,2526,1805,1624,1326,2587,668,635,2814,2542,868,1
35,2530,1806,1623,1327,2586,667,636,2842,2541,868,1
36,2525,1801,1624,1326,2587,669,634,2800,2542,866,1
37,2523,1804,1623,1326,2588,669,633,2691,2542,868,1
38,2528,1807,1624,1325,2586,668,640,2632,2542,869,1
39,2534,1801,1624,1327,2589,668,635,2674,2542,869,1
40,2534,1806,1624,1326,2586,668,634,2774,2542,870,1
41,2560,1806,1624,1328,2587,668,636,2830,2542,869,1
42,2529,1815,1626,1329,2587,668,634,2842,2542,869,1
43,2529,1798,1624,1326,2587,663,635,2771,2543,869,1
44,2528,1804,1624,1329,2587,668,637,2674,2544,870,1
45,2526,1802,1626,1327,2587,670,636,2642,2542,871,1
46,2529,1804,1626,1328,2588,669,637,2698,2542,870,1
47,2510,1806,1626,1329,2587,670,636,2794,2543,870,1
48,2536,1806,1624,1327,2590,669,636,2835,2543,870,1
49,2537,1805,1626,1329,2588,669,638,2842,2544,871,1
50,2530,1798,1625,1328,2590,670,636,2745,2543,870,1
51,2538,1807,1624,1330,2588,668,636,2654,2546,871,1
52,2530,1797,1626,1333,2589,669,640,2650,2545,872,1
53,2537,1810,1626,1331,2588,670,640,2730,2548,872,1
54,2531,1793,1625,1334,2590,670,638,2803,2546,872,1
55,2534,1808,1627,1329,2590,670,637,2845,2546,872,1
56,2536,1795,1627,1329,2587,670,637,2826,2546,874,1
57,2533,1802,1627,1331,2589,668,637,2726,2547,874,1
58,2537,1795,1626,1330,2592,670,640,2641,2547,874,1
59,2533,1803,1627,1333,2592,670,641,2663,2547,872,1
60,2534,1806,1628,1334,2590,669,640,2758,2547,874,1
61,2538,1807,1626,1334,2592,670,641,2820,2548,875,1
62,2537,1808,1628,1333,2592,670,641,2848,2547,874,1
63,2539,1824,1629,1332,2592,669,644,2810,2549,875,1
64,2538,1810,1628,1332,2590,672,642,2697,2548,875,1
65,2543,1806,1629,1334,2593,670,642,2638,2549,875,1
66,2543,1813,1630,1332,2590,672,641,2679,2550,876,1
67,2538,1807,1628,1334,2594,672,642,2768,2551,875,1
68,2542,1791,1630,1334,2593,671,641,2830,2550,877,1
69,2542,1804,1630,1334,2593,672,643,2844,2550,878,1
70,2543,1803,1632,1336,2594,666,643,2778,2552,878,1
71,2544,1827,1629,1336,2593,672,646,2683,2552,878,1
72,2547,1813,1632,1336,2594,670,643,2643,2553,878,1
73,2550,1816,1631,1333,2595,673,642,2707,2552,878,1
74,2548,1798,1632,1336,2595,672,641,2790,2554,879,1
75,2552,1814,1631,1337,2594,673,643,2840,2554,879,1
76,2544,1805,1632,1335,2594,674,644,2838,2553,879,1
77,2550,1824,1634,1338,2595,671,643,2756,2554,879,1
78,2546,1809,1633,1336,2596,672,644,2659,2555,879,1
79,2554,1812,1634,1337,2596,671,643,2658,2555,880,1
80,2550,1805,1634,1337,2596,673,644,2726,2555,881,1
81,2533,1811,1633,1338,2596,672,643,2810,2555,880,1
82,2545,1811,1634,1336,2595,674,644,2842,2555,880,1
83,2555,1815,1634,1338,2597,670,645,2834,2558,882,1
84,2557,1810,1635,1338,2597,671,645,2728,2558,880,1
85,2539,1814,1634,1338,2596,673,644,2651,2557,882,1
86,2554,1813,1635,1339,2597,673,644,2669,2557,880,1
87,2555,1814,1637,1338,2598,671,646,2762,2560,881,1
88,2560,1824,1635,1336,2598,671,646,2824,2561,883,1
89,2555,1819,1638,1339,2598,674,644,2841,2561,883,1
90,2557,1811,1635,1338,2598,674,646,2811,2560,883,1
91,2560,1808,1636,1340,2598,674,648,2703,2562,882,1
92,2561,1820,1635,1339,2595,674,648,2651,2562,883,1
93,2570,1816,1638,1340,2597,671,647,2682,2563,883,1
94,2540,1814,1638,1340,2600,674,647,2776,2563,883,1
95,2555,1813,1637,1340,2600,674,648,2829,2563,884,1
96,2565,1816,1638,1340,2598,674,649,2850,2564,885,1
97,2563,1818,1637,1339,2600,675,646,2779,2563,885,1
98,2564,1796,1639,1339,2600,674,646,2682,2565,885,1
99,2563,1814,1638,1340,2600,674,651,2651,2566,886,1
100,2567,1822,1638,1340,2600,676,648,2708,2565,885,1
101,2574,1814,1641,1340,2600,675,648,2790,2565,885,1
102,2550,1819,1639,1339,2603,674,650,2842,2566,887,1
103,2567,1818,1639,1342,2602,674,647,2846,2566,885,1
104,2567,1820,1640,1340,2602,674,648,2756,2566,886,1
105,2567,1815,1640,1344,2602,674,649,2665,2568,886,1
106,2569,1813,1640,1340,2602,674,649,2656,2568,888,1
107,2574,1829,1642,1342,2603,674,649,2731,2568,886,1
108,2586,1819,1642,1342,2603,674,648,2806,2568,888,1
109,2567,1818,1643,1340,2603,675,650,2843,2568,889,1
110,2570,1819,1642,1340,2602,674,648,2830,2569,888,1
111,2571,1819,1643,1339,2603,676,650,2737,2567,888,1
112,2574,1816,1642,1340,2603,674,648,2656,2569,888,1
113,2574,1812,1642,1342,2603,675,647,2667,2570,887,1
114,2575,1831,1643,1345,2604,675,649,2758,2569,887,1
115,2578,1807,1644,1344,2604,676,648,2818,2569,888,1
116,2542,1816,1643,1341,2604,675,650,2848,2570,888,1
117,2566,1818,1643,1340,2605,675,649,2810,2570,889,1
118,2578,1823,1643,1344,2606,675,650,2703,2570,888,1
119,2577,1820,1645,1341,2604,676,649,2650,2569,888,1
120,2575,1821,1646,1340,2606,676,649,2688,2571,888,1
121,2579,1830,1645,1340,2606,676,648,2777,2570,888,2
122,2585,1830,1650,1348,2609,678,649,2833,2571,887,2
123,2586,1828,1650,1346,2609,678,648,2844,2572,888,2
124,2583,1829,1647,1344,2609,677,649,2784,2572,888,2
125,2584,1830,1647,1341,2608,678,647,2684,2570,888,2
126,2579,1830,1647,1341,2609,678,647,2649,2570,890,2
127,2581,1828,1649,1339,2609,679,647,2706,2572,887,2
128,2582,1827,1648,1339,2608,679,647,2795,2572,887,2
129,2578,1826,1647,1338,2607,678,648,2839,2571,888,2
130,2577,1826,1647,1335,2608,679,646,2843,2570,886,2
131,2578,1826,1647,1336,2609,678,646,2749,2572,886,2
132,2576,1826,1648,1334,2609,677,646,2655,2572,887,2
133,2579,1826,1647,1333,2608,678,644,2651,2571,886,2
134,2575,1828,1647,1333,2608,677,646,2730,2571,886,2
135,2576,1825,1648,1332,2607,676,644,2810,2570,887,2
136,2577,1828,1647,1331,2609,677,645,2845,2570,886,2
137,2574,1825,1648,1331,2607,678,644,2826,2570,884,2
138,2572,1826,1647,1329,2608,678,645,2718,2570,884,2
139,2573,1826,1648,1330,2608,677,644,2638,2570,884,2
140,2574,1825,1645,1330,2606,677,642,2661,2570,884,2
141,2576,1826,1646,1327,2610,677,642,2758,2570,884,2
142,2573,1822,1648,1327,2608,678,642,2822,2570,883,2
143,2571,1821,1646,1327,2609,678,641,2844,2570,882,2
144,2576,1824,1646,1327,2608,676,643,2799,2569,883,2
145,2572,1824,1646,1324,2607,677,640,2685,2567,882,2
146,2575,1826,1646,1324,2608,676,640,2632,2567,883,2
147,2571,1826,1646,1324,2607,676,638,2676,2567,883,2
148,2570,1824,1646,1325,2606,676,640,2774,2568,881,2
149,2570,1823,1646,1324,2607,675,640,2834,2568,880,2
150,2571,1826,1646,1324,2606,676,640,2843,2566,881,2
151,2570,1823,1645,1322,2608,675,636,2763,2566,881,2
152,2574,1823,1646,1323,2606,677,636,2658,2566,880,2
153,2573,1822,1645,1323,2607,676,636,2632,2566,882,2
154,2574,1821,1646,1322,2608,676,635,2702,2565,881,2
155,2570,1822,1645,1322,2608,677,635,2796,2564,882,2
156,2569,1822,1645,1322,2607,675,634,2839,2564,881,2
157,2571,1826,1644,1321,2606,675,635,2837,2565,880,2
158,2571,1824,1646,1321,2606,676,634,2728,2566,878,2
159,2570,1823,1644,1322,2606,675,633,2632,2564,878,2
160,2568,1824,1645,1321,2607,675,632,2640,2562,879,2
161,2569,1819,1643,1321,2607,675,634,2730,2562,879,2
162,2570,1819,1643,1322,2606,675,634,2808,2563,879,2
163,2568,1819,1643,1320,2606,676,630,2840,2562,878,2
164,2570,1821,1642,1321,2606,675,634,2812,2562,878,2
165,2565,1822,1643,1319,2606,675,632,2696,2560,878,2
166,2568,1820,1643,1320,2606,675,633,2620,2560,878,2
167,2570,1820,1643,1321,2605,676,630,2651,2560,877,2
168,2563,1822,1642,1320,2606,674,632,2758,2558,878,2
169,2567,1821,1643,1321,2604,674,631,2822,2560,878,2
170,2568,1820,1643,1320,2606,674,630,2843,2557,876,2
171,2564,1819,1642,1320,2604,674,629,2783,2557,877,2
172,2566,1816,1643,1320,2604,674,631,2664,2556,877,2
173,2566,1818,1643,1320,2604,675,630,2616,2556,875,2
174,2564,1820,1641,1321,2606,674,630,2678,2555,877,2
175,2564,1816,1642,1320,2603,674,628,2775,2555,875,2
176,2562,1819,1641,1320,2606,674,630,2834,2554,875,2
177,2562,1818,1640,1320,2604,674,630,2839,2554,875,2
178,2564,1818,1642,1320,2603,674,629,2742,2554,875,2
179,2561,1819,1641,1320,2603,674,629,2638,2554,875,2
180,2562,1820,1641,1321,2603,673,630,2626,2552,874,2
181,2555,1821,1642,1320,2603,674,626,2706,2552,874,2
182,2558,1817,1641,1319,2603,671,629,2798,2552,875,2
183,2562,1815,1642,1321,2603,672,627,2837,2552,874,2
184,2555,1819,1639,1319,2604,674,627,2829,2550,874,2
185,2560,1818,1640,1320,2603,673,628,2711,2550,873,2
186,2554,1819,1639,1322,2603,673,627,2619,2550,874,2
187,2554,1816,1639,1321,2603,673,627,2638,2550,873,2
188,2554,1816,1640,1320,2602,673,626,2735,2547,872,2
189,2550,1818,1638,1320,2603,673,628,2810,2550,874,2
190,2552,1815,1638,1322,2602,672,627,2842,2548,872,2
191,2554,1817,1638,1322,2601,672,626,2802,2547,872,2
192,2551,1816,1639,1322,2602,669,627,2676,2547,872,2
193,2547,1816,1636,1322,2600,671,626,2610,2547,872,2
194,2548,1817,1637,1320,2600,672,626,2654,2546,871,2
195,2546,1817,1636,1322,2602,672,626,2762,2545,871,2
196,2550,1816,1637,1324,2600,672,626,2827,2545,871,2
197,2546,1814,1638,1323,2602,670,627,2840,2545,871,2
198,2543,1816,1636,1322,2601,673,627,2770,2543,870,2
199,2544,1813,1635,1322,2602,672,627,2650,2544,869,2
200,2546,1817,1637,1323,2602,670,625,2614,2542,870,2
201,2543,1811,1635,1324,2600,672,625,2686,2543,870,2
202,2544,1814,1636,1323,2600,671,626,2784,2542,868,2
203,2546,1811,1636,1323,2602,670,625,2836,2542,871,2
204,2542,1812,1635,1324,2602,671,625,2837,2540,869,2
205,2539,1812,1635,1322,2600,671,624,2728,2542,868,2
206,2539,1810,1634,1323,2600,669,626,2626,2540,869,2
207,2541,1812,1635,1323,2598,670,625,2624,2541,867,2
208,2539,1811,1634,1324,2600,671,624,2711,2539,868,2
209,2538,1811,1632,1326,2598,672,624,2800,2539,868,2
210,2534,1812,1631,1326,2599,670,624,2839,2538,868,2
211,2539,1813,1634,1326,2598,672,624,2821,2538,868,2
212,2534,1812,1634,1327,2598,669,625,2698,2539,867,2
213,2533,1811,1630,1326,2598,669,625,2610,2538,867,2
214,2536,1810,1632,1326,2597,669,624,2639,2538,868,2
215,2531,1810,1630,1326,2598,671,626,2744,2536,868,2
216,2534,1812,1632,1325,2595,670,625,2818,2536,867,2
217,2531,1809,1630,1326,2597,669,624,2840,2536,866,2
218,2529,1807,1629,1326,2595,669,626,2789,2534,866,2
219,2528,1809,1631,1327,2596,670,626,2662,2534,866,2
220,2530,1809,1630,1326,2598,670,624,2609,2534,865,2
221,2527,1808,1628,1328,2595,669,624,2663,2534,866,2
222,2526,1810,1630,1328,2596,670,624,2768,2533,865,2
223,2523,1808,1630,1330,2596,668,624,2829,2534,867,2
224,2523,1807,1630,1329,2595,670,624,2838,2531,866,2
225,2524,1806,1628,1329,2594,670,624,2752,2531,866,2
226,2525,1806,1628,1328,2595,670,623,2639,2530,865,2
227,2520,1807,1628,1331,2595,668,625,2614,2532,865,2
228,2520,1807,1627,1331,2595,669,625,2692,2530,864,2
229,2522,1807,1627,1330,2593,669,625,2792,2530,866,2
230,2522,1807,1626,1330,2594,669,623,2835,2528,864,2
231,2517,1802,1626,1331,2594,667,624,2834,2530,865,2
232,2522,1804,1627,1331,2594,668,623,2713,2530,865,2
233,2518,1803,1624,1331,2594,667,624,2616,2530,863,2
234,2518,1806,1624,1331,2593,669,623,2627,2528,862,2
235,2513,1804,1625,1332,2591,668,624,2725,2525,863,2
236,2518,1802,1625,1331,2591,667,624,2808,2526,864,2
237,2518,1804,1624,1333,2592,667,624,2840,2526,863,2
238,2514,1803,1624,1333,2590,668,623,2808,2525,862,2
239,2514,1805,1624,1334,2591,667,622,2680,2526,861,2
240,2512,1804,1623,1333,2591,666,624,2607,2523,861,2
241,2511,1800,1622,1334,2593,666,624,2646,2523,864,2
242,2510,1800,1624,1336,2587,666,624,2757,2524,863,2
243,2508,1801,1622,1336,2591,667,622,2821,2522,862,2
244,2506,1801,1621,1335,2589,666,623,2839,2522,861,2
245,2507,1799,1622,1336,2589,666,624,2774,2522,861,2
246,2503,1798,1622,1336,2589,667,624,2653,2521,862,2
247,2504,1799,1622,1337,2589,665,625,2610,2521,862,2
248,2504,1800,1620,1336,2589,667,622,2673,2522,860,2
249,2503,1802,1620,1336,2588,667,622,2774,2519,859,2
250,2502,1800,1619,1338,2589,667,624,2834,2519,860,2
251,2499,1799,1619,1338,2587,665,624,2838,2518,859,2
252,2498,1798,1619,1339,2587,665,625,2736,2520,860,2
253,2497,1800,1618,1338,2587,666,626,2632,2520,859,2
254,2494,1800,1617,1341,2587,666,625,2618,2518,861,2
255,2491,1797,1618,1340,2587,667,624,2705,2518,858,2
256,2492,1796,1616,1339,2587,667,624,2799,2515,860,2
257,2490,1795,1618,1341,2585,664,625,2839,2518,860,2
258,2490,1796,1618,1339,2586,666,624,2826,2517,859,2
259,2494,1796,1617,1341,2584,666,623,2703,2516,859,2
260,2490,1797,1617,1341,2586,665,624,2613,2514,860,2
261,2491,1795,1616,1342,2585,666,623,2636,2514,859,2
262,2486,1796,1614,1344,2586,665,626,2739,2515,858,2
263,2487,1795,1614,1345,2585,666,626,2811,2514,860,2
264,2485,1793,1615,1346,2585,664,626,2840,2514,859,2
265,2485,1794,1615,1345,2584,665,626,2798,2513,857,2
266,2486,1794,1614,1346,2584,665,626,2670,2513,859,2
267,2482,1792,1612,1346,2584,664,626,2609,2514,858,2
268,2482,1794,1614,1346,2583,665,627,2659,2514,856,2
269,2485,1794,1614,1347,2584,664,625,2766,2510,857,2
270,2480,1790,1612,1347,2581,665,625,2829,2511,856,2
271,2479,1792,1612,1347,2582,664,625,2842,2511,858,2
272,2482,1789,1611,1347,2582,664,626,2760,2510,858,2
273,2480,1792,1610,1349,2582,664,626,2645,2511,858,2
274,2480,1790,1611,1350,2582,666,627,2612,2510,858,2
275,2475,1786,1611,1349,2583,663,624,2692,2508,856,2
