Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2478,1794,1612,1308,2575,667,628,2713,2533,862,0
2,2512,1782,1616,1309,2576,669,629,2798,2534,862,0
3,2510,1795,1614,1310,2576,667,630,2835,2534,862,0
4,2508,1795,1613,1308,2575,667,628,2826,2534,862,0
5,2515,1805,1612,1310,2576,668,630,2714,2535,862,0
6,2514,1794,1612,1309,2574,667,630,2635,2536,863,0
7,2507,1796,1614,1309,2576,667,633,2694,2536,863,0
8,2512,1800,1614,1309,2574,667,630,2786,2535,862,0
9,2507,1796,1612,1310,2575,667,631,2842,2536,862,0
10,2511,1808,1615,1307,2576,668,632,2824,2534,862,0
11,2507,1798,1614,1309,2574,668,631,2710,2536,863,0
12,2514,1800,1614,1308,2574,667,631,2630,2536,864,0
13,2518,1794,1611,1308,2575,667,630,2659,2536,862,0
14,2510,1798,1614,1308,2575,667,630,2758,2538,862,0
15,2511,1789,1615,1308,2576,668,629,2828,2535,863,0
16,2501,1795,1623,1308,2574,668,631,2842,2536,865,0
17,2514,1799,1616,1310,2574,667,631,2778,2536,864,0
18,2507,1794,1615,1309,2574,667,630,2665,2537,862,0
19,2524,1795,1616,1310,2576,667,630,2632,2536,862,0
20,2511,1797,1614,1308,2576,668,630,2700,2535,861,0
21,2519,1798,1616,1308,2575,668,629,2796,2536,862,1
22,2493,1797,1614,1310,2575,667,631,2834,2533,862,1
23,2514,1783,1615,1315,2575,668,628,2829,2536,863,1
24,2508,1795,1616,1310,2576,667,631,2722,2536,862,1
25,2552,1799,1616,1308,2576,668,630,2636,2536,861,1
26,2510,1818,1613,1309,2576,668,627,2657,2536,862,1
27,2514,1806,1615,1310,2576,666,630,2752,2538,862,1
28,2515,1799,1616,1309,2577,667,630,2822,2537,862,1
29,2512,1801,1616,1310,2577,668,631,2836,2536,867,1
30,2511,1783,1616,1309,2578,669,630,2790,2536,862,1
31,2516,1798,1615,1309,2576,668,630,2675,2537,862,1
32,2512,1796,1615,1307,2576,668,629,2627,2538,863,1
33,2514,1801,1617,1310,2578,668,631,2693,2543,863,1
34,2501,1796,1615,1307,2578,670,631,2786,2537,863,1
35,2510,1798,1615,1307,2574,669,630,2838,2536,864,1
36,2512,1795,1617,1308,2576,666,631,2836,2536,862,1
37,2504,1795,1616,1309,2576,668,631,2736,2534,862,1
38,2514,1795,1616,1308,2578,667,629,2644,2538,859,1
39,2512,1809,1616,1308,2578,670,631,2648,2538,862,1
40,2518,1807,1615,1309,2578,675,630,2736,2538,862,1
41,2511,1798,1614,1308,2576,668,632,2814,2538,864,1
42,2514,1804,1618,1308,2576,669,630,2835,2538,862,1
43,2539,1797,1618,1309,2578,668,631,2805,2538,864,1
44,2520,1802,1617,1309,2577,669,629,2688,2538,862,1
45,2518,1798,1617,1308,2579,669,630,2630,2538,861,1
46,2515,1799,1616,1308,2576,673,631,2678,2538,863,1
47,2517,1803,1616,1308,2578,667,629,2773,2538,862,1
48,2515,1801,1615,1308,2578,668,630,2821,2537,862,1
49,2515,1779,1618,1310,2579,669,633,2836,2538,862,1
50,2512,1795,1617,1308,2578,669,629,2752,2538,862,1
51,2516,1795,1618,1310,2578,668,630,2656,2538,863,1
52,2517,1803,1617,1307,2578,669,629,2643,2536,863,1
53,2514,1785,1618,1308,2579,670,628,2715,2538,864,1
54,2550,1801,1618,1309,2578,667,631,2800,2539,861,1
55,2516,1798,1617,1309,2579,667,630,2838,2538,861,1
56,2515,1800,1616,1308,2572,668,631,2823,2538,864,1
57,2514,1787,1618,1308,2577,669,628,2704,2540,863,1
58,2514,1796,1617,1308,2579,669,630,2634,2538,866,1
59,2485,1797,1617,1310,2578,670,628,2664,2538,862,1
60,2514,1801,1618,1309,2579,667,632,2758,2539,869,1
61,2518,1798,1618,1310,2580,667,630,2827,2538,865,1
62,2520,1802,1619,1309,2578,670,631,2841,2539,865,1
63,2514,1798,1619,1307,2579,669,630,2772,2538,864,1
64,2515,1796,1618,1310,2579,669,630,2670,2540,862,1
65,2522,1803,1617,1310,2579,669,630,2635,2540,866,1
66,2516,1800,1617,1308,2579,670,629,2703,2539,864,1
67,2515,1798,1617,1310,2580,669,630,2798,2539,864,1
68,2520,1803,1618,1310,2580,669,632,2834,2542,866,1
69,2535,1798,1618,1310,2578,670,628,2828,2540,863,1
70,2502,1798,1619,1311,2579,670,631,2728,2541,863,1
71,2519,1789,1618,1310,2580,669,632,2635,2541,867,1
72,2523,1800,1620,1311,2579,669,632,2651,2541,866,1
73,2523,1804,1619,1312,2580,669,632,2757,2540,866,1
74,2515,1802,1618,1313,2581,670,633,2814,2541,866,1
75,2520,1820,1619,1310,2582,670,636,2846,2541,867,1
76,2520,1790,1619,1316,2579,670,630,2793,2542,868,1
77,2526,1800,1620,1313,2581,669,632,2680,2542,868,1
78,2525,1804,1619,1314,2582,669,634,2633,2542,868,1
79,2542,1803,1619,1314,2582,670,632,2689,2543,868,1
80,2530,1812,1619,1314,2580,669,633,2787,2542,868,1
81,2520,1798,1620,1315,2582,670,634,2834,2542,870,1
82,2524,1797,1621,1315,2582,672,633,2840,2543,869,1
83,2528,1782,1621,1315,2582,670,632,2742,2543,869,1
84,2525,1803,1620,1315,2581,670,634,2645,2544,870,1
85,2533,1806,1620,1317,2584,669,635,2653,2546,870,1
86,2536,1802,1613,1315,2583,670,634,2733,2545,870,1
87,2532,1808,1624,1315,2583,671,633,2813,2546,870,1
88,2550,1806,1622,1318,2582,669,634,2834,2546,872,1
89,2531,1810,1622,1314,2583,672,635,2812,2546,871,1
90,2530,1806,1623,1317,2585,671,635,2700,2547,872,1
91,2533,1800,1621,1317,2583,672,643,2645,2546,871,1
92,2527,1806,1623,1318,2584,669,636,2685,2547,873,1
93,2531,1802,1622,1317,2584,671,636,2774,2547,872,1
94,2526,1804,1624,1316,2584,673,636,2832,2548,873,1
