Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2234,1923,1819,1710,2723,866,1067,2875,2990,1250,0
2,2232,1921,1822,1709,2728,866,1067,2874,2990,1250,0
3,2250,1923,1820,1709,2726,863,1067,2899,2991,1250,0
4,2230,1922,1819,1710,2723,866,1067,2923,2990,1251,0
5,2231,1931,1819,1710,2723,866,1069,2929,2990,1250,0
6,2232,1920,1819,1710,2725,866,1065,2916,2991,1251,0
7,2227,1910,1819,1709,2726,863,1068,2901,2990,1250,0
8,2230,1925,1819,1711,2726,865,1067,2882,2990,1250,0
9,2234,1926,1820,1709,2724,866,1066,2876,2993,1251,0
10,2229,1923,1819,1710,2725,867,1068,2905,2991,1250,0
11,2216,1923,1819,1710,2726,867,1067,2922,2991,1250,0
12,2233,1926,1819,1709,2725,866,1067,2927,2992,1250,0
13,2228,1920,1819,1710,2726,866,1066,2920,2993,1250,0
14,2233,1921,1820,1710,2725,866,1066,2905,2992,1249,0
15,2222,1920,1820,1710,2725,865,1069,2886,2992,1251,0
16,2232,1901,1820,1711,2726,866,1067,2882,2992,1251,0
17,2230,1922,1820,1710,2725,866,1068,2886,2992,1248,0
18,2194,1920,1820,1710,2726,865,1066,2895,2992,1250,0
19,2234,1930,1821,1711,2726,865,1068,2922,2992,1251,0
20,2232,1923,1821,1709,2726,866,1066,2928,2992,1252,0
21,2250,1923,1821,1709,2726,866,1068,2931,2992,1251,1
22,2230,1911,1820,1709,2727,865,1066,2915,2992,1250,1
23,2230,1924,1822,1710,2726,863,1069,2889,2991,1250,1
24,2226,1921,1822,1711,2726,862,1069,2871,2992,1252,1
25,2205,1922,1820,1710,2727,866,1066,2882,2992,1251,1
26,2236,1928,1819,1710,2727,867,1066,2896,2992,1250,1
27,2235,1929,1822,1702,2727,863,1067,2919,2992,1251,1
28,2232,1942,1821,1711,2726,865,1064,2929,2993,1251,1
29,2230,1918,1823,1711,2728,866,1065,2926,2992,1252,1
30,2229,1924,1822,1710,2727,864,1068,2916,2993,1251,1
31,2234,1923,1824,1710,2726,863,1067,2886,2992,1251,1
32,2228,1924,1822,1710,2728,866,1067,2875,2992,1250,1
33,2234,1922,1823,1711,2727,863,1065,2880,2992,1251,1
34,2230,1925,1822,1712,2727,866,1068,2894,2993,1251,1
35,2234,1923,1824,1710,2726,866,1067,2918,2994,1251,1
36,2230,1923,1824,1711,2728,863,1067,2928,2993,1252,1
37,2234,1923,1822,1711,2729,866,1066,2926,2994,1252,1
38,2229,1923,1822,1714,2728,866,1070,2914,2994,1252,1
39,2235,1934,1824,1714,2728,865,1071,2891,2994,1252,1
40,2234,1934,1822,1710,2727,865,1070,2877,2993,1253,1
41,2236,1930,1822,1715,2729,873,1070,2882,2993,1253,1
42,2240,1926,1823,1716,2728,866,1072,2896,2994,1253,1
43,2204,1923,1826,1715,2728,866,1072,2916,2994,1254,1
44,2220,1926,1826,1717,2729,866,1071,2926,2994,1254,1
45,2229,1927,1826,1719,2729,866,1074,2935,2994,1256,1
46,2234,1926,1826,1721,2728,863,1075,2923,2995,1256,1
47,2232,1929,1824,1720,2729,865,1076,2902,2997,1256,1
48,2235,1901,1826,1722,2728,866,1078,2890,2995,1256,1
49,2231,1921,1824,1723,2730,867,1078,2890,2997,1257,1
50,2228,1924,1826,1723,2730,866,1080,2902,2998,1258,1
51,2252,1927,1827,1725,2730,867,1079,2923,2998,1259,1
52,2236,1928,1826,1728,2730,867,1082,2930,2998,1259,1
53,2237,1923,1826,1730,2730,867,1081,2932,2998,1260,1
54,2234,1924,1826,1730,2730,867,1083,2922,3000,1261,1
55,2243,1930,1826,1731,2730,866,1082,2903,3002,1261,1
56,2243,1927,1827,1733,2730,866,1084,2888,3002,1260,1
57,2229,1928,1827,1733,2731,866,1088,2886,3002,1261,1
58,2235,1929,1829,1736,2730,866,1089,2902,3002,1264,1
59,2242,1930,1830,1737,2731,866,1091,2922,3003,1262,1
60,2234,1923,1830,1738,2730,867,1093,2935,3003,1264,1
61,2280,1928,1830,1739,2731,867,1093,2942,3003,1265,1
62,2247,1928,1819,1741,2730,868,1093,2934,3004,1266,1
63,2242,1928,1830,1742,2731,868,1094,2909,3005,1266,1
64,2240,1939,1830,1743,2732,867,1098,2896,3006,1266,1
65,2250,1931,1830,1744,2732,866,1097,2890,3008,1267,1
66,2219,1927,1831,1746,2732,867,1097,2898,3008,1266,1
67,2243,1930,1830,1747,2731,867,1100,2922,3010,1262,1
68,2242,1932,1831,1749,2732,867,1101,2930,3010,1268,1
69,2242,1924,1831,1750,2731,868,1102,2945,3010,1269,1
70,2269,1930,1832,1751,2732,868,1105,2940,3010,1269,1
71,2246,1929,1833,1753,2738,868,1103,2914,3011,1270,1
72,2242,1930,1832,1754,2734,869,1106,2903,3013,1269,1
73,2248,1937,1830,1754,2734,868,1106,2898,3014,1271,1
74,2213,1930,1834,1756,2734,868,1108,2902,3012,1271,1
75,2242,1931,1832,1756,2730,867,1110,2926,3014,1272,1
76,2244,1936,1834,1758,2735,868,1110,2939,3013,1272,1
77,2243,1925,1834,1758,2734,862,1111,2947,3014,1271,1
78,2262,1934,1834,1760,2735,867,1112,2944,3016,1273,1
79,2246,1931,1835,1762,2735,866,1111,2919,3014,1272,1
80,2247,1930,1834,1762,2734,869,1111,2907,3016,1274,1
81,2251,1938,1834,1762,2734,868,1114,2899,3016,1274,1
82,2236,1935,1835,1763,2735,867,1113,2902,3016,1275,1
83,2250,1938,1836,1764,2735,867,1115,2926,3018,1274,1
84,2250,1920,1835,1764,2735,867,1113,2937,3016,1275,1
85,2282,1936,1836,1765,2735,867,1117,2947,3018,1275,1
86,2254,1934,1836,1767,2742,869,1116,2939,3019,1275,1
87,2250,1931,1838,1768,2736,867,1121,2923,3018,1277,1
88,2253,1942,1836,1768,2735,867,1118,2912,3020,1276,1
89,2235,1936,1836,1768,2738,869,1121,2903,3019,1276,1
90,2250,1938,1838,1768,2736,868,1121,2909,3021,1276,1
91,2251,1926,1837,1778,2737,867,1120,2927,3020,1277,1
92,2242,1935,1838,1771,2737,869,1122,2939,3021,1277,1
93,2256,1935,1839,1770,2742,868,1121,2939,3019,1284,1
94,2252,1939,1841,1770,2736,868,1125,2947,3019,1280,1
95,2258,1939,1840,1771,2738,867,1123,2925,3019,1280,1
96,2240,1935,1840,1771,2737,868,1125,2912,3023,1282,1
97,2256,1940,1841,1772,2738,867,1125,2908,3019,1278,1
98,2250,1928,1839,1773,2738,869,1126,2910,3021,1280,1
99,2278,1941,1842,1772,2738,869,1124,2927,3022,1280,1
100,2253,1942,1842,1772,2738,870,1126,2936,3022,1280,1
101,2250,1938,1841,1772,2738,869,1125,2950,3021,1281,1
102,2262,1940,1831,1774,2739,869,1124,2951,3021,1280,1
103,2255,1938,1842,1773,2739,870,1123,2930,3022,1278,1
104,2256,1946,1842,1774,2739,869,1122,2917,3020,1278,1
105,2236,1939,1842,1772,2739,869,1122,2900,3021,1280,1
106,2254,1940,1842,1771,2739,870,1123,2907,3019,1278,1
107,2252,1933,1842,1774,2739,869,1122,2921,3020,1278,1
108,2292,1946,1843,1770,2739,868,1122,2936,3019,1278,1
109,2257,1940,1843,1769,2740,870,1120,2944,3020,1278,1
110,2258,1954,1845,1770,2739,870,1118,2944,3019,1280,1
111,2261,1943,1843,1769,2741,870,1118,2928,3019,1280,1
112,2251,1940,1843,1768,2741,869,1120,2922,3018,1277,1
113,2257,1944,1843,1766,2741,870,1116,2902,3018,1277,1
114,2254,1935,1843,1764,2740,859,1116,2900,3018,1276,1
115,2264,1942,1840,1763,2740,869,1114,2909,3018,1277,1
116,2258,1942,1844,1761,2740,870,1111,2925,3017,1277,1
117,2258,1947,1844,1760,2740,869,1111,2941,3017,1275,1
118,2241,1942,1844,1757,2741,870,1107,2942,3016,1277,1
119,2256,1944,1844,1756,2742,871,1112,2934,3016,1276,1
120,2254,1928,1845,1758,2741,871,1107,2918,3016,1275,1
121,2279,1945,1844,1753,2740,870,1108,2898,3016,1275,2
122,2266,1947,1849,1755,2744,871,1106,2892,3014,1276,2
123,2263,1948,1848,1754,2744,872,1104,2910,3014,1275,2
124,2265,1946,1847,1750,2744,872,1102,2921,3014,1273,2
125,2262,1948,1848,1746,2744,872,1099,2939,3013,1274,2
126,2264,1948,1849,1742,2744,872,1095,2942,3012,1273,2
127,2263,1945,1849,1741,2744,871,1095,2924,3011,1274,2
128,2266,1948,1847,1735,2744,872,1091,2910,3012,1273,2
129,2264,1946,1848,1732,2744,871,1089,2885,3010,1273,2
130,2262,1947,1850,1731,2744,871,1085,2881,3010,1270,2
131,2261,1946,1847,1725,2744,872,1088,2900,3010,1271,2
132,2261,1949,1848,1722,2743,872,1082,2915,3009,1269,2
133,2262,1947,1848,1721,2743,871,1080,2934,3006,1270,2
134,2263,1949,1849,1716,2745,871,1077,2936,3006,1268,2
135,2262,1946,1847,1714,2744,871,1074,2921,3004,1268,2
136,2260,1948,1846,1710,2744,871,1072,2904,3004,1267,2
137,2262,1947,1848,1707,2744,871,1068,2871,3002,1267,2
138,2263,1946,1849,1705,2742,870,1064,2867,3002,1266,2
139,2263,1949,1846,1702,2744,871,1063,2889,3002,1265,2
140,2260,1946,1847,1699,2742,870,1060,2906,3000,1265,2
