timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2097,1770,1626,1584,2483,847,922,2830,2770,1096,0
2,2068,1756,1628,1587,2484,846,922,2873,2771,1097,0
3,2105,1771,1627,1586,2484,847,924,2905,2770,1098,0
4,2069,1761,1626,1586,2483,848,923,2901,2770,1098,0
5,2070,1770,1626,1586,2482,846,925,2859,2770,1096,0
6,2072,1754,1626,1585,2483,848,922,2811,2770,1096,0
7,2068,1770,1626,1584,2483,847,923,2817,2771,1098,0
8,2072,1776,1627,1585,2484,845,925,2850,2770,1097,0
9,2068,1770,1628,1586,2482,847,923,2899,2771,1095,0
10,2072,1769,1627,1585,2484,847,922,2904,2770,1097,0
11,2070,1762,1627,1586,2483,847,924,2894,2770,1097,0
12,2078,1768,1626,1586,2484,847,925,2850,2771,1098,0
13,2066,1768,1628,1586,2484,847,925,2808,2771,1096,0
14,2086,1765,1628,1585,2483,847,922,2822,2771,1097,0
15,2067,1763,1627,1585,2484,848,923,2866,2770,1097,0
16,2106,1770,1628,1586,2484,847,922,2903,2771,1098,0
17,2070,1760,1627,1590,2484,847,921,2907,2771,1098,0
18,2072,1771,1629,1586,2484,846,925,2877,2772,1097,0
19,2070,1773,1627,1585,2484,846,925,2821,2771,1099,0
20,2066,1769,1628,1586,2480,848,924,2812,2771,1098,0
21,2072,1768,1627,1586,2484,848,924,2850,2771,1098,1
22,2053,1768,1627,1586,2483,848,924,2886,2771,1098,1
23,2075,1774,1627,1585,2483,847,924,2912,2772,1096,1
24,2042,1782,1628,1586,2483,845,922,2900,2772,1098,1
25,2078,1771,1629,1587,2484,846,923,2854,2772,1096,1
26,2062,1766,1629,1586,2485,846,923,2814,2772,1097,1
27,2052,1770,1627,1586,2485,849,924,2819,2771,1098,1
28,2061,1770,1628,1584,2486,847,923,2866,2771,1097,1
29,2069,1770,1629,1586,2485,847,924,2907,2771,1096,1
30,2069,1771,1630,1586,2484,846,925,2915,2771,1097,1
31,2071,1762,1629,1586,2486,847,925,2874,2771,1097,1
32,2070,1761,1629,1586,2486,846,925,2826,2772,1098,1
33,2070,1758,1628,1586,2484,847,924,2808,2772,1098,1
34,2077,1768,1630,1586,2485,846,924,2832,2772,1098,1
35,2073,1769,1629,1585,2486,846,924,2876,2772,1097,1
36,2075,1775,1628,1586,2485,847,924,2912,2772,1098,1
37,2075,1775,1630,1586,2485,846,924,2904,2773,1098,1
38,2080,1771,1630,1587,2485,846,925,2859,2774,1098,1
39,2072,1772,1630,1588,2485,847,925,2811,2774,1099,1
40,2074,1773,1630,1588,2486,846,928,2811,2774,1099,1
41,2091,1770,1630,1588,2486,846,927,2852,2775,1099,1
42,2082,1770,1629,1590,2485,848,928,2894,2774,1099,1
43,2073,1770,1630,1590,2486,848,928,2906,2774,1098,1
44,2077,1770,1629,1590,2486,846,924,2889,2774,1098,1
45,2046,1785,1631,1591,2486,846,929,2846,2775,1101,1
46,2073,1749,1630,1593,2487,846,928,2811,2776,1101,1
47,2073,1762,1630,1592,2486,848,931,2827,2777,1100,1
48,2067,1770,1631,1594,2487,848,929,2873,2777,1100,1
49,2074,1766,1632,1595,2486,847,930,2910,2777,1100,1
50,2075,1775,1630,1596,2487,849,930,2910,2778,1102,1
51,2075,1771,1633,1597,2486,848,934,2875,2779,1103,1
52,2072,1771,1632,1600,2486,848,933,2824,2779,1102,1
53,2073,1762,1633,1601,2488,848,934,2818,2779,1103,1
54,2074,1769,1632,1602,2486,848,934,2856,2781,1103,1
55,2075,1789,1634,1603,2486,848,935,2893,2782,1103,1
56,2075,1769,1632,1603,2486,848,936,2915,2782,1103,1
57,2075,1776,1633,1603,2488,848,937,2892,2782,1104,1
58,2076,1758,1632,1606,2487,848,936,2853,2783,1103,1
59,2075,1770,1634,1607,2488,848,937,2818,2782,1103,1
60,2076,1788,1634,1608,2487,848,941,2834,2784,1105,1
61,2078,1772,1634,1609,2487,847,941,2875,2787,1106,1
62,2078,1774,1634,1611,2488,846,941,2903,2786,1106,1
63,2076,1764,1634,1611,2490,849,942,2910,2786,1106,1
64,2076,1768,1634,1611,2490,848,942,2885,2786,1107,1
65,2079,1778,1634,1612,2490,849,944,2843,2787,1108,1
66,2082,1775,1635,1614,2488,850,943,2824,2790,1107,1
67,2076,1762,1636,1614,2490,850,946,2849,2790,1107,1
68,2120,1775,1635,1616,2489,849,948,2888,2790,1108,1
69,2082,1782,1635,1611,2489,849,947,2917,2790,1109,1
70,2062,1771,1636,1617,2490,847,946,2907,2792,1109,1
71,2080,1760,1637,1621,2490,848,949,2865,2792,1109,1
72,2119,1771,1636,1621,2491,848,948,2836,2792,1109,1
73,2086,1782,1637,1621,2490,847,949,2837,2794,1111,1
74,2050,1773,1635,1622,2491,850,950,2870,2794,1112,1
75,2078,1774,1636,1622,2491,849,951,2910,2794,1112,1
76,2116,1775,1636,1624,2491,849,954,2913,2794,1110,1
77,2083,1774,1638,1624,2491,848,951,2885,2795,1111,1
78,2082,1793,1637,1626,2492,849,956,2856,2795,1112,1
79,2085,1776,1639,1625,2491,850,955,2840,2795,1111,1
80,2086,1763,1638,1627,2491,849,953,2845,2797,1112,1
81,2085,1771,1638,1627,2491,850,952,2888,2798,1112,1
82,2091,1782,1640,1627,2492,848,955,2917,2798,1112,1
83,2059,1771,1638,1629,2492,849,958,2912,2799,1114,1
84,2080,1766,1640,1630,2491,849,958,2874,2799,1113,1
85,2099,1775,1640,1628,2493,849,958,2838,2799,1113,1
86,2091,1778,1640,1630,2492,848,957,2836,2799,1113,1
87,2081,1775,1641,1629,2493,848,960,2867,2800,1115,1
88,2086,1778,1639,1632,2493,849,962,2899,2800,1116,1
89,2088,1774,1640,1634,2492,850,961,2911,2801,1114,1
90,2086,1798,1639,1632,2494,848,964,2902,2802,1115,1
91,2089,1781,1639,1634,2496,849,962,2869,2802,1115,1
92,2086,1767,1642,1631,2494,849,964,2832,2802,1116,1
93,2109,1779,1641,1634,2496,850,965,2843,2802,1116,1
94,2094,1780,1642,1636,2494,848,963,2886,2803,1116,1
95,2078,1776,1640,1635,2496,850,963,2918,2804,1116,1
96,2082,1777,1643,1635,2494,850,963,2912,2804,1115,1
97,2090,1778,1643,1635,2494,850,965,2880,2806,1115,1
98,2091,1800,1642,1635,2497,850,966,2848,2803,1116,1
99,2088,1783,1643,1635,2498,850,964,2838,2803,1116,1
100,2056,1776,1643,1636,2497,850,964,2865,2803,1117,1
101,2086,1775,1642,1638,2497,850,966,2894,2805,1117,1
