Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2594,1872,1717,1514,2703,646,896,2868,2958,1016,0
2,2592,1876,1718,1515,2703,646,896,2912,2961,1017,0
3,2603,1883,1717,1515,2705,647,894,2910,2961,1016,0
4,2611,1878,1717,1514,2701,648,896,2842,2960,1016,0
5,2596,1874,1716,1514,2704,647,898,2777,2959,1016,0
6,2605,1879,1716,1515,2701,647,896,2770,2960,1016,0
7,2599,1875,1716,1514,2703,648,894,2828,2960,1014,0
8,2596,1874,1718,1515,2703,648,896,2890,2959,1015,0
9,2582,1875,1718,1514,2702,648,894,2913,2960,1015,0
10,2598,1882,1718,1515,2702,647,897,2894,2961,1016,0
11,2595,1873,1718,1515,2703,646,896,2826,2961,1017,0
12,2594,1874,1715,1515,2702,648,893,2761,2960,1015,0
13,2599,1864,1718,1514,2703,649,893,2778,2960,1015,0
14,2598,1878,1719,1515,2698,647,893,2855,2963,1015,0
15,2598,1873,1718,1515,2703,647,894,2906,2960,1017,0
16,2603,1876,1719,1515,2702,648,894,2910,2960,1016,0
17,2595,1878,1717,1512,2703,647,896,2871,2961,1016,0
18,2597,1872,1717,1514,2702,650,891,2795,2960,1015,0
19,2603,1875,1718,1513,2703,647,893,2761,2962,1016,0
20,2598,1881,1717,1515,2704,648,894,2808,2962,1016,0
21,2571,1877,1717,1515,2702,649,893,2874,2960,1016,1
22,2601,1877,1720,1514,2702,649,892,2907,2961,1015,1
23,2596,1879,1716,1515,2700,648,898,2910,2962,1016,1
24,2587,1875,1717,1512,2704,648,892,2843,2961,1015,1
25,2594,1878,1717,1513,2706,649,894,2767,2962,1014,1
26,2598,1877,1719,1515,2703,647,891,2765,2962,1016,1
27,2595,1863,1720,1514,2703,650,888,2829,2962,1015,1
28,2586,1877,1720,1514,2703,649,892,2894,2961,1017,1
29,2571,1875,1718,1516,2704,648,893,2915,2961,1016,1
30,2598,1874,1718,1515,2705,649,892,2891,2960,1016,1
31,2595,1875,1718,1515,2704,649,891,2810,2960,1016,1
32,2595,1875,1720,1515,2704,650,894,2760,2962,1015,1
33,2598,1882,1718,1516,2703,649,896,2783,2962,1016,1
34,2598,1882,1719,1517,2704,648,898,2855,2962,1016,1
35,2579,1874,1718,1515,2704,649,894,2908,2962,1016,1
36,2580,1874,1718,1517,2703,649,896,2918,2960,1016,1
37,2602,1894,1717,1519,2704,649,901,2866,2961,1017,1
38,2600,1876,1720,1518,2704,650,896,2786,2962,1014,1
39,2600,1874,1720,1519,2705,649,897,2764,2962,1018,1
40,2595,1876,1720,1519,2705,650,896,2807,2962,1016,1
41,2622,1877,1718,1522,2706,649,902,2875,2958,1018,1
42,2600,1866,1719,1524,2704,649,897,2909,2964,1019,1
43,2602,1879,1720,1524,2706,648,902,2910,2963,1021,1
44,2603,1880,1720,1526,2704,649,904,2844,2963,1020,1
45,2591,1878,1720,1527,2705,649,904,2778,2965,1022,1
46,2600,1880,1717,1528,2706,649,904,2776,2966,1021,1
47,2606,1875,1720,1530,2705,649,906,2842,2965,1022,1
48,2604,1891,1720,1531,2706,650,914,2906,2965,1025,1
49,2609,1886,1720,1531,2707,648,906,2918,2966,1025,1
50,2606,1874,1721,1534,2706,648,910,2891,2966,1027,1
51,2603,1890,1719,1538,2707,649,912,2824,2966,1027,1
52,2606,1880,1720,1538,2706,650,911,2770,2966,1028,1
53,2610,1879,1721,1540,2704,650,911,2798,2968,1028,1
54,2606,1875,1722,1542,2707,648,916,2866,2968,1029,1
55,2619,1878,1723,1544,2707,650,917,2913,2970,1030,1
56,2605,1877,1722,1546,2714,649,918,2917,2970,1030,1
57,2628,1877,1722,1547,2706,651,920,2866,2970,1032,1
58,2603,1876,1721,1550,2706,651,922,2799,2970,1032,1
59,2630,1882,1722,1551,2706,650,921,2785,2972,1033,1
60,2608,1873,1722,1553,2708,650,925,2827,2973,1034,1
61,2630,1881,1722,1554,2708,649,928,2886,2974,1035,1
62,2608,1877,1722,1556,2707,648,930,2918,2974,1035,1
63,2607,1862,1724,1557,2710,650,932,2910,2974,1035,1
64,2608,1878,1723,1559,2707,650,933,2846,2974,1035,1
65,2612,1866,1722,1560,2709,651,930,2790,2976,1037,1
66,2607,1877,1726,1563,2708,650,936,2787,2978,1038,1
67,2614,1870,1726,1566,2707,650,934,2851,2978,1038,1
68,2612,1886,1726,1566,2709,650,936,2908,2977,1039,1
69,2612,1878,1726,1568,2710,650,940,2923,2979,1039,1
70,2615,1889,1728,1569,2710,649,943,2892,2979,1040,1
71,2612,1880,1723,1571,2710,651,941,2828,2979,1040,1
72,2614,1874,1726,1578,2709,650,943,2789,2979,1040,1
73,2618,1886,1725,1573,2708,650,945,2818,2980,1044,1
74,2613,1878,1725,1573,2710,644,943,2880,2980,1041,1
75,2618,1866,1730,1576,2710,650,943,2919,2982,1042,1
76,2614,1881,1729,1579,2710,650,946,2923,2982,1043,1
77,2617,1878,1729,1575,2710,652,947,2872,2982,1043,1
78,2621,1875,1729,1577,2710,652,940,2806,2984,1043,1
79,2615,1882,1727,1579,2711,651,952,2795,2983,1044,1
80,2619,1878,1728,1581,2712,651,950,2843,2985,1045,1
81,2637,1886,1730,1580,2710,651,950,2899,2984,1046,1
82,2618,1885,1729,1582,2711,652,954,2926,2985,1046,1
83,2620,1881,1730,1583,2712,652,952,2910,2985,1048,1
84,2638,1890,1731,1583,2710,652,954,2850,2986,1048,1
85,2616,1885,1731,1585,2711,652,953,2793,2986,1048,1
86,2627,1882,1731,1584,2716,651,955,2804,2987,1048,1
87,2634,1886,1731,1585,2714,652,954,2859,2986,1048,1
88,2659,1886,1733,1586,2713,652,956,2915,2987,1048,1
89,2630,1885,1731,1588,2712,652,956,2925,2987,1048,1
90,2634,1890,1733,1586,2714,650,956,2891,2988,1050,1
91,2627,1884,1734,1587,2714,650,956,2831,2990,1050,1
92,2631,1885,1733,1589,2714,652,960,2792,2987,1050,1
93,2629,1888,1733,1588,2718,654,957,2824,2988,1050,1
94,2632,1910,1733,1588,2714,651,962,2890,2989,1050,1
95,2634,1885,1734,1589,2714,652,961,2930,2990,1051,1
96,2635,1892,1735,1590,2715,657,960,2926,2990,1052,1
97,2636,1897,1733,1590,2715,652,962,2872,2989,1050,1
98,2632,1891,1736,1590,2714,654,966,2808,2990,1048,1
99,2639,1891,1736,1590,2714,652,960,2799,2989,1050,1
100,2644,1892,1734,1590,2715,653,962,2847,2990,1050,1
101,2635,1886,1735,1591,2715,652,957,2908,2990,1049,1
102,2634,1899,1734,1591,2715,653,960,2931,2990,1050,1
103,2622,1890,1735,1590,2718,654,958,2930,2990,1051,1
104,2635,1896,1735,1590,2716,653,960,2898,2989,1048,1
105,2636,1880,1736,1590,2717,654,955,2826,2990,1049,1
106,2660,1891,1736,1588,2718,652,957,2798,2990,1048,1
107,2638,1888,1738,1586,2718,653,954,2803,2990,1048,1
108,2639,1904,1739,1589,2718,652,957,2854,2989,1048,1
109,2615,1892,1738,1587,2720,653,954,2910,2987,1048,1
110,2637,1895,1738,1586,2718,653,952,2932,2987,1046,1
111,2638,1882,1738,1583,2719,653,946,2922,2990,1046,1
112,2671,1896,1738,1582,2718,652,950,2890,2987,1046,1
113,2639,1894,1737,1580,2716,653,948,2819,2989,1046,1
114,2640,1906,1736,1578,2719,653,946,2796,2987,1045,1
115,2615,1893,1738,1577,2719,654,942,2808,2986,1045,1
116,2640,1894,1738,1576,2719,653,942,2854,2987,1046,1
117,2641,1882,1738,1582,2718,653,938,2903,2986,1043,1
118,2667,1899,1739,1572,2721,654,938,2925,2986,1043,1
119,2642,1895,1739,1570,2720,655,935,2918,2986,1042,1
120,2643,1904,1739,1569,2722,654,934,2884,2987,1043,1
121,2625,1896,1740,1566,2720,655,930,2808,2986,1042,2
122,2650,1900,1745,1567,2723,656,931,2780,2986,1041,2
123,2650,1901,1742,1562,2724,657,928,2801,2984,1042,2
124,2649,1900,1742,1556,2723,655,927,2847,2984,1043,2
125,2650,1899,1743,1552,2723,655,923,2903,2984,1041,2
126,2648,1898,1744,1548,2723,655,918,2920,2983,1041,2
127,2648,1898,1744,1544,2723,654,915,2914,2986,1039,2
128,2642,1899,1742,1538,2723,656,912,2870,2981,1039,2
129,2644,1898,1742,1532,2722,657,909,2788,2981,1038,2
130,2646,1898,1742,1527,2722,657,903,2760,2982,1037,2
131,2644,1900,1742,1523,2722,655,898,2786,2980,1035,2
132,2646,1899,1742,1522,2723,657,898,2835,2979,1036,2
133,2648,1899,1742,1515,2722,655,891,2898,2976,1034,2
134,2646,1902,1742,1512,2723,655,887,2914,2977,1034,2
135,2646,1899,1741,1507,2722,656,882,2902,2976,1033,2
136,2645,1899,1741,1503,2723,656,880,2850,2974,1032,2
137,2643,1897,1742,1499,2722,655,875,2762,2976,1032,2
138,2646,1898,1741,1495,2723,655,869,2738,2973,1029,2
139,2643,1895,1742,1490,2722,654,866,2774,2972,1029,2
140,2646,1897,1741,1487,2722,654,861,2828,2970,1027,2
141,2643,1899,1740,1482,2722,655,858,2888,2970,1027,2
142,2644,1897,1741,1480,2722,654,853,2903,2968,1026,2
143,2646,1897,1739,1476,2722,655,850,2891,2966,1025,2
144,2646,1897,1739,1473,2722,655,843,2829,2966,1024,2
