timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2258,1662,1464,1463,2354,610,838,2894,2907,942,0
2,2251,1672,1470,1464,2354,612,840,2864,2908,941,0
3,2262,1666,1463,1462,2355,612,838,2758,2907,936,0
4,2289,1673,1464,1464,2353,612,838,2738,2908,940,0
5,2268,1677,1464,1464,2354,611,837,2827,2907,941,0
6,2264,1679,1463,1463,2354,610,838,2889,2908,942,0
7,2264,1673,1456,1464,2354,612,838,2895,2907,942,0
8,2260,1676,1463,1462,2355,611,839,2856,2907,942,0
9,2274,1672,1465,1462,2354,611,838,2754,2907,940,0
10,2257,1674,1465,1462,2354,612,838,2738,2908,944,0
11,2265,1674,1464,1463,2353,610,837,2804,2909,941,0
12,2263,1680,1464,1464,2352,611,838,2870,2908,942,0
13,2267,1669,1464,1462,2354,612,837,2895,2908,940,0
14,2261,1673,1463,1463,2354,613,839,2877,2909,940,0
15,2258,1670,1463,1464,2347,611,838,2802,2909,941,0
16,2258,1691,1462,1463,2355,612,835,2739,2907,943,0
17,2260,1670,1462,1464,2355,612,840,2753,2907,942,0
18,2255,1663,1465,1463,2354,612,839,2831,2909,941,0
19,2246,1672,1464,1464,2354,611,839,2890,2910,941,0
20,2266,1673,1464,1464,2354,611,838,2899,2909,941,0
21,2263,1674,1463,1464,2354,612,840,2846,2907,942,1
22,2292,1673,1464,1466,2354,612,838,2763,2907,941,1
23,2257,1672,1463,1464,2355,612,840,2739,2909,942,1
24,2262,1679,1464,1464,2354,611,839,2787,2909,942,1
25,2264,1685,1465,1465,2355,612,837,2859,2908,941,1
26,2261,1674,1466,1465,2353,611,839,2894,2909,940,1
27,2264,1672,1465,1462,2355,612,838,2891,2908,941,1
28,2259,1664,1466,1465,2355,612,839,2814,2909,943,1
29,2260,1675,1466,1463,2355,611,839,2749,2909,942,1
30,2261,1677,1465,1463,2357,612,839,2749,2910,941,1
31,2251,1669,1466,1465,2355,611,840,2819,2910,941,1
32,2253,1673,1463,1464,2356,611,837,2884,2910,942,1
33,2266,1676,1464,1462,2354,612,837,2899,2910,941,1
34,2258,1666,1464,1466,2355,612,838,2868,2909,942,1
35,2262,1680,1466,1466,2354,612,840,2790,2910,942,1
36,2263,1671,1465,1467,2355,611,836,2738,2910,942,1
37,2260,1686,1465,1466,2357,611,842,2772,2910,942,1
38,2263,1673,1465,1468,2356,612,840,2839,2909,943,1
39,2269,1675,1466,1469,2358,612,842,2891,2910,943,1
40,2264,1670,1466,1470,2355,611,844,2894,2910,944,1
41,2267,1674,1467,1474,2358,612,844,2838,2910,944,1
42,2262,1672,1465,1475,2358,612,842,2760,2912,946,1
43,2266,1673,1465,1475,2357,612,846,2742,2913,947,1
44,2298,1674,1466,1477,2356,612,846,2801,2914,946,1
45,2269,1675,1465,1477,2359,614,847,2866,2913,947,1
46,2278,1673,1466,1478,2357,613,847,2897,2914,947,1
47,2264,1674,1466,1481,2358,612,848,2886,2914,948,1
48,2268,1673,1467,1483,2357,614,850,2808,2915,950,1
49,2282,1676,1467,1483,2359,614,851,2748,2916,949,1
50,2264,1674,1467,1484,2359,614,853,2762,2916,950,1
51,2270,1678,1466,1486,2368,613,854,2832,2916,952,1
52,2264,1672,1467,1488,2360,611,855,2894,2918,953,1
53,2267,1674,1467,1490,2360,613,858,2898,2917,954,1
54,2265,1672,1468,1492,2358,612,860,2858,2918,954,1
55,2268,1686,1467,1494,2360,612,861,2791,2920,954,1
56,2270,1674,1470,1496,2360,612,861,2758,2920,955,1
57,2272,1677,1467,1497,2360,612,864,2797,2921,956,1
58,2274,1680,1467,1499,2360,620,868,2864,2921,960,1
59,2270,1687,1469,1498,2362,612,867,2906,2922,958,1
60,2253,1675,1469,1502,2359,614,870,2905,2923,960,1
61,2246,1675,1469,1505,2361,611,872,2841,2923,961,1
62,2270,1675,1470,1507,2362,613,874,2765,2925,961,1
63,2274,1680,1470,1507,2360,614,874,2768,2926,960,1
64,2267,1678,1469,1511,2359,614,877,2832,2925,962,1
65,2272,1661,1472,1511,2360,614,874,2883,2927,962,1
66,2275,1678,1474,1514,2363,613,880,2907,2927,963,1
67,2298,1680,1472,1515,2362,613,880,2888,2928,964,1
68,2264,1679,1469,1516,2361,614,882,2816,2928,965,1
69,2267,1677,1473,1519,2361,614,883,2767,2929,965,1
70,2274,1676,1472,1522,2363,614,886,2783,2930,966,1
71,2276,1678,1472,1522,2365,613,885,2855,2930,968,1
72,2277,1690,1472,1523,2363,614,887,2910,2930,967,1
73,2277,1687,1474,1526,2364,613,889,2915,2931,968,1
74,2256,1678,1474,1526,2364,613,890,2866,2931,968,1
75,2261,1675,1473,1526,2364,613,890,2792,2933,968,1
76,2259,1679,1474,1528,2363,614,890,2774,2931,970,1
77,2278,1683,1474,1529,2365,613,894,2812,2934,970,1
78,2280,1682,1474,1529,2363,615,892,2874,2935,970,1
79,2274,1678,1476,1531,2364,614,894,2910,2935,970,1
80,2277,1679,1475,1534,2365,614,898,2902,2935,971,1
81,2274,1678,1474,1532,2365,613,898,2834,2935,974,1
82,2281,1682,1475,1534,2363,614,897,2771,2937,972,1
83,2280,1679,1476,1533,2363,616,898,2774,2936,972,1
84,2282,1678,1476,1538,2365,613,898,2836,2936,973,1
85,2289,1690,1475,1538,2366,614,900,2901,2937,974,1
86,2286,1685,1477,1537,2365,614,901,2916,2938,974,1
87,2283,1684,1476,1539,2363,613,901,2887,2939,974,1
88,2281,1680,1474,1541,2366,614,905,2814,2939,975,1
89,2283,1682,1478,1540,2366,613,904,2776,2939,974,1
90,2282,1678,1478,1540,2368,606,902,2798,2939,974,1
91,2286,1679,1477,1541,2370,614,905,2866,2939,974,1
92,2287,1683,1477,1541,2374,613,904,2906,2941,974,1
93,2290,1684,1478,1540,2370,614,904,2910,2940,974,1
94,2286,1680,1478,1542,2368,614,904,2851,2942,975,1
95,2290,1689,1477,1544,2368,616,904,2786,2941,975,1
96,2294,1690,1477,1543,2369,614,906,2777,2941,976,1
97,2286,1685,1478,1543,2370,614,905,2834,2940,974,1
98,2290,1687,1480,1544,2370,614,906,2892,2944,974,1
99,2287,1684,1479,1544,2370,613,907,2918,2942,975,1
100,2275,1684,1479,1544,2370,616,905,2904,2939,974,1
101,2281,1682,1490,1545,2370,614,906,2832,2942,975,1
102,2291,1670,1481,1544,2370,614,899,2770,2944,974,1
103,2289,1672,1481,1551,2371,614,902,2782,2942,974,1
104,2291,1678,1481,1544,2372,616,904,2849,2941,975,1
105,2295,1686,1481,1544,2372,615,903,2902,2941,974,1
106,2294,1685,1480,1544,2374,615,902,2914,2940,973,1
107,2298,1696,1481,1541,2370,615,903,2875,2941,973,1
108,2296,1691,1482,1542,2373,621,899,2801,2942,974,1
109,2299,1691,1480,1539,2372,616,900,2768,2939,974,1
110,2297,1688,1482,1538,2371,615,899,2808,2942,972,1
111,2293,1689,1483,1538,2373,615,896,2876,2940,973,1
112,2292,1683,1481,1536,2371,614,896,2909,2939,972,1
113,2294,1685,1483,1536,2374,615,893,2907,2939,971,1
114,2326,1688,1482,1531,2373,617,890,2840,2937,971,1
115,2298,1686,1484,1531,2373,614,888,2770,2938,971,1
116,2294,1686,1483,1528,2374,614,885,2769,2938,970,1
