timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1733,1354,1014,1009,1711,584,492,2599,1894,706,0
2,1729,1348,1014,1010,1713,583,490,2706,1893,705,0
3,1737,1346,1014,1011,1714,582,491,2787,1894,705,0
4,1738,1355,1013,1010,1712,582,492,2795,1892,706,0
5,1742,1354,1014,1009,1711,582,491,2646,1892,705,0
6,1733,1325,1014,1008,1712,583,493,2564,1893,705,0
7,1764,1352,1012,1009,1712,584,489,2600,1892,706,0
8,1735,1346,1013,1009,1711,584,490,2710,1891,705,0
9,1739,1355,1010,1009,1713,585,491,2795,1891,706,0
10,1737,1345,1012,1010,1711,586,490,2789,1893,702,0
11,1744,1356,1014,1010,1711,583,490,2680,1893,705,0
12,1732,1328,1014,1010,1711,583,490,2575,1893,707,0
13,1759,1349,1014,1009,1711,582,489,2584,1893,705,0
14,1734,1347,1013,1009,1712,584,490,2677,1893,706,0
15,1720,1349,1012,1010,1713,585,490,2766,1892,706,0
16,1738,1354,1013,1010,1711,584,492,2794,1893,706,0
17,1736,1348,1014,1010,1718,582,490,2753,1894,705,0
18,1735,1363,1010,1010,1712,583,490,2632,1892,704,0
19,1704,1346,1012,1010,1713,583,490,2566,1892,706,0
20,1732,1344,1014,1010,1711,585,487,2611,1893,706,0
21,1745,1350,1011,1009,1712,584,488,2720,1886,705,1
22,1742,1352,1012,1008,1712,584,490,2787,1890,706,1
23,1728,1351,1012,1010,1712,584,490,2795,1892,706,1
24,1736,1335,1011,1009,1712,585,490,2696,1891,710,1
25,1734,1339,1012,1008,1710,584,490,2594,1892,706,1
26,1718,1350,1012,1010,1712,584,490,2579,1896,705,1
27,1750,1352,1012,1010,1712,585,490,2660,1891,706,1
28,1737,1363,1012,1008,1712,584,488,2758,1891,704,1
29,1731,1350,1014,1007,1713,584,489,2798,1891,702,1
30,1737,1350,1014,1008,1714,584,488,2770,1890,702,1
31,1697,1346,1013,1010,1712,584,489,2650,1892,705,1
32,1750,1349,1015,1009,1712,583,489,2565,1894,706,1
33,1738,1352,1012,1008,1714,585,491,2603,1891,705,1
34,1735,1351,1012,1010,1713,583,490,2716,1892,705,1
35,1736,1374,1011,1009,1714,584,489,2782,1891,705,1
36,1736,1348,1012,1008,1710,584,490,2792,1891,706,1
37,1736,1347,1014,1009,1712,583,490,2723,1892,707,1
38,1728,1348,1013,1010,1713,584,491,2606,1891,704,1
39,1757,1349,1013,1009,1713,584,489,2570,1891,706,1
40,1725,1351,1013,1009,1711,584,491,2650,1891,705,1
41,1758,1350,1012,1010,1712,583,490,2744,1893,706,1
42,1734,1347,1012,1011,1713,583,491,2794,1892,706,1
43,1752,1350,1011,1010,1711,584,490,2782,1891,706,1
44,1743,1355,1013,1009,1713,584,490,2670,1890,705,1
45,1743,1349,1013,1011,1712,584,490,2572,1891,706,1
46,1707,1348,1014,1011,1712,585,491,2595,1893,706,1
47,1742,1349,1012,1011,1712,584,489,2693,1892,707,1
48,1718,1348,1013,1012,1712,584,491,2771,1892,708,1
49,1728,1350,1013,1011,1714,584,489,2796,1892,707,1
50,1733,1350,1012,1010,1713,584,486,2738,1893,708,1
51,1742,1350,1012,1012,1713,583,490,2616,1892,708,1
52,1734,1352,1014,1011,1712,585,490,2573,1894,708,1
53,1736,1347,1012,1011,1714,584,490,2627,1892,707,1
54,1729,1351,1014,1011,1713,584,491,2736,1892,708,1
55,1739,1347,1012,1011,1714,583,490,2793,1891,708,1
56,1734,1352,1011,1012,1714,584,493,2797,1892,708,1
57,1739,1354,1012,1014,1714,584,492,2689,1892,707,1
58,1731,1338,1012,1018,1714,585,490,2579,1894,709,1
59,1736,1364,1013,1014,1714,583,491,2588,1892,710,1
60,1763,1352,1015,1013,1714,583,491,2676,1893,708,1
61,1743,1352,1013,1014,1714,583,492,2764,1894,707,1
62,1738,1348,1015,1013,1722,581,491,2794,1894,709,1
63,1730,1349,1012,1014,1715,584,492,2762,1894,710,1
64,1743,1351,1014,1013,1714,584,492,2634,1894,708,1
65,1738,1358,1013,1013,1714,584,493,2569,1892,709,1
66,1734,1347,1013,1014,1714,584,492,2616,1894,708,1
67,1722,1345,1014,1015,1714,583,493,2720,1895,711,1
68,1741,1352,1013,1014,1714,584,494,2786,1894,710,1
69,1732,1345,1015,1015,1712,584,493,2793,1894,710,1
70,1733,1350,1014,1014,1707,583,494,2703,1894,710,1
71,1743,1347,1014,1016,1712,583,494,2595,1895,710,1
72,1738,1335,1014,1016,1714,583,493,2578,1896,709,1
73,1739,1366,1013,1016,1714,585,494,2661,1894,707,1
74,1737,1328,1015,1014,1715,586,494,2754,1893,709,1
75,1717,1352,1014,1015,1714,585,493,2798,1894,710,1
76,1759,1352,1013,1016,1715,584,494,2774,1894,710,1
77,1738,1353,1014,1015,1716,584,495,2662,1895,710,1
78,1739,1346,1013,1015,1713,584,494,2566,1895,710,1
79,1734,1346,1015,1015,1714,585,493,2600,1896,710,1
80,1741,1352,1013,1016,1715,584,492,2712,1895,710,1
81,1733,1350,1015,1016,1712,584,495,2776,1896,712,1
82,1739,1349,1014,1016,1714,583,494,2800,1896,711,1
83,1738,1349,1014,1016,1715,585,495,2723,1894,711,1
84,1739,1354,1014,1015,1715,584,494,2615,1894,711,1
85,1743,1355,1013,1016,1715,584,495,2577,1895,710,1
86,1735,1344,1016,1015,1713,584,495,2643,1896,710,1
