Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1582,1246,932,1021,1547,552,487,2723,1815,685,0
2,1582,1256,931,1019,1549,552,490,2782,1816,684,0
3,1585,1252,932,1020,1550,552,488,2792,1815,684,0
4,1595,1259,932,1020,1548,550,490,2667,1816,685,0
5,1586,1256,930,1019,1547,551,488,2563,1816,684,0
6,1592,1260,931,1019,1547,552,489,2605,1815,685,0
7,1589,1257,931,1020,1547,551,489,2739,1816,684,0
8,1585,1253,931,1018,1549,552,488,2796,1815,684,0
9,1585,1259,932,1019,1548,551,489,2760,1816,684,0
10,1583,1232,931,1019,1548,552,489,2640,1816,684,0
11,1588,1245,930,1020,1543,551,489,2570,1816,686,0
12,1617,1255,931,1012,1547,551,490,2602,1816,685,0
13,1595,1258,931,1019,1549,552,489,2706,1814,686,0
14,1586,1251,932,1019,1547,552,486,2777,1816,679,0
15,1592,1258,932,1020,1547,551,490,2792,1814,687,0
16,1582,1250,931,1019,1550,552,486,2694,1814,685,0
17,1590,1254,930,1019,1548,552,488,2570,1814,684,0
18,1580,1247,929,1019,1549,551,488,2598,1814,685,0
19,1590,1263,930,1019,1547,552,489,2706,1814,686,0
20,1587,1237,931,1018,1547,552,488,2767,1815,684,0
21,1588,1269,931,1019,1547,552,490,2796,1815,685,1
22,1584,1261,930,1019,1547,549,489,2696,1814,685,1
23,1587,1252,931,1020,1549,552,488,2595,1814,684,1
24,1582,1258,930,1019,1548,550,489,2570,1814,685,1
25,1560,1251,931,1018,1549,552,488,2651,1814,684,1
26,1588,1247,931,1019,1545,554,488,2754,1816,684,1
27,1583,1245,932,1019,1548,551,487,2788,1814,684,1
28,1593,1259,931,1018,1548,552,489,2786,1814,683,1
29,1584,1251,931,1019,1550,551,489,2671,1815,683,1
30,1582,1247,932,1019,1548,552,488,2568,1815,684,1
31,1584,1258,930,1019,1547,552,488,2584,1816,685,1
32,1590,1268,929,1020,1547,550,489,2686,1813,685,1
33,1577,1253,932,1019,1550,552,493,2768,1814,684,1
34,1588,1243,931,1019,1547,552,488,2793,1814,684,1
35,1553,1253,931,1021,1548,552,487,2759,1814,683,1
36,1589,1262,930,1020,1550,550,490,2639,1815,686,1
37,1605,1257,930,1019,1547,550,488,2568,1814,685,1
38,1586,1259,931,1019,1549,551,488,2600,1814,684,1
39,1581,1256,931,1020,1548,552,489,2708,1814,684,1
40,1587,1249,932,1019,1541,553,488,2781,1814,685,1
41,1588,1253,934,1019,1547,552,489,2799,1814,685,1
