Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1896,1550,1109,930,1971,671,501,2607,2035,722,0
2,1904,1547,1111,931,1974,674,499,2728,2035,723,0
3,1890,1550,1110,931,1973,671,500,2791,2035,723,0
4,1898,1560,1110,931,1970,673,500,2761,2034,724,0
5,1900,1550,1110,931,1969,672,501,2579,2034,721,0
6,1901,1544,1110,932,1971,671,500,2543,2033,723,0
7,1901,1531,1110,930,1972,674,499,2651,2034,722,0
8,1904,1558,1109,925,1970,674,500,2762,2033,722,0
9,1902,1550,1110,931,1971,674,499,2792,2033,722,0
10,1898,1542,1109,930,1971,674,500,2710,2033,724,0
11,1910,1550,1110,930,1971,673,494,2547,2032,722,0
12,1922,1548,1111,931,1971,674,499,2560,2033,722,0
13,1903,1558,1110,933,1970,673,500,2707,2032,724,0
14,1904,1549,1111,932,1973,672,500,2778,2032,722,0
15,1897,1547,1112,931,1970,674,499,2791,2032,722,0
16,1902,1544,1110,931,1972,672,500,2702,2032,723,0
17,1902,1550,1111,930,1980,672,498,2550,2033,722,0
18,1898,1539,1110,930,1971,671,500,2566,2034,722,0
19,1897,1546,1108,930,1971,671,499,2706,2033,723,0
20,1906,1554,1110,932,1971,672,500,2774,2033,721,0
21,1896,1542,1112,931,1971,674,498,2794,2032,723,1
22,1904,1554,1109,929,1971,673,500,2690,2032,723,1
23,1901,1544,1111,931,1971,674,498,2574,2032,722,1
24,1900,1550,1110,931,1979,673,498,2542,2032,721,1
25,1892,1546,1109,929,1971,674,498,2631,2032,723,1
26,1897,1544,1110,927,1971,673,500,2742,2032,723,1
27,1900,1537,1109,928,1971,673,498,2786,2031,722,1
28,1900,1550,1108,930,1970,670,500,2771,2032,722,1
29,1902,1558,1109,927,1970,673,500,2639,2031,722,1
30,1898,1543,1110,930,1971,670,499,2546,2032,722,1
31,1898,1544,1110,931,1970,673,498,2574,2032,722,1
32,1891,1548,1110,930,1971,673,498,2681,2031,722,1
33,1880,1548,1109,929,1971,674,499,2762,2030,722,1
34,1902,1545,1112,930,1969,675,499,2797,2031,721,1
35,1899,1544,1110,930,1970,674,498,2724,2030,722,1
36,1894,1538,1110,929,1970,671,498,2591,2031,723,1
37,1891,1547,1109,929,1970,673,499,2537,2030,722,1
38,1886,1546,1108,929,1970,673,499,2606,2031,721,1
39,1897,1542,1110,930,1970,675,498,2728,2031,722,1
40,1902,1544,1111,930,1972,674,498,2788,2030,720,1
41,1927,1550,1110,930,1970,672,499,2788,2030,720,1
42,1898,1550,1110,929,1970,674,499,2660,2031,722,1
43,1900,1551,1109,931,1971,672,499,2555,2029,721,1
44,1894,1545,1110,930,1970,674,498,2554,2030,720,1
45,1909,1547,1110,930,1970,671,497,2656,2030,720,1
46,1898,1546,1110,931,1970,672,500,2759,2031,721,1
47,1924,1549,1110,930,1969,671,499,2795,2030,721,1
48,1928,1549,1109,930,1971,672,498,2750,2030,721,1
49,1900,1552,1109,929,1971,673,500,2605,2030,722,1
50,1900,1538,1110,930,1970,672,500,2531,2031,720,1
51,1891,1546,1107,929,1970,672,500,2586,2032,722,1
52,1900,1554,1108,928,1971,671,501,2703,2030,721,1
53,1903,1553,1110,930,1970,674,500,2774,2030,721,1
54,1902,1544,1110,931,1970,672,500,2795,2031,720,1
55,1900,1546,1109,931,1970,674,499,2696,2031,722,1
56,1928,1546,1109,932,1969,672,500,2575,2031,721,1
57,1898,1526,1111,929,1970,673,500,2541,2030,722,1
58,1899,1533,1109,930,1971,672,499,2632,2030,722,1
59,1897,1548,1109,931,1968,674,502,2741,2032,722,1
60,1899,1548,1110,930,1970,674,500,2789,2032,719,1
61,1869,1547,1109,930,1970,673,500,2770,2032,722,1
62,1902,1551,1110,932,1973,672,500,2634,2031,720,1
63,1901,1555,1110,921,1970,674,501,2541,2033,720,1
64,1899,1547,1110,931,1970,673,500,2576,2032,722,1
65,1899,1542,1110,932,1969,674,501,2690,2034,721,1
66,1914,1547,1109,931,1969,673,501,2768,2032,721,1
67,1897,1542,1108,930,1970,673,502,2798,2032,722,1
68,1894,1544,1110,932,1970,671,502,2725,2034,721,1
69,1902,1549,1110,932,1971,674,502,2586,2034,721,1
70,1898,1530,1107,932,1969,674,501,2538,2034,721,1
71,1898,1545,1109,931,1968,672,503,2608,2034,721,1
72,1866,1542,1109,931,1967,671,501,2726,2034,721,1
73,1884,1546,1109,930,1970,671,502,2785,2034,722,1
74,1906,1550,1110,931,1970,674,503,2781,2033,721,1
75,1904,1548,1108,932,1968,670,495,2656,2034,721,1
