timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1625,1284,931,924,1522,572,458,2610,1856,670,0
2,1625,1275,931,924,1522,576,458,2732,1856,668,0
3,1654,1270,932,925,1521,574,459,2778,1854,670,0
4,1626,1267,931,923,1521,576,458,2731,1853,672,0
5,1620,1259,933,923,1522,571,459,2554,1856,671,0
6,1624,1277,930,923,1519,576,456,2522,1856,670,0
7,1612,1266,932,923,1520,573,457,2664,1856,671,0
8,1624,1265,931,922,1522,573,458,2749,1852,668,0
9,1632,1273,930,925,1522,574,457,2778,1853,669,0
10,1629,1268,929,924,1521,574,456,2672,1853,669,0
11,1628,1269,932,925,1519,572,458,2526,1856,671,0
12,1627,1275,932,924,1521,574,458,2546,1852,669,0
13,1617,1270,929,923,1521,573,458,2704,1853,672,0
14,1666,1270,930,918,1520,576,457,2778,1853,669,0
15,1635,1272,932,921,1523,576,458,2762,1851,670,0
16,1624,1258,933,924,1521,573,458,2620,1853,670,0
17,1642,1269,931,924,1521,576,458,2515,1852,670,0
18,1624,1268,931,923,1522,580,457,2587,1853,669,0
19,1621,1262,932,924,1515,573,457,2740,1852,670,0
20,1625,1286,931,924,1520,576,457,2778,1852,670,0
21,1603,1267,931,923,1520,574,457,2715,1852,670,1
22,1630,1267,930,923,1521,573,456,2511,1852,670,1
23,1627,1277,931,924,1522,571,457,2530,1851,669,1
24,1626,1275,931,922,1522,573,456,2635,1851,668,1
25,1629,1265,931,922,1522,574,459,2754,1852,670,1
26,1624,1271,930,924,1520,576,457,2788,1852,669,1
27,1644,1268,934,921,1522,576,458,2648,1852,670,1
28,1624,1274,931,923,1521,577,457,2540,1852,668,1
29,1637,1270,933,922,1522,571,453,2555,1851,672,1
30,1626,1270,930,922,1521,576,458,2684,1850,670,1
31,1661,1270,931,912,1522,573,458,2780,1851,669,1
32,1625,1272,931,922,1521,573,457,2777,1851,670,1
33,1633,1269,930,922,1520,576,456,2599,1851,668,1
34,1624,1272,931,923,1520,574,457,2518,1851,669,1
35,1627,1287,932,922,1521,576,458,2602,1851,669,1
36,1626,1262,932,924,1521,574,457,2723,1851,669,1
37,1630,1290,931,922,1521,574,459,2779,1850,670,1
38,1630,1267,931,923,1520,576,456,2735,1850,668,1
39,1604,1266,931,923,1521,573,456,2561,1851,670,1
40,1632,1269,931,923,1521,576,457,2519,1851,668,1
41,1608,1266,930,923,1520,573,457,2656,1851,667,1
42,1628,1275,931,922,1520,577,458,2745,1849,669,1
43,1625,1252,931,923,1522,574,456,2786,1850,669,1
44,1632,1270,930,923,1522,577,456,2679,1850,670,1
45,1634,1268,931,922,1521,576,454,2523,1850,667,1
46,1624,1270,931,923,1521,573,457,2547,1850,668,1
47,1627,1265,932,919,1521,566,459,2696,1850,669,1
48,1642,1269,931,922,1521,577,458,2766,1850,673,1
49,1602,1267,931,922,1521,573,458,2771,1851,667,1
50,1634,1266,930,922,1520,576,457,2621,1850,668,1
51,1618,1269,930,922,1521,576,459,2520,1850,668,1
52,1596,1266,930,922,1522,573,458,2583,1851,667,1
53,1622,1267,931,925,1521,573,460,2739,1851,668,1
54,1619,1268,932,922,1522,576,458,2784,1850,668,1
55,1627,1284,931,923,1521,576,459,2718,1850,668,1
56,1656,1269,930,923,1522,574,459,2573,1850,668,1
57,1640,1268,930,933,1520,576,458,2530,1851,666,1
58,1628,1276,930,923,1519,576,459,2626,1851,666,1
59,1626,1259,930,924,1521,573,459,2760,1851,667,1
60,1611,1266,930,925,1518,574,458,2786,1851,663,1
61,1643,1270,931,924,1520,573,461,2658,1851,667,1
62,1622,1264,930,924,1519,576,459,2547,1851,667,1
63,1636,1271,931,923,1519,574,459,2554,1851,668,1
64,1629,1268,931,922,1520,572,459,2675,1851,667,1
65,1626,1255,932,923,1522,576,459,2776,1850,668,1
66,1613,1266,930,924,1519,574,458,2781,1852,663,1
67,1644,1267,930,925,1520,576,460,2605,1851,671,1
68,1627,1266,932,918,1520,574,460,2524,1851,668,1
69,1629,1270,930,928,1522,573,458,2594,1853,667,1
70,1630,1266,933,923,1520,572,460,2714,1851,667,1
71,1624,1262,932,923,1518,576,461,2786,1851,668,1
72,1619,1267,931,923,1519,573,460,2750,1851,666,1
73,1632,1266,932,923,1521,573,459,2562,1852,668,1
74,1628,1258,931,923,1520,573,459,2526,1853,667,1
75,1616,1264,929,923,1521,576,462,2648,1852,667,1
76,1628,1281,926,923,1519,576,454,2742,1852,667,1
77,1628,1250,929,925,1520,576,459,2786,1852,666,1
78,1627,1270,931,924,1520,574,459,2696,1852,668,1
79,1627,1261,931,924,1521,573,459,2530,1853,666,1
80,1654,1268,931,923,1520,572,462,2540,1850,668,1
81,1606,1266,931,924,1520,572,460,2698,1854,667,1
82,1638,1271,931,928,1520,571,462,2762,1853,667,1
83,1657,1269,930,924,1520,572,458,2771,1852,667,1
84,1624,1269,929,924,1520,573,460,2636,1853,668,1
85,1636,1269,927,931,1519,576,459,2515,1854,667,1
86,1626,1265,933,924,1518,572,461,2574,1853,668,1
87,1627,1272,931,923,1519,573,459,2730,1853,668,1
88,1627,1271,931,922,1521,573,459,2781,1851,668,1
89,1632,1266,930,925,1520,574,460,2728,1852,666,1
90,1622,1263,930,925,1518,576,459,2583,1854,667,1
91,1640,1272,929,933,1519,570,459,2534,1854,667,1
92,1634,1273,929,924,1520,572,459,2618,1853,667,1
93,1621,1264,930,926,1520,574,461,2760,1853,667,1
94,1626,1272,930,925,1521,571,460,2787,1852,666,1
95,1636,1269,931,923,1520,574,460,2667,1853,669,1
96,1632,1263,930,925,1520,573,460,2546,1854,668,1
97,1630,1272,930,923,1520,573,459,2555,1854,666,1
98,1626,1270,930,923,1519,574,459,2672,1853,667,1
99,1630,1265,931,923,1519,573,461,2771,1852,667,1
100,1620,1266,927,925,1520,576,462,2782,1854,666,1
101,1618,1266,940,925,1518,576,467,2676,1856,666,1
102,1627,1283,930,923,1519,576,461,2544,1853,667,1
103,1644,1267,930,923,1520,573,462,2530,1854,667,1
104,1648,1263,930,924,1520,574,459,2627,1854,667,1
105,1627,1270,930,925,1520,576,459,2739,1854,667,1
106,1628,1270,927,925,1520,574,458,2782,1856,667,1
107,1638,1270,930,936,1519,573,461,2754,1856,668,1
108,1630,1266,930,924,1519,573,462,2612,1852,666,1
109,1627,1264,930,924,1519,574,459,2522,1854,666,1
110,1622,1263,930,923,1519,576,460,2566,1854,667,1
111,1624,1262,927,925,1521,576,460,2683,1856,666,1
112,1623,1267,931,924,1519,573,460,2762,1856,668,1
113,1633,1274,930,924,1522,573,460,2781,1853,667,1
114,1634,1277,930,926,1518,572,460,2703,1854,668,1
115,1634,1269,931,926,1520,572,459,2565,1856,667,1
116,1638,1268,923,925,1518,574,461,2521,1856,667,1
117,1627,1254,930,926,1519,573,461,2606,1856,668,1
118,1616,1268,939,923,1521,573,469,2727,1856,668,1
119,1613,1267,929,924,1519,572,460,2781,1854,666,1
120,1628,1288,927,924,1519,573,461,2776,1856,667,1
121,1627,1263,929,924,1519,576,461,2643,1851,667,2
122,1636,1274,932,929,1523,576,462,2535,1856,668,2
123,1638,1274,932,930,1524,576,461,2546,1858,669,2
124,1640,1266,932,928,1523,576,461,2654,1854,667,2
125,1638,1270,933,924,1524,577,462,2746,1856,668,2
126,1640,1273,934,925,1524,576,461,2784,1856,669,2
127,1637,1274,932,925,1523,574,461,2734,1856,668,2
128,1638,1273,932,924,1523,574,459,2592,1856,669,2
129,1640,1274,931,923,1524,577,461,2519,1857,667,2
130,1642,1272,933,922,1524,577,462,2575,1854,670,2
131,1639,1271,933,921,1524,577,460,2699,1854,670,2
132,1640,1274,935,921,1524,578,460,2769,1854,669,2
133,1637,1274,932,922,1524,577,459,2783,1856,669,2
134,1638,1270,934,922,1525,579,458,2677,1854,669,2
135,1642,1272,932,920,1524,579,459,2549,1853,670,2
136,1639,1270,933,920,1522,578,458,2529,1853,669,2
137,1640,1274,931,922,1522,576,457,2628,1853,669,2
138,1636,1275,931,920,1524,578,458,2737,1852,670,2
139,1638,1272,932,920,1526,577,458,2781,1852,670,2
140,1641,1275,932,919,1524,578,459,2762,1851,670,2
141,1639,1270,932,920,1524,578,456,2614,1851,670,2
142,1640,1273,932,920,1524,578,456,2520,1851,669,2
143,1637,1274,931,920,1525,576,457,2555,1851,670,2
144,1638,1274,934,918,1523,578,457,2674,1851,670,2
145,1639,1274,932,920,1524,578,454,2758,1851,670,2
146,1640,1271,933,920,1524,579,456,2783,1849,672,2
147,1641,1274,933,919,1525,577,456,2703,1850,670,2
148,1637,1274,931,919,1524,576,456,2564,1850,669,2
149,1638,1271,933,918,1526,577,455,2516,1850,670,2
150,1640,1272,934,916,1524,576,454,2595,1849,671,2
151,1640,1272,932,918,1524,577,456,2716,1848,671,2
152,1640,1272,934,918,1525,577,455,2774,1848,670,2
153,1642,1274,931,918,1526,576,455,2774,1848,669,2
154,1640,1272,933,917,1526,577,454,2639,1848,670,2
155,1640,1273,934,918,1524,577,455,2525,1847,672,2
156,1639,1272,934,920,1524,578,453,2536,1846,670,2
157,1640,1273,933,919,1524,578,454,2647,1846,668,2
158,1642,1274,933,919,1526,579,453,2746,1846,669,2
159,1641,1271,934,919,1526,578,453,2784,1845,670,2
160,1638,1273,934,919,1525,578,453,2730,1846,669,2
161,1642,1270,934,919,1526,578,454,2584,1845,672,2
162,1640,1272,933,918,1524,578,453,2511,1845,670,2
163,1642,1272,935,918,1526,576,453,2570,1845,671,2
164,1638,1275,933,919,1526,576,453,2698,1844,671,2
165,1640,1272,936,918,1525,578,452,2766,1843,671,2
166,1640,1272,931,920,1526,578,451,2780,1843,670,2
167,1639,1270,934,920,1525,578,453,2668,1843,670,2
168,1640,1272,932,919,1526,577,452,2541,1842,672,2
169,1639,1272,932,919,1526,579,451,2523,1842,672,2
170,1640,1274,934,919,1526,578,452,2618,1841,670,2
171,1641,1274,934,921,1526,578,452,2733,1841,672,2
172,1638,1274,931,920,1525,578,451,2780,1841,670,2
173,1639,1274,933,920,1526,576,452,2760,1842,671,2
174,1641,1274,933,920,1527,576,451,2610,1842,669,2
175,1638,1272,934,921,1526,578,451,2513,1841,672,2
176,1641,1272,936,920,1526,577,451,2550,1841,672,2
177,1639,1272,933,920,1526,577,451,2672,1840,672,2
178,1638,1274,934,922,1528,579,451,2758,1840,672,2
179,1643,1275,932,921,1526,577,451,2785,1839,672,2
180,1637,1273,932,922,1526,578,450,2699,1839,669,2
181,1638,1272,933,920,1525,578,451,2560,1840,671,2
182,1637,1275,933,922,1526,578,451,2514,1839,672,2
183,1640,1274,934,922,1525,577,450,2595,1839,671,2
184,1642,1274,932,923,1526,577,451,2718,1838,672,2
185,1640,1273,936,922,1526,578,451,2775,1838,674,2
186,1640,1275,934,923,1526,578,451,2774,1837,672,2
187,1638,1274,933,924,1525,578,451,2638,1837,670,2
188,1640,1270,935,922,1526,576,453,2524,1839,672,2
189,1641,1274,934,924,1524,576,451,2534,1838,672,2
190,1643,1274,933,924,1526,578,450,2646,1837,670,2
191,1642,1274,934,926,1526,578,451,2747,1838,671,2
192,1641,1275,933,926,1527,578,450,2785,1837,672,2
193,1639,1276,933,926,1528,576,451,2730,1838,671,2
194,1638,1270,934,926,1527,579,451,2584,1836,672,2
195,1642,1272,934,926,1526,578,451,2509,1837,673,2
196,1642,1273,934,928,1526,578,453,2570,1837,672,2
197,1642,1275,932,926,1526,577,451,2699,1837,670,2
198,1638,1274,932,929,1527,577,451,2769,1836,672,2
199,1640,1275,934,930,1527,577,451,2781,1836,672,2
200,1638,1276,933,929,1526,578,451,2668,1836,671,2
201,1640,1275,936,931,1526,578,452,2541,1835,671,2
202,1637,1274,933,930,1526,578,450,2524,1836,670,2
203,1641,1273,934,930,1526,578,451,2625,1835,671,2
204,1642,1277,933,930,1526,577,451,2736,1835,672,2
205,1638,1274,932,930,1526,577,453,2781,1835,672,2
206,1642,1275,936,931,1526,577,453,2760,1835,672,2
207,1637,1273,933,932,1526,576,452,2610,1836,672,2
208,1640,1275,934,931,1528,577,454,2515,1835,674,2
209,1641,1275,933,932,1526,576,453,2554,1835,674,2
210,1643,1275,935,931,1528,577,452,2675,1834,672,2
211,1641,1274,932,932,1526,576,453,2760,1836,671,2
212,1642,1275,934,935,1526,573,454,2782,1835,672,2
213,1637,1274,934,934,1527,577,454,2701,1834,674,2
214,1640,1273,935,936,1527,577,453,2563,1835,672,2
215,1642,1273,932,934,1526,578,454,2517,1834,671,2
216,1641,1274,934,935,1527,578,454,2602,1836,672,2
217,1641,1277,933,936,1526,578,454,2722,1835,672,2
218,1639,1275,933,936,1526,576,454,2777,1835,672,2
219,1640,1274,935,936,1527,576,455,2775,1834,672,2
220,1641,1274,933,937,1526,576,454,2635,1836,671,2
221,1641,1274,933,938,1526,576,455,2529,1835,671,2
222,1641,1275,933,940,1526,576,454,2542,1835,674,2
223,1638,1276,934,938,1528,577,454,2654,1834,674,2
224,1641,1275,935,940,1528,576,454,2749,1836,673,2
225,1642,1272,933,941,1526,577,455,2784,1835,671,2
226,1640,1273,933,940,1526,578,456,2728,1835,671,2
227,1641,1275,934,940,1526,576,456,2584,1835,672,2
228,1637,1275,933,942,1527,574,457,2515,1835,674,2
229,1640,1275,935,941,1527,576,456,2579,1836,673,2
230,1641,1275,936,941,1526,577,457,2703,1835,674,2
231,1640,1273,934,943,1527,577,455,2770,1835,671,2
232,1639,1275,933,943,1526,578,457,2783,1833,673,2
233,1642,1277,935,942,1528,576,457,2667,1835,675,2
234,1642,1275,935,945,1528,576,457,2546,1835,674,2
235,1639,1275,934,946,1526,577,457,2532,1836,673,2
236,1641,1275,933,945,1528,576,458,2632,1836,674,2
237,1639,1274,935,945,1527,576,459,2741,1835,674,2
238,1643,1278,934,946,1528,576,457,2784,1835,673,2
239,1642,1273,934,946,1527,577,457,2756,1834,674,2
240,1640,1274,936,947,1528,577,458,2607,1835,675,2
241,1640,1275,936,949,1528,576,458,2521,1835,674,2
242,1639,1275,934,949,1528,576,458,2564,1836,674,2
243,1639,1276,936,950,1528,577,459,2688,1837,674,2
244,1642,1278,934,949,1528,576,460,2767,1835,674,2
245,1640,1276,936,950,1527,578,460,2786,1835,675,2
246,1640,1274,936,952,1528,578,458,2697,1835,674,2
247,1640,1274,936,952,1528,576,460,2563,1836,675,2
248,1640,1278,936,951,1528,577,460,2527,1835,676,2
249,1642,1276,936,952,1528,576,460,2614,1836,675,2
250,1643,1274,936,952,1528,578,461,2728,1836,675,2
251,1643,1274,935,952,1527,578,461,2782,1837,675,2
252,1642,1275,934,953,1527,578,460,2775,1837,675,2
253,1637,1276,935,955,1528,578,461,2635,1837,675,2
254,1641,1275,936,955,1528,576,460,2531,1838,674,2
255,1643,1275,935,955,1528,577,462,2552,1837,675,2
256,1642,1274,937,957,1528,577,463,2665,1836,676,2
257,1641,1277,934,957,1527,578,462,2758,1837,676,2
258,1640,1278,934,958,1529,576,463,2787,1838,676,2
259,1641,1276,936,958,1527,575,464,2726,1838,675,2
260,1643,1274,935,960,1529,578,463,2582,1838,676,2
261,1643,1275,935,960,1529,576,462,2523,1838,675,2
262,1642,1277,935,962,1528,576,463,2586,1838,676,2
263,1640,1277,936,962,1528,578,464,2715,1838,676,2
264,1642,1274,938,963,1529,577,464,2780,1837,676,2
265,1642,1273,934,963,1528,577,464,2784,1839,676,2
266,1642,1276,936,964,1528,577,464,2664,1838,676,2
267,1642,1275,936,964,1528,576,465,2550,1838,677,2
268,1638,1275,936,963,1529,579,465,2546,1838,676,2
269,1640,1274,937,964,1528,576,465,2650,1839,677,2
270,1640,1276,935,965,1527,578,464,2749,1839,678,2
271,1639,1274,938,966,1528,576,467,2788,1839,678,2
272,1639,1275,935,966,1527,578,465,2753,1839,676,2
273,1642,1280,938,968,1528,576,467,2609,1839,676,2
274,1642,1275,936,967,1528,577,467,2530,1842,677,2
275,1639,1275,936,968,1529,578,466,2579,1840,677,2
276,1639,1275,936,968,1528,577,468,2703,1840,678,2
277,1640,1275,937,970,1527,576,467,2776,1841,677,2
278,1642,1275,936,969,1529,577,468,2790,1840,678,2
279,1642,1274,936,970,1530,576,468,2694,1842,678,2
280,1642,1275,936,971,1528,576,467,2566,1842,678,2
