Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1739,1408,1140,1942,1958,808,1056,2857,2121,1043,0
2,1714,1411,1142,1945,1958,809,1054,2888,2122,1044,0
3,1707,1414,1140,1944,1959,809,1054,2934,2122,1043,0
4,1718,1412,1140,1940,1958,809,1054,2952,2122,1043,0
5,1710,1400,1140,1942,1959,807,1054,2938,2122,1043,0
6,1718,1405,1141,1943,1958,808,1055,2899,2121,1042,0
7,1710,1386,1138,1942,1959,809,1054,2854,2120,1042,0
8,1707,1410,1142,1942,1958,806,1055,2859,2120,1043,0
9,1722,1410,1140,1942,1958,808,1053,2898,2122,1043,0
10,1710,1387,1140,1941,1957,808,1057,2947,2122,1042,0
11,1707,1409,1140,1942,1958,806,1055,2958,2121,1043,0
12,1707,1409,1140,1940,1958,809,1054,2946,2120,1043,0
13,1699,1402,1139,1939,1958,808,1056,2898,2120,1042,0
14,1683,1402,1140,1940,1958,808,1053,2858,2120,1043,0
15,1713,1409,1140,1939,1958,808,1058,2846,2119,1042,0
16,1712,1417,1141,1940,1960,808,1056,2863,2120,1042,0
17,1707,1395,1140,1940,1959,808,1051,2914,2120,1042,0
18,1710,1409,1139,1939,1957,808,1054,2937,2120,1042,0
19,1710,1405,1140,1939,1957,808,1052,2952,2122,1041,0
20,1734,1410,1142,1939,1958,808,1053,2947,2120,1043,0
21,1703,1401,1139,1939,1958,809,1051,2894,2120,1041,1
22,1707,1390,1140,1937,1958,806,1049,2858,2119,1042,1
23,1710,1408,1139,1936,1958,808,1054,2852,2120,1040,1
24,1706,1408,1138,1936,1958,808,1052,2868,2118,1041,1
25,1711,1410,1138,1938,1958,808,1052,2920,2120,1040,1
26,1707,1411,1141,1936,1958,808,1052,2947,2120,1041,1
27,1710,1409,1139,1936,1960,808,1050,2958,2120,1041,1
28,1707,1386,1139,1936,1958,808,1052,2947,2120,1042,1
29,1709,1397,1139,1935,1957,808,1048,2896,2120,1041,1
30,1701,1402,1141,1938,1959,808,1049,2864,2120,1041,1
