Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2440,2282,2197,3616,3438,2819,3502,3984,3546,2888,0
2,2438,2280,2196,3614,3441,2822,3499,3983,3546,2888,0
3,2437,2286,2198,3616,3439,2822,3503,3982,3546,2888,0
4,2438,2280,2196,3614,3440,2822,3497,3983,3546,2890,0
5,2440,2291,2197,3616,3439,2822,3504,3984,3546,2887,0
6,2438,2270,2196,3614,3440,2822,3502,3982,3546,2890,0
7,2434,2280,2198,3614,3442,2818,3501,3983,3546,2889,0
8,2443,2282,2197,3614,3440,2824,3500,3983,3546,2890,0
9,2421,2280,2197,3614,3439,2822,3502,3979,3546,2890,0
10,2436,2283,2198,3614,3434,2824,3503,3983,3545,2889,0
11,2440,2286,2198,3614,3439,2822,3498,3982,3547,2888,0
12,2436,2280,2198,3614,3440,2824,3498,3983,3545,2888,0
13,2440,2291,2197,3616,3439,2822,3502,3983,3546,2889,0
14,2438,2267,2199,3617,3439,2824,3500,3982,3546,2889,0
15,2438,2275,2197,3615,3440,2823,3499,3982,3546,2889,0
16,2444,2283,2198,3614,3439,2824,3503,3983,3546,2890,0
17,2404,2280,2197,3616,3440,2823,3503,3984,3546,2890,0
18,2435,2282,2198,3614,3440,2824,3502,3982,3546,2889,0
19,2451,2284,2199,3616,3440,2824,3502,3987,3544,2890,0
20,2422,2283,2200,3614,3439,2823,3504,3979,3545,2890,0
21,2436,2282,2200,3614,3439,2823,3500,3982,3547,2889,1
22,2446,2283,2198,3618,3440,2825,3502,3984,3546,2890,1
23,2440,2280,2200,3614,3440,2824,3503,3985,3546,2891,1
24,2437,2284,2200,3615,3441,2825,3504,3983,3546,2890,1
25,2440,2270,2198,3616,3442,2824,3502,3982,3546,2890,1
26,2443,2286,2199,3614,3440,2824,3502,3983,3546,2889,1
27,2434,2282,2204,3614,3442,2824,3502,3980,3546,2891,1
28,2440,2278,2200,3616,3440,2824,3503,3984,3546,2889,1
29,2446,2288,2200,3615,3442,2824,3503,3986,3545,2891,1
30,2466,2283,2200,3616,3440,2825,3503,3983,3546,2890,1
31,2441,2279,2202,3616,3442,2824,3498,3985,3546,2892,1
32,2441,2282,2201,3616,3440,2826,3504,3984,3547,2891,1
33,2444,2284,2198,3616,3442,2825,3506,3984,3546,2895,1
34,2445,2288,2201,3617,3442,2826,3506,3985,3546,2898,1
35,2467,2285,2202,3617,3442,2826,3506,3986,3546,2899,1
36,2446,2286,2200,3618,3442,2826,3507,3986,3546,2905,1
37,2440,2280,2200,3618,3442,2826,3510,3987,3546,2910,1
38,2444,2286,2201,3619,3442,2828,3512,3988,3547,2914,1
39,2442,2278,2202,3619,3442,2827,3516,3990,3546,2922,1
40,2437,2283,2206,3620,3442,2829,3518,3989,3547,2927,1
41,2447,2278,2201,3621,3442,2827,3522,3992,3547,2936,1
42,2441,2285,2200,3622,3442,2830,3523,3990,3547,2944,1
43,2450,2278,2203,3622,3442,2830,3523,3992,3546,2952,1
44,2443,2283,2209,3623,3442,2832,3528,3992,3547,2962,1
45,2453,2280,2202,3625,3444,2832,3530,3994,3548,2966,1
46,2450,2286,2202,3626,3443,2832,3531,3994,3547,2971,1
47,2454,2282,2202,3626,3443,2832,3535,3994,3547,2978,1
48,2456,2287,2202,3626,3442,2833,3538,3995,3548,2982,1
49,2454,2285,2204,3628,3443,2834,3540,3997,3548,2988,1
50,2462,2288,2204,3630,3443,2835,3542,3997,3548,2993,1
51,2480,2285,2204,3629,3443,2834,3548,4003,3547,2995,1
52,2467,2290,2204,3630,3444,2836,3548,4000,3550,3000,1
53,2472,2287,2206,3632,3445,2836,3553,3999,3549,3004,1
54,2468,2279,2205,3633,3444,2838,3556,4000,3551,3009,1
55,2470,2290,2203,3632,3445,2840,3561,3998,3549,3011,1
56,2472,2286,2205,3634,3443,2839,3562,3999,3550,3014,1
57,2475,2287,2206,3635,3445,2838,3563,4002,3552,3017,1
58,2490,2294,2205,3638,3444,2840,3567,4003,3549,3018,1
59,2482,2295,2206,3636,3446,2841,3570,4002,3550,3019,1
60,2484,2291,2207,3638,3450,2842,3571,4001,3550,3020,1
