timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1710,1532,1224,1691,1866,553,979,2766,2980,971,0
2,1678,1527,1223,1695,1866,553,976,2767,2980,971,0
3,1716,1533,1224,1695,1866,551,975,2884,2982,970,0
4,1710,1531,1224,1692,1867,551,979,2947,2981,971,0
5,1703,1520,1223,1693,1866,552,971,2949,2979,970,0
6,1741,1531,1222,1693,1866,552,975,2886,2979,970,0
7,1709,1528,1224,1692,1865,553,973,2756,2980,969,0
8,1707,1525,1222,1694,1864,552,974,2760,2978,970,0
9,1712,1529,1223,1691,1868,551,973,2882,2979,969,0
10,1705,1523,1221,1692,1866,552,973,2936,2979,970,0
11,1706,1526,1224,1690,1865,552,970,2947,2980,968,0
12,1710,1542,1222,1692,1866,551,971,2891,2979,970,0
13,1704,1526,1222,1690,1859,552,973,2785,2978,970,0
14,1706,1532,1221,1690,1866,552,974,2759,2978,970,0
15,1708,1517,1222,1688,1866,552,974,2817,2979,968,0
16,1710,1529,1222,1690,1866,551,972,2903,2978,970,0
17,1710,1523,1222,1689,1866,552,969,2940,2978,968,0
18,1699,1528,1220,1687,1866,552,970,2947,2982,968,0
19,1705,1528,1222,1689,1861,552,971,2850,2979,969,0
20,1708,1530,1222,1688,1866,552,973,2762,2977,970,0
21,1718,1526,1224,1686,1864,552,969,2762,2978,967,1
22,1707,1525,1222,1688,1865,552,969,2853,2978,969,1
23,1721,1528,1223,1687,1865,550,969,2931,2978,968,1
24,1700,1526,1220,1688,1866,551,970,2951,2978,969,1
25,1706,1532,1221,1685,1866,551,972,2919,2978,968,1
26,1707,1526,1221,1684,1867,552,968,2800,2978,967,1
27,1709,1531,1222,1683,1865,551,971,2753,2978,968,1
28,1708,1508,1222,1683,1866,552,967,2788,2977,966,1
29,1721,1529,1221,1686,1865,552,968,2884,2976,968,1
30,1704,1520,1220,1685,1864,551,966,2936,2978,967,1
31,1709,1531,1221,1684,1866,551,970,2955,2977,967,1
32,1742,1526,1221,1685,1866,553,966,2872,2977,965,1
33,1714,1530,1221,1684,1865,551,966,2774,2977,967,1
34,1706,1526,1220,1686,1864,551,970,2760,2977,966,1
35,1728,1528,1221,1685,1866,552,970,2827,2974,967,1
36,1684,1528,1220,1686,1866,551,966,2913,2977,966,1
37,1706,1506,1220,1686,1866,552,971,2944,2976,966,1
38,1709,1539,1222,1688,1865,553,968,2940,2978,964,1
39,1704,1524,1220,1687,1866,551,970,2842,2977,969,1
40,1703,1524,1220,1688,1865,551,972,2757,2978,970,1
41,1680,1523,1220,1690,1865,552,971,2775,2978,970,1
42,1708,1508,1220,1690,1866,552,974,2858,2978,971,1
43,1711,1538,1221,1693,1865,552,978,2937,2978,970,1
44,1706,1527,1221,1694,1864,550,977,2954,2978,973,1
45,1731,1525,1220,1696,1865,552,976,2911,2978,974,1
46,1695,1524,1219,1698,1866,550,979,2811,2979,975,1
47,1704,1523,1221,1699,1866,552,978,2760,2979,975,1
48,1673,1522,1220,1700,1865,552,979,2808,2981,978,1
49,1705,1513,1220,1703,1866,552,986,2894,2979,978,1
50,1707,1523,1221,1706,1866,552,984,2945,2982,978,1
51,1710,1530,1219,1706,1866,552,986,2954,2982,981,1
52,1710,1524,1221,1707,1868,552,986,2882,2983,980,1
53,1710,1528,1222,1710,1865,552,989,2792,2984,984,1
54,1719,1528,1213,1713,1865,553,990,2772,2983,985,1
