Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1654,1452,1133,1554,1745,518,893,2818,2954,904,0
2,1686,1464,1134,1556,1747,518,892,2893,2953,904,0
3,1654,1461,1134,1554,1747,507,890,2922,2952,904,0
4,1659,1478,1133,1553,1746,518,886,2872,2953,902,0
5,1670,1465,1131,1554,1746,518,887,2762,2952,904,0
6,1651,1462,1133,1553,1746,518,887,2728,2952,902,0
7,1657,1472,1134,1553,1746,517,889,2817,2953,903,0
8,1651,1461,1132,1552,1746,520,886,2891,2952,902,0
9,1666,1464,1129,1551,1746,518,886,2922,2950,902,0
10,1668,1464,1132,1552,1745,516,885,2904,2952,903,0
11,1653,1460,1130,1550,1746,519,886,2793,2950,902,0
12,1659,1473,1132,1550,1746,518,893,2725,2952,899,0
13,1655,1466,1132,1550,1745,518,886,2757,2952,901,0
14,1654,1454,1132,1550,1746,518,888,2843,2952,908,0
15,1657,1464,1131,1550,1746,518,886,2906,2951,903,0
16,1655,1473,1131,1550,1747,519,882,2926,2950,902,0
17,1669,1465,1130,1547,1746,519,883,2871,2950,901,0
18,1654,1446,1132,1548,1746,518,886,2758,2950,901,0
19,1650,1462,1132,1548,1745,516,884,2718,2950,902,0
20,1658,1479,1131,1548,1746,517,882,2786,2950,902,0
21,1664,1466,1131,1547,1744,518,883,2877,2950,901,1
22,1642,1459,1130,1546,1746,518,883,2922,2952,901,1
23,1653,1455,1131,1545,1746,518,883,2918,2949,902,1
24,1674,1462,1132,1547,1745,518,886,2830,2950,901,1
25,1659,1473,1132,1538,1746,518,889,2736,2950,901,1
26,1616,1458,1130,1546,1746,518,883,2731,2950,902,1
27,1649,1463,1130,1546,1746,518,884,2824,2948,901,1
28,1651,1461,1131,1546,1746,520,885,2892,2949,900,1
29,1667,1464,1131,1545,1745,517,883,2920,2946,901,1
30,1659,1468,1130,1544,1746,517,882,2904,2950,901,1
31,1629,1458,1130,1546,1746,518,883,2794,2949,901,1
