timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2274,2566,2586,3353,3347,787,3379,3485,3498,2026,0
2,2281,2566,2588,3354,3347,789,3381,3482,3498,2026,0
3,2282,2576,2588,3353,3347,786,3377,3482,3498,2028,0
4,2278,2556,2587,3354,3346,788,3378,3479,3498,2030,0
5,2267,2563,2589,3354,3345,788,3379,3483,3498,2026,0
6,2278,2561,2589,3353,3347,789,3373,3478,3496,2027,0
7,2275,2566,2587,3354,3347,788,3379,3477,3498,2027,0
8,2280,2561,2588,3353,3347,788,3377,3480,3498,2027,0
9,2278,2561,2588,3354,3347,788,3379,3480,3498,2026,0
10,2261,2568,2587,3354,3348,787,3378,3482,3497,2027,0
11,2280,2566,2587,3353,3348,787,3379,3478,3499,2026,0
12,2278,2582,2589,3354,3346,786,3378,3475,3498,2026,0
13,2306,2569,2590,3354,3347,787,3379,3481,3498,2028,0
14,2282,2570,2588,3354,3348,786,3381,3484,3497,2025,0
15,2281,2571,2590,3354,3348,789,3379,3487,3498,2026,0
16,2277,2562,2588,3353,3347,788,3379,3489,3498,2027,0
17,2271,2568,2589,3355,3348,788,3379,3482,3497,2027,0
18,2275,2568,2588,3354,3348,787,3379,3488,3498,2026,0
19,2282,2575,2590,3354,3348,787,3378,3478,3499,2027,0
20,2283,2568,2590,3355,3347,786,3377,3476,3496,2029,0
21,2286,2564,2590,3354,3349,788,3378,3482,3498,2027,1
22,2278,2567,2589,3354,3348,788,3380,3484,3498,2026,1
23,2281,2554,2589,3354,3348,786,3382,3486,3498,2026,1
24,2275,2563,2589,3354,3349,788,3381,3487,3498,2026,1
25,2282,2570,2589,3354,3347,787,3379,3486,3497,2026,1
26,2275,2562,2589,3354,3348,788,3382,3486,3498,2027,1
27,2281,2569,2590,3353,3350,788,3379,3485,3498,2028,1
28,2276,2562,2590,3352,3349,788,3379,3481,3498,2025,1
29,2283,2569,2591,3354,3350,788,3379,3483,3498,2025,1
30,2275,2569,2590,3355,3350,788,3379,3483,3498,2027,1
31,2280,2568,2590,3355,3347,788,3380,3486,3497,2026,1
32,2294,2570,2590,3355,3350,788,3378,3488,3498,2025,1
33,2278,2563,2590,3358,3351,789,3375,3486,3498,2028,1
34,2281,2568,2591,3354,3349,788,3379,3489,3499,2028,1
35,2298,2568,2591,3354,3350,787,3379,3484,3498,2027,1
36,2281,2566,2590,3356,3350,788,3379,3478,3499,2029,1
37,2282,2564,2592,3356,3350,787,3382,3484,3499,2031,1
38,2272,2568,2592,3358,3350,788,3385,3482,3499,2031,1
39,2285,2574,2592,3357,3351,787,3390,3486,3500,2034,1
40,2281,2571,2591,3360,3350,788,3387,3496,3500,2034,1
41,2279,2569,2591,3360,3352,788,3387,3488,3500,2038,1
42,2278,2566,2594,3360,3351,790,3387,3493,3501,2042,1
43,2283,2551,2592,3364,3350,787,3394,3491,3499,2044,1
44,2283,2570,2594,3362,3352,788,3387,3494,3502,2049,1
45,2242,2570,2595,3363,3352,790,3394,3494,3501,2052,1
46,2233,2568,2594,3366,3352,789,3395,3490,3503,2056,1
47,2233,2582,2593,3366,3353,790,3395,3490,3502,2058,1
48,2230,2573,2594,3368,3352,790,3400,3500,3502,2059,1
49,2232,2570,2594,3370,3352,788,3400,3496,3503,2062,1
50,2262,2571,2595,3371,3352,790,3402,3495,3503,2065,1
51,2227,2570,2595,3372,3352,788,3406,3500,3504,2066,1
52,2232,2585,2596,3374,3353,791,3404,3494,3503,2069,1
53,2233,2570,2597,3374,3352,788,3406,3494,3504,2074,1
54,2232,2575,2598,3374,3353,790,3410,3502,3504,2075,1
55,2226,2574,2597,3377,3355,792,3411,3506,3505,2078,1
56,2229,2573,2598,3379,3354,790,3414,3512,3506,2078,1
57,2230,2571,2600,3378,3355,790,3415,3512,3506,2083,1
58,2235,2595,2599,3381,3354,790,3416,3507,3506,2083,1
59,2236,2573,2600,3381,3355,790,3417,3506,3506,2086,1
60,2236,2576,2602,3382,3355,792,3420,3509,3506,2086,1
61,2237,2577,2600,3384,3357,790,3419,3507,3506,2089,1
62,2253,2578,2602,3386,3356,790,3423,3517,3507,2088,1
