Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,2227,2566,2597,3324,3340,785,3370,3485,3504,2016,0
2,2208,2566,2595,3325,3340,786,3370,3483,3506,2016,0
3,2234,2574,2596,3325,3340,785,3370,3480,3503,2016,0
4,2235,2570,2596,3326,3341,786,3371,3482,3504,2015,0
5,2234,2566,2597,3325,3341,784,3371,3481,3504,2015,0
6,2234,2575,2597,3326,3341,785,3370,3484,3504,2016,0
7,2234,2568,2596,3326,3340,786,3370,3483,3504,2015,0
8,2244,2566,2596,3326,3340,786,3371,3490,3504,2016,0
9,2234,2567,2598,3326,3341,784,3370,3489,3504,2015,0
10,2224,2566,2595,3325,3342,787,3370,3489,3504,2016,0
11,2242,2568,2598,3324,3339,786,3371,3481,3506,2016,0
12,2230,2570,2596,3326,3338,785,3371,3491,3504,2014,0
13,2218,2567,2598,3325,3340,786,3371,3485,3503,2016,0
14,2230,2572,2596,3324,3342,787,3374,3495,3505,2017,0
15,2230,2570,2597,3326,3342,786,3371,3486,3506,2015,0
16,2228,2565,2598,3323,3342,786,3371,3491,3505,2015,0
17,2235,2567,2599,3325,3339,786,3371,3489,3504,2016,0
18,2226,2570,2599,3325,3343,786,3372,3486,3504,2018,0
19,2235,2570,2598,3324,3342,786,3372,3489,3504,2017,0
20,2250,2568,2598,3326,3342,786,3371,3490,3504,2018,0
21,2232,2562,2599,3324,3342,787,3372,3492,3504,2017,1
22,2242,2572,2598,3326,3342,786,3370,3491,3505,2017,1
23,2230,2568,2598,3328,3343,787,3374,3492,3506,2015,1
24,2231,2565,2599,3328,3343,787,3371,3483,3505,2017,1
25,2238,2571,2600,3323,3344,786,3371,3490,3506,2017,1
26,2235,2568,2598,3326,3343,786,3370,3480,3505,2017,1
27,2240,2574,2600,3325,3343,786,3370,3482,3505,2016,1
28,2231,2571,2598,3326,3342,787,3372,3490,3504,2015,1
29,2234,2574,2600,3324,3344,786,3371,3492,3505,2015,1
30,2234,2569,2599,3328,3344,788,3373,3492,3506,2013,1
31,2237,2569,2600,3329,3342,788,3372,3493,3506,2017,1
32,2212,2568,2600,3325,3344,786,3372,3483,3506,2015,1
33,2216,2568,2599,3326,3342,786,3374,3482,3505,2018,1
34,2232,2571,2600,3328,3344,788,3373,3490,3504,2017,1
35,2224,2570,2600,3329,3344,786,3374,3490,3505,2018,1
36,2238,2571,2601,3329,3344,788,3374,3488,3506,2020,1
