Count,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1645,1320,1032,1929,1660,574,898,2905,2181,851,0
2,1647,1322,1033,1930,1660,577,897,2816,2182,849,0
3,1647,1324,1033,1930,1664,576,899,2778,2182,852,0
4,1648,1323,1032,1928,1661,574,898,2838,2180,850,0
5,1676,1326,1033,1928,1660,576,898,2918,2182,850,0
6,1644,1322,1034,1928,1660,576,898,2939,2182,850,0
7,1648,1323,1033,1929,1664,574,898,2888,2182,852,0
8,1644,1322,1034,1930,1660,576,897,2806,2182,850,0
9,1646,1323,1033,1930,1662,573,898,2771,2182,851,0
10,1647,1310,1033,1929,1660,578,896,2834,2182,851,0
11,1648,1303,1034,1929,1661,576,900,2902,2182,852,0
12,1677,1327,1032,1929,1661,573,899,2931,2182,851,0
13,1637,1325,1035,1928,1662,576,899,2918,2182,851,0
14,1644,1323,1033,1929,1660,577,898,2829,2182,850,0
15,1649,1325,1033,1928,1664,577,899,2767,2181,851,0
16,1651,1326,1034,1929,1669,577,898,2789,2182,851,0
17,1644,1341,1033,1928,1660,576,904,2870,2182,850,0
18,1647,1344,1034,1930,1662,574,898,2926,2182,851,0
19,1646,1321,1032,1928,1661,577,896,2936,2182,850,0
20,1654,1326,1033,1928,1664,576,898,2888,2182,852,0
21,1649,1328,1034,1930,1660,576,899,2803,2182,850,1
22,1638,1324,1031,1930,1664,574,897,2773,2184,852,1
23,1633,1322,1046,1928,1661,577,899,2824,2183,850,1
24,1640,1322,1034,1930,1660,576,900,2899,2184,851,1
25,1644,1318,1034,1930,1660,578,897,2931,2183,851,1
26,1642,1318,1034,1930,1661,576,901,2925,2184,851,1
27,1648,1323,1034,1930,1660,578,899,2856,2183,851,1
28,1646,1339,1034,1930,1661,573,897,2778,2184,851,1
29,1653,1330,1033,1930,1662,577,899,2786,2182,851,1
30,1649,1331,1033,1932,1661,576,900,2854,2184,851,1
31,1645,1316,1034,1936,1662,577,897,2916,2182,852,1
32,1647,1324,1032,1931,1661,577,899,2937,2184,851,1
33,1646,1334,1034,1931,1661,577,901,2906,2183,851,1
34,1654,1328,1033,1933,1661,576,900,2818,2184,852,1
35,1648,1318,1033,1931,1662,579,900,2768,2183,850,1
36,1673,1330,1034,1934,1662,574,900,2806,2185,852,1
37,1652,1332,1034,1934,1662,582,901,2888,2182,850,1
38,1631,1326,1033,1934,1662,576,899,2933,2184,851,1
39,1647,1329,1033,1935,1662,577,903,2934,2183,851,1
40,1648,1325,1034,1938,1659,576,902,2865,2184,854,1
41,1646,1333,1034,1940,1661,576,903,2791,2186,854,1
42,1649,1330,1033,1939,1662,577,906,2778,2184,853,1
43,1642,1323,1032,1942,1661,576,906,2838,2185,855,1
44,1653,1328,1034,1944,1664,576,906,2902,2185,854,1
45,1633,1326,1038,1945,1662,577,909,2942,2184,855,1
46,1646,1301,1034,1946,1664,576,906,2918,2186,856,1
47,1650,1324,1034,1949,1662,578,909,2842,2186,857,1
48,1651,1327,1034,1950,1664,578,911,2782,2190,858,1
49,1648,1329,1035,1953,1662,578,913,2808,2186,857,1
50,1656,1326,1034,1956,1666,574,914,2870,2187,858,1
51,1648,1335,1033,1954,1664,577,914,2932,2187,859,1
52,1647,1324,1034,1959,1664,577,917,2939,2188,860,1
53,1665,1326,1035,1960,1664,577,918,2892,2187,859,1
54,1647,1346,1035,1962,1664,577,923,2824,2189,859,1
55,1649,1333,1033,1966,1662,576,923,2786,2190,862,1
56,1682,1330,1036,1966,1665,576,923,2831,2190,862,1
57,1655,1327,1034,1970,1666,577,925,2905,2192,864,1
58,1647,1330,1034,1971,1665,574,928,2938,2191,866,1
59,1642,1326,1035,1973,1664,578,930,2937,2192,866,1
60,1657,1329,1033,1974,1666,576,931,2875,2191,865,1
61,1646,1330,1036,1978,1664,576,937,2802,2194,867,1
62,1650,1326,1035,1981,1664,577,935,2806,2194,867,1
63,1654,1330,1034,1984,1665,576,938,2870,2197,867,1
64,1649,1332,1035,1986,1665,578,940,2923,2194,868,1
65,1651,1324,1035,1988,1664,577,942,2947,2194,869,1
66,1628,1325,1034,1991,1666,576,942,2923,2195,870,1
