timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Flag
1,1641,1323,1032,1931,1658,574,900,2872,2180,851,0
2,1637,1323,1033,1932,1658,574,899,2794,2180,851,0
3,1634,1321,1044,1931,1659,576,899,2787,2182,851,0
4,1616,1324,1032,1930,1659,576,898,2862,2179,850,0
5,1648,1322,1034,1930,1659,574,899,2932,2181,851,0
6,1647,1332,1033,1929,1658,579,899,2938,2180,851,0
7,1646,1346,1032,1930,1658,576,905,2870,2181,851,0
8,1643,1322,1031,1931,1659,577,898,2789,2179,851,0
9,1644,1324,1034,1931,1659,574,898,2783,2182,850,0
10,1643,1328,1034,1932,1659,578,899,2859,2182,850,0
11,1645,1324,1032,1931,1659,573,899,2923,2180,852,0
12,1642,1329,1033,1933,1659,574,900,2931,2182,851,0
13,1643,1326,1031,1931,1659,576,898,2902,2179,852,0
14,1642,1322,1032,1933,1652,576,899,2812,2180,852,0
15,1646,1331,1032,1930,1659,576,900,2767,2181,854,0
16,1644,1322,1033,1931,1659,576,899,2817,2182,851,0
17,1642,1304,1034,1932,1659,574,890,2888,2180,850,0
18,1645,1326,1032,1931,1659,574,900,2930,2180,851,0
19,1640,1322,1031,1932,1657,577,900,2937,2181,852,0
20,1642,1330,1034,1931,1658,577,900,2858,2182,855,0
21,1642,1323,1033,1933,1659,573,902,2785,2182,854,1
22,1646,1331,1032,1931,1659,577,899,2778,2180,851,1
23,1643,1330,1033,1934,1659,573,899,2850,2182,852,1
24,1646,1326,1033,1934,1658,576,898,2915,2181,851,1
25,1641,1320,1033,1932,1660,576,900,2935,2180,851,1
26,1642,1315,1034,1932,1660,573,901,2910,2182,852,1
27,1653,1325,1033,1932,1667,577,899,2824,2182,851,1
28,1649,1326,1033,1931,1661,576,901,2767,2182,852,1
29,1650,1326,1033,1933,1659,576,899,2795,2184,852,1
30,1654,1326,1032,1934,1658,576,899,2878,2183,852,1
31,1615,1322,1034,1934,1658,574,899,2928,2184,851,1
32,1646,1330,1034,1934,1659,576,902,2929,2181,850,1
33,1642,1315,1034,1934,1660,576,900,2872,2182,851,1
34,1640,1321,1032,1935,1661,574,900,2792,2182,850,1
35,1648,1322,1034,1936,1659,576,900,2776,2183,853,1
36,1649,1332,1034,1937,1659,576,901,2832,2183,852,1
37,1646,1328,1033,1935,1658,578,902,2900,2182,854,1
38,1646,1310,1032,1938,1659,574,898,2930,2184,854,1
39,1642,1322,1033,1939,1659,576,903,2926,2184,852,1
40,1645,1316,1033,1939,1661,576,903,2848,2182,853,1
41,1650,1327,1034,1944,1659,576,904,2778,2184,853,1
42,1648,1327,1033,1943,1660,576,905,2786,2184,855,1
43,1643,1318,1034,1945,1661,574,907,2860,2184,856,1
44,1669,1325,1034,1945,1660,576,908,2920,2182,854,1
45,1651,1330,1033,1947,1661,573,907,2938,2184,856,1
46,1633,1322,1034,1949,1659,576,910,2902,2185,856,1
47,1646,1319,1033,1950,1659,576,911,2818,2186,858,1
48,1654,1322,1034,1954,1664,573,911,2776,2186,858,1
49,1650,1319,1034,1958,1660,574,912,2823,2185,860,1
50,1648,1326,1034,1957,1658,576,914,2899,2187,860,1
51,1647,1314,1034,1958,1660,576,913,2934,2187,860,1
52,1648,1326,1033,1961,1659,573,918,2945,2187,861,1
53,1650,1332,1033,1963,1661,574,919,2876,2187,862,1
54,1636,1326,1037,1965,1662,574,920,2804,2188,862,1
55,1686,1329,1035,1967,1662,577,922,2794,2187,862,1
56,1648,1322,1034,1970,1664,573,925,2851,2190,864,1
57,1639,1323,1035,1971,1661,574,926,2919,2191,865,1
58,1648,1325,1035,1972,1664,576,930,2940,2189,863,1
59,1638,1325,1035,1975,1662,573,930,2926,2190,865,1
60,1653,1329,1033,1978,1664,584,934,2850,2191,867,1
61,1637,1326,1034,1980,1663,573,933,2802,2191,866,1
62,1672,1323,1035,1982,1662,574,934,2816,2192,867,1
63,1647,1323,1034,1987,1664,576,938,2886,2192,868,1
64,1654,1328,1035,1987,1664,574,941,2938,2193,869,1
65,1650,1320,1033,1988,1664,576,942,2944,2193,869,1
66,1658,1326,1024,1994,1664,576,943,2896,2194,869,1
67,1623,1324,1032,1994,1666,578,946,2834,2194,870,1
68,1646,1327,1036,1998,1662,576,946,2802,2195,869,1
69,1643,1322,1034,1998,1665,577,947,2846,2194,871,1
70,1653,1331,1035,2002,1664,576,949,2914,2195,870,1
71,1643,1323,1035,2005,1658,576,951,2951,2196,872,1
72,1670,1328,1036,2006,1664,577,952,2947,2196,870,1
73,1652,1321,1033,2009,1665,576,955,2881,2196,874,1
74,1619,1323,1035,2011,1664,577,957,2818,2196,873,1
75,1644,1323,1034,2011,1664,576,960,2816,2197,873,1
76,1652,1326,1034,2013,1665,576,960,2874,2198,874,1
77,1644,1326,1035,2014,1664,576,959,2938,2199,873,1
78,1652,1318,1036,2017,1666,578,964,2950,2198,875,1
79,1657,1327,1037,2018,1674,577,965,2924,2198,873,1
80,1633,1325,1034,2019,1666,577,965,2858,2198,875,1
81,1651,1310,1036,2021,1664,578,960,2806,2200,875,1
82,1653,1326,1034,2022,1666,576,966,2841,2200,876,1
83,1622,1326,1036,2022,1664,577,968,2907,2200,877,1
84,1653,1329,1035,2025,1666,577,970,2948,2200,876,1
85,1651,1326,1037,2025,1666,577,969,2959,2200,876,1
86,1658,1330,1037,2027,1665,578,973,2902,2202,876,1
87,1650,1322,1035,2027,1664,578,974,2827,2202,877,1
88,1654,1325,1038,2030,1666,578,971,2812,2202,879,1
89,1658,1334,1036,2030,1664,576,972,2869,2202,879,1
90,1652,1316,1038,2031,1664,577,974,2923,2203,879,1
91,1659,1330,1036,2033,1673,577,972,2952,2203,879,1
92,1639,1326,1035,2034,1666,577,976,2939,2203,879,1
93,1654,1312,1038,2033,1666,577,976,2872,2203,879,1
94,1667,1328,1037,2034,1667,577,975,2812,2203,880,1
95,1638,1324,1036,2034,1666,577,978,2833,2204,880,1
96,1651,1338,1037,2035,1666,578,971,2890,2203,879,1
97,1652,1324,1035,2036,1667,578,978,2950,2203,880,1
98,1634,1327,1038,2035,1665,578,979,2961,2206,879,1
99,1653,1338,1037,2037,1667,578,980,2917,2204,880,1
100,1650,1319,1038,2038,1666,579,979,2849,2205,879,1
101,1658,1327,1037,2038,1667,578,978,2812,2204,880,1
102,1646,1326,1037,2040,1661,576,978,2854,2206,880,1
103,1654,1323,1037,2038,1667,568,978,2914,2205,878,1
104,1656,1330,1037,2039,1667,578,980,2954,2205,881,1
105,1646,1330,1038,2040,1658,578,978,2959,2206,879,1
106,1651,1320,1036,2040,1668,579,979,2891,2206,879,1
107,1654,1337,1036,2040,1668,578,978,2827,2206,879,1
108,1647,1326,1037,2038,1658,578,976,2822,2205,878,1
109,1649,1322,1037,2039,1667,579,978,2875,2205,878,1
110,1656,1338,1037,2038,1667,579,975,2936,2206,877,1
111,1648,1330,1039,2036,1666,578,975,2962,2203,879,1
112,1669,1330,1037,2034,1668,578,972,2937,2203,878,1
113,1656,1336,1038,2034,1665,577,972,2858,2205,877,1
114,1649,1330,1036,2034,1667,577,971,2806,2206,877,1
115,1658,1330,1038,2032,1669,578,968,2826,2203,876,1
116,1658,1334,1039,2030,1667,578,966,2902,2203,876,1
117,1654,1322,1038,2027,1667,579,966,2946,2203,875,1
118,1657,1327,1039,2027,1668,578,965,2952,2203,877,1
119,1662,1336,1040,2025,1667,578,963,2902,2203,875,1
120,1652,1319,1038,2023,1668,578,962,2818,2204,876,1
121,1656,1328,1038,2022,1667,577,960,2794,2203,875,2
122,1666,1335,1043,2022,1672,578,960,2852,2203,875,2
123,1666,1335,1040,2019,1672,580,957,2918,2203,875,2
124,1667,1334,1043,2013,1673,580,952,2954,2203,873,2
125,1661,1336,1041,2009,1672,580,950,2944,2201,874,2
126,1665,1334,1042,2006,1671,581,947,2859,2203,873,2
127,1666,1334,1042,2002,1671,580,945,2790,2202,873,2
128,1664,1333,1040,1999,1672,580,942,2798,2201,873,2
129,1666,1333,1042,1995,1672,579,938,2875,2201,871,2
130,1666,1333,1041,1992,1672,580,934,2934,2200,871,2
131,1661,1331,1039,1987,1671,579,932,2947,2198,870,2
132,1661,1334,1040,1984,1672,579,930,2906,2198,870,2
133,1660,1333,1039,1979,1671,580,926,2811,2198,869,2
134,1664,1333,1041,1974,1671,579,924,2770,2198,868,2
135,1666,1335,1042,1971,1672,579,920,2818,2197,867,2
136,1661,1334,1040,1968,1671,579,917,2897,2197,866,2
137,1661,1335,1038,1966,1670,579,912,2939,2196,866,2
138,1659,1335,1039,1963,1670,580,911,2944,2196,866,2
